stage	n_tiles	B1_stromal_encased_thyrocyte_idx_mean	B1_stromal_encased_thyrocyte_idx_top25_mean	B1_stromal_encased_thyrocyte_idx_bot25_mean	B3_nuclear_eccentricity_var_mean	B3_nuclear_eccentricity_var_top25_mean	B3_nuclear_eccentricity_var_bot25_mean	B4_tumor_stroma_ratio_mean	B4_tumor_stroma_ratio_top25_mean	B4_tumor_stroma_ratio_bot25_mean	C2_spatial_celltype_entropy_mean	C2_spatial_celltype_entropy_top25_mean	C2_spatial_celltype_entropy_bot25_mean	B5_thyrocyte_cluster_med_mean	B5_thyrocyte_cluster_med_top25_mean	B5_thyrocyte_cluster_med_bot25_mean	DM1_like_score_mean	RAI_8_score_mean
ATC	200.0	0.993	1.0	0.993	0.012	0.017	0.008	0.363	0.493	0.258	1.42	1.494	1.344	5.256	7.698	3.016	-0.007	0.007
LPTC	200.0	0.986	1.0	0.986	0.012	0.018	0.006	0.314	0.47	0.166	1.362	1.476	1.212	4.059	7.117	0.691	-0.006	0.006
N	200.0	0.989	1.0	0.979	0.012	0.018	0.007	0.272	0.378	0.177	1.33	1.427	1.207	3.531	6.237	0.684	0.015	-0.015
PTC	200.0	0.991	1.0	0.991	0.012	0.018	0.007	0.315	0.427	0.209	1.375	1.461	1.272	4.723	7.873	1.974	0.007	-0.007
