module	adjust	n	HR	p	HR_lo	HR_hi
M1_M2	age+stage	564	0.5302507395663287	0.0362118247115491	0.2928633272656953	0.9600582272820919
M1_M2	age+stage+RAI	564	0.5624185212455939	0.07574236407463165	0.2980030237642098	1.0614475955464113
CD8	age+stage	564	0.6179169948904327	0.13214925547907538	0.33020309563483285	1.1563229346482995
CD8	age+stage+RAI	564	0.6391763643770613	0.1599732807889617	0.3423688696426	1.1932931437509513
TLS	age+stage	564	0.6575334092441988	0.16758776254525662	0.3625036876379095	1.1926780306415983
TLS	age+stage+RAI	564	0.7031430275633898	0.26066466684440215	0.38064697475653325	1.2988678486864134
CAF	age+stage	564	0.9484038085336267	0.8527524194604824	0.5420620794833557	1.659348288849832
CAF	age+stage+RAI	564	1.0336817681237207	0.9157708610446549	0.5594651488486309	1.9098562259871434
RAI	age+stage	564	1.552393291865614	0.21527350830516667	0.7742924769123957	3.112421991027583
