section	experiment	model	tile_size	label_kind	pooled_n	pooled_spearman_r	pooled_pearson_r	pooled_r2	pooled_mae	pooled_auroc_q75	pooled_auroc_q50	n_used	accuracy	pooled_auroc_atc	fold_auc_median	fold_auc_min	fold_auc_max	n_folds_with_auc	n_slides
A	raw_DM1_like_score	ridge	224	raw	3200.0	0.060637384124626346	0.01490702338933606	-8.80467491603376	0.821042519428716	0.5207484375	0.523293923058074								
A	raw_DM1_like_score	enet	224	raw	3200.0	-0.09289230623391743	-0.07357790919364524	-0.0007458887296525329	0.30773552878113875	0.4241666666666667	0.4971726386820726								
A	raw_RAI_8_score	ridge	224	raw	3200.0	0.060637384124626346	0.01490702338933606	-8.80467491603376	0.821042519428716	0.5367427083333334	0.5275051404615705								
A	raw_RAI_8_score	enet	224	raw	3200.0	-0.09289230623391743	-0.07357790919364524	-0.0007458887296525329	0.30773552878113875	0.49520833333333336	0.3979151909009425								
A	raw_TDS_like_score	ridge	224	raw	3200.0	0.07900849905881822	0.02685890441667812	-8.259960588916169	0.8509679053212096	0.5474541666666667	0.5385857467987195								
A	raw_TDS_like_score	enet	224	raw	3200.0	-0.07920756019837155	-0.0804271903234765	-0.000891220186036934	0.310414396518148	0.49458333333333326	0.4011323279311725								
B	B1_resid_log_counts_only	ridge	224	resid_variant	3200.0	0.011766781004986642	-0.002267859254150132	-9.549088275386588	0.7223107512429838	0.5057817708333333	0.500866796875	3200.0							
B	B2_resid_log_ngenes_only	ridge	224	resid_variant	3200.0	0.011322144143183001	-0.0027985764914433744	-9.602746913167932	0.7196067623617378	0.5061203125	0.503083203125	3200.0							
B	B3_no_resid	ridge	224	resid_variant	3200.0	0.058077406294483575	0.014772447642891134	-8.781925949519138	0.8180941787924334	0.5173911458333333	0.5184724668310438	3200.0							
B	B4_rank_norm	ridge	224	resid_variant	3200.0	0.059707325143107386	0.03604230636461655	-9.559866163742516	0.5236067530694142	0.5096716149347728	0.5232334575400268	3200.0							
B	B5_resid_full_eptop50	ridge	224	resid_variant	1600.0	-0.007442124000829688	0.010831338229433721	-4.694083423212484	0.5607080898908373	0.4966104166666666	0.49170781249999995	1600.0							
D	D1_stage_ordinal	ridge	224	stage_int	3200.0	-0.04699926035476066	0.012978072334879801	-4.145765861171523	1.817581222001463	0.48715833333333336	0.47011132812499995		0.228125						
D	D2_atc_binary	logreg_C0.1	224	is_atc	3200.0									0.6890796874999999				0.0	
D	D3_Epithelial_score	ridge	224	raw_morphology	3200.0	0.025690682503827156	-0.006080545484706764	-11.47191796258316	1.1927399683745923	0.5016411458333334	0.514551171875								
D	D3_Proliferation_score	ridge	224	raw_morphology	3200.0	0.02849545533016729	-0.007963004759758266	-12.6859117178328	0.8939371718091141	0.5168171875	0.5070339126060015								
E	E_DM1_like_score_resid_mean	ridge	224	slide_level		-0.0029411764705882353	0.011469961357479491												16.0
E	E_DM1_like_score_resid_top25_mean	ridge	224	slide_level		0.2088235294117647	0.22815584773137687												16.0
E	E_DM1_like_score_resid_highrisk_frac	ridge	224	slide_level															16.0
E	E_RAI_8_score_resid_mean	ridge	224	slide_level		-0.0029411764705882353	0.011469961357479491												16.0
E	E_RAI_8_score_resid_top25_mean	ridge	224	slide_level		-0.38235294117647056	-0.31509849354549613												16.0
E	E_RAI_8_score_resid_highrisk_frac	ridge	224	slide_level															16.0
E	E_TDS_like_score_resid_mean	ridge	224	slide_level		-0.12352941176470587	-0.18601585418174066												16.0
E	E_TDS_like_score_resid_top25_mean	ridge	224	slide_level		-0.1764705882352941	-0.30230685203091534												16.0
E	E_TDS_like_score_resid_highrisk_frac	ridge	224	slide_level															16.0
F	DM1_like_score_resid_simplefeat	ridge_simplefeat_9d	224	simple_image_features	3200.0	0.07983630039905278	0.054115657338934836	-0.00563160024415188	0.2533280290066362	0.5811494791666667	0.540596484375								
F	DM1_like_score_raw_simplefeat	ridge_simplefeat_9d	224	simple_image_features	3200.0	0.2239743003484746	0.2359480847570818	0.04790218662402923	0.30954089117064	0.7024515625	0.5459701462059953								
