sample_id	stage	ligand	n_caf_rich_spots	spearman
GSM7980860_N-1	PT	TGFB1	849	-0.08673897116892733
GSM7980860_N-1	PT	TGFB2	849	-0.05254320687965842
GSM7980860_N-1	PT	TGFB3	849	-0.056437816753251845
GSM7980860_N-1	PT	POSTN	849	-0.156660143931622
GSM7980860_N-1	PT	FN1	849	0.1775974180321643
GSM7980860_N-1	PT	COL1A1	849	0.1657605215259199
GSM7980860_N-1	PT	COL1A2	849	0.19544864284057975
GSM7980860_N-1	PT	COL3A1	849	0.17127417246216073
GSM7980860_N-1	PT	FGF2	849	-0.041834923152277645
GSM7980860_N-1	PT	FGF7	849	-0.08306336084332894
GSM7980860_N-1	PT	VEGFA	849	-0.2995614329275324
GSM7980860_N-1	PT	VEGFC	849	-0.1572609990801181
GSM7980860_N-1	PT	PDGFA	849	0.06952354021638689
GSM7980860_N-1	PT	PDGFB	849	-0.06474366803977406
GSM7980860_N-1	PT	PDGFC	849	-0.16226527985731803
GSM7980860_N-1	PT	WNT5A	849	-0.08277319754950757
GSM7980860_N-1	PT	WNT5B	849	-0.03395606257062574
GSM7980860_N-1	PT	DKK3	849	-0.066233649371209
GSM7980860_N-1	PT	SFRP2	849	0.1445773182606107
GSM7980860_N-1	PT	SFRP4	849	0.054193332892821605
GSM7980860_N-1	PT	CXCL12	849	-0.018927776868381065
GSM7980860_N-1	PT	CXCL14	849	0.05606242106648668
GSM7980860_N-1	PT	CXCL13	849	-0.035238609718904926
GSM7980860_N-1	PT	CCL2	849	0.0014680159563354315
GSM7980860_N-1	PT	CCL19	849	0.010253876342043925
GSM7980860_N-1	PT	CCL21	849	-0.11707379296046135
GSM7980860_N-1	PT	IL6	849	0.032831770557134245
GSM7980860_N-1	PT	LIF	849	-0.05410309157410731
GSM7980860_N-1	PT	MMP2	849	-0.05338601275290684
GSM7980860_N-1	PT	MMP9	849	-0.041343449509881926
GSM7980860_N-1	PT	MMP11	849	0.01797465394796749
GSM7980860_N-1	PT	TIMP1	849	0.03517361760566166
GSM7980860_N-1	PT	BMP4	849	0.038571481897425666
GSM7980860_N-1	PT	BMP7	849	-0.24399402799408207
GSM7980860_N-1	PT	GREM1	849	-0.008888679525413501
GSM7980860_N-1	PT	SPP1	849	-0.09709730206895897
GSM7980860_N-1	PT	TNC	849	0.11150066586082198
GSM7980860_N-1	PT	BGN	849	0.0815033896070918
GSM7980860_N-1	PT	DCN	849	0.43117322411164477
GSM7980860_N-1	PT	LUM	849	0.10015920885061777
GSM7980861_N-2	PT	TGFB1	945	-0.015614563874384455
GSM7980861_N-2	PT	TGFB2	945	0.03160628909428076
GSM7980861_N-2	PT	TGFB3	945	-0.03477840002031009
GSM7980861_N-2	PT	POSTN	945	-0.07395266087083066
GSM7980861_N-2	PT	FN1	945	0.11563960559554969
GSM7980861_N-2	PT	COL1A1	945	0.08194524254501256
GSM7980861_N-2	PT	COL1A2	945	0.07735448239888254
