module	feature	n_slides	median_r	q10	q90
RAI_8_score	n_thy	16	0.23010303384979455	-0.03606784017912579	0.38822307342386614
Epithelial_score	n_fib	16	0.20910561716110254	0.02409653853418646	0.3389577013536998
Epithelial_score	n_thy	16	0.19300094775421356	0.07288310042613773	0.33153654113941666
RAI_8_score	n_fib	16	0.18546789735489366	-0.06291777141027119	0.379174863127885
Hypoxia_score	n_thy	16	0.16856122988702543	0.06698108764866983	0.2613360094309384
Hypoxia_score	n_fib	16	0.15134831341379185	0.02076095532362723	0.2787376879324457
Proliferation_score	n_fib	16	0.1320172785292903	0.010383416579994966	0.293833355806183
RAI_8_score	B4_tumor_stroma_ratio	16	0.12470191694281707	-0.04297693763555398	0.27694457725108834
Proliferation_score	n_thy	16	0.12417671324059834	0.04458654071271417	0.2803647650919677
EMT_score	n_thy	16	0.12323679003439106	-0.044148458131723856	0.2671185142265944
IFN_gamma	n_thy	16	0.1207922534351532	0.022710892028786914	0.24875453439942585
IFN_gamma	n_fib	16	0.1118594072904372	-0.03809049593715165	0.31790749328868667
EMT_score	n_fib	16	0.09755947594710997	-0.05656454567933321	0.2538808122017761
Epithelial_score	B4_tumor_stroma_ratio	16	0.09608943517765121	-0.030477674147517585	0.3108043546357081
EMT_score	B4_tumor_stroma_ratio	16	0.08650192652199076	-0.07859744606501597	0.13800547508834876
Hypoxia_score	B4_tumor_stroma_ratio	16	0.08546151071724364	-0.0006987046481175853	0.19465007834862966
RAI_8_score	C2_spatial_celltype_entropy	16	0.08001584096787012	-0.0864170408680324	0.2927228183622397
Hypoxia_score	C2_spatial_celltype_entropy	16	0.06595447298289635	-0.01045165139836796	0.19124897375892408
RAI_8_score	B5_thyrocyte_cluster_med	7	0.060378310364843146	-0.057323842769020444	0.15277360011257543
EMT_score	C2_spatial_celltype_entropy	16	0.059763995695159694	-0.061044027409186075	0.15393101162832973
Epithelial_score	C2_spatial_celltype_entropy	16	0.05867670187352247	-0.06988830668697736	0.28610708615348124
Proliferation_score	B4_tumor_stroma_ratio	16	0.05348394831686207	-0.03367655142924438	0.150425591694336
IFN_gamma	B4_tumor_stroma_ratio	16	0.05223664335144859	-0.057518684797379115	0.10844625034214787
Proliferation_score	C2_spatial_celltype_entropy	16	0.04250626527454407	-0.032107925327122824	0.14038659180845475
Epithelial_score	B5_thyrocyte_cluster_med	7	0.03547820869879391	0.02394878256863061	0.12801541070184952
CD8_Teff	n_thy	16	0.033776182414398025	-0.12333195063305627	0.137835339828207
CD8_Teff	n_fib	16	0.03347451731041175	-0.1803415279139449	0.12919489445853094
Hypoxia_score	B5_thyrocyte_cluster_med	7	0.03220583275800919	-0.04472307160987332	0.09410723497280736
CD8_Teff	B5_thyrocyte_cluster_med	7	0.01658834085788793	-0.12162662445186508	0.10099910793652575
IFN_gamma	C2_spatial_celltype_entropy	16	0.01335430616160702	-0.07910801056805533	0.11417660157492007
IFN_gamma	B5_thyrocyte_cluster_med	7	0.004037800819345632	-0.09189582967016177	0.031893742566712714
M1_M2	C2_spatial_celltype_entropy	16	0.0024338849496857553	-0.09425164985713655	0.09139058759137379
CD8_Teff	C2_spatial_celltype_entropy	16	0.0012264355746467552	-0.10719673292319007	0.11329688441324072
CD8_Teff	B4_tumor_stroma_ratio	16	-0.003561021432596541	-0.08282962944093683	0.12434509678343478
TLS	B5_thyrocyte_cluster_med	7	-0.0045865612574891666	-0.08692096989308488	0.048550107853184254
Proliferation_score	B5_thyrocyte_cluster_med	7	-0.01568476408035901	-0.06103522160818129	0.1532463010802784
M1_M2	n_fib	16	-0.019831942591183756	-0.22871383146694324	0.22131277384264203
M1_M2	n_thy	16	-0.02311298217145499	-0.17195322045938188	0.21986329786677825
M1_M2	B4_tumor_stroma_ratio	16	-0.023469424196882707	-0.12565601301330287	0.067297324043419
Bplasma	B5_thyrocyte_cluster_med	7	-0.028496421256140343	-0.15518461818548807	0.0848987806286488
Bplasma	B4_tumor_stroma_ratio	16	-0.031013261897344144	-0.2064907149895936	0.09022716958798756
CAF_ECM_score	C2_spatial_celltype_entropy	16	-0.03229167041156429	-0.11769776140568239	0.039318691972399
TLS	C2_spatial_celltype_entropy	16	-0.03246444094215119	-0.1783468315756186	0.02956378260012765
EMT_score	B5_thyrocyte_cluster_med	7	-0.03863701649799861	-0.09233025900044994	0.07207703345802714
CAF_ECM_score	B4_tumor_stroma_ratio	16	-0.0525812743564877	-0.20365813094138815	0.0006070741945260524
Bplasma	C2_spatial_celltype_entropy	16	-0.055000362638106155	-0.13159351262643482	0.10221360080474855
DM1_like_score	B5_thyrocyte_cluster_med	7	-0.060378310364843146	-0.15277360011257543	0.05732384276902047
TLS	B4_tumor_stroma_ratio	16	-0.06443319990281615	-0.15404596773893298	0.028871923050872925
CAF_ECM_score	B5_thyrocyte_cluster_med	7	-0.06847874576017028	-0.1300222011087737	0.07344054015221993
TLS	n_fib	16	-0.07084931208304823	-0.15690582257634267	0.06726907813175442
M1_M2	B5_thyrocyte_cluster_med	7	-0.07379436165632089	-0.11333786193589346	0.061436999110232024
DM1_like_score	C2_spatial_celltype_entropy	16	-0.08001584096787012	-0.2927228183622397	0.0864170408680324
TLS	n_thy	16	-0.08036687306382326	-0.20593618331514635	0.057777969577448934
CAF_ECM_score	n_thy	16	-0.09405673315846155	-0.3136980510299416	0.112197696402513
CAF_ECM_score	n_fib	16	-0.12458954110470523	-0.3427212062205165	0.17211040326644664
DM1_like_score	B4_tumor_stroma_ratio	16	-0.12470191694281707	-0.27694457725108834	0.04297693763555398
Bplasma	n_thy	16	-0.1297554561676554	-0.38821729340543343	0.0905618543955433
Bplasma	n_fib	16	-0.15360852459844695	-0.3315012055712261	0.041022554222817455
DM1_like_score	n_fib	16	-0.18546789735489366	-0.379174863127885	0.06291777141027119
DM1_like_score	n_thy	16	-0.23010303384979455	-0.38822307342386614	0.03606784017912579
