stratum	module	n	r_vs_RAI
DM1_proxy (RAI low + immune high)	CAF	53	-0.34268666344138043
DM1_proxy (RAI low + immune high)	M1_M2	53	-0.3761490082244799
DM1_proxy (RAI low + immune high)	TLS	53	0.17537493952588293
DM1_proxy (RAI low + immune high)	CD8	53	-0.00975649088856636
DM2_proxy (RAI low + immune low)	CAF	22	-0.4522868435911915
DM2_proxy (RAI low + immune low)	M1_M2	22	-0.6036137775268211
DM2_proxy (RAI low + immune low)	TLS	22	-0.12817617165443254
DM2_proxy (RAI low + immune low)	CD8	22	0.09768492377188029
RAI_high_diff	CAF	158	-0.18252887691504946
RAI_high_diff	M1_M2	158	-0.14705358867833254
RAI_high_diff	TLS	158	-0.1719228001746382
RAI_high_diff	CD8	158	-0.08659043232084751
ALL	CAF	632	-0.34386601089793545
ALL	M1_M2	632	-0.4695836877607341
ALL	TLS	632	-0.14411503955351607
ALL	CD8	632	0.010317984959126324
