panel	n_genes	spearman_r	auroc_top25	elapsed_s	panel_genes
housekeeping_raw	8	0.013299472431582903	0.494459375	13.953685760498047	ACTB,GAPDH,B2M,HPRT1,PPIA,RPL13A,RPLP0,TBP
RAI_8_real_raw	8	0.06741243401536742	0.5327999999999999	16.399850606918335	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5
random_raw_0000	8	0.02894132568335816	0.4946046875	14.859161853790283	C12orf57,RPL27A,SKP1,REEP5,MRFAP1,MT-CO2,C19orf53,RPS15
random_raw_0001	8	0.0064026365716528845	0.5230541666666666	13.567949295043945	MT-ND4,RPS19,NDUFB2,ID3,CHCHD2,SDF4,NDUFAF3,CST3
random_raw_0002	8	0.06237575798092454	0.5202947916666667	14.838700532913208	SLC25A3,ATP6V0C,EEF1D,SAT1,NUCKS1,MT-ND2,SRRM2,CALM2
random_raw_0003	8	0.010583466184405291	0.5035286458333333	16.14497685432434	CYBA,MT-CYB,RPS19,RPS12,SSR4,UBB,HSPA8,RPL15
random_raw_0004	8	0.028656976372933813	0.5171833333333333	16.849634885787964	HSPA5,TLE5,HLA-DRA,RPL41,ID3,LGALS1,UBE2D3,TMBIM6
random_raw_0005	8	0.00811954731658094	0.5055161458333334	17.19434142112732	TRMT112,PABPC1,EEF1D,HLA-DRB1,MYL6,COX6A1,RPL11,MT-CO2
random_raw_0006	8	-0.009967654711457994	0.49056875	29.32788848876953	SEC61A1,RPS27A,RPL21,ITM2B,EIF3H,SUMO2,MRFAP1,GLUL
random_raw_0007	8	0.04018052260063697	0.5139291666666667	21.595361709594727	RPS17,ROMO1,FTH1,RPL28,RPS19BP1,RPS2,OST4,MYL12B
random_raw_0008	8	0.029434796497656856	0.5057510416666666	21.602184534072876	PCBP1,BRK1,RPL10,MT-CO1,REEP5,MYL12B,RPS15A,SF3B5
random_raw_0009	8	0.01835848990945428	0.5108317708333334	17.991590976715088	POLR2I,FTL,ATOX1,MT-CO1,GSN,VIM,DYNLL1,HNRNPDL
random_raw_0010	8	-0.022350220267390652	0.4871067708333333	23.303191900253296	TMBIM6,SERF2,P4HB,FTL,GNB2,CHCHD2,ROMO1,MT-ATP6
random_raw_0011	8	0.013069550629811749	0.5037343750000001	39.362427711486816	CALD1,HINT1,RPS18,RPS3A,HMGB1,COX7A2,ARF1,CCNI
random_raw_0012	8	-0.004060412489869572	0.5022984375	31.23818325996399	TOMM7,MT-ND2,IGFBP6,COX7A2,RPL23A,YWHAZ,NDUFA2,COMMD6
random_raw_0013	8	0.02597989769866002	0.5071989583333334	20.717913150787354	CD74,NDUFA4,C12orf57,UBB,TMA7,HNRNPA2B1,HNRNPA1,HSPA8
random_raw_0014	8	0.04706259274082449	0.5305619791666667	17.485304355621338	CANX,RPL31,FKBP8,RPL4,RPS20,ENSA,BRK1,MT-ND3
random_raw_0015	8	0.012645345829754833	0.49960625000000003	16.990461587905884	PEBP1,MXRA7,GSTP1,RPS29,APRT,CRIP2,NPC2,SKP1
random_raw_0016	8	0.04087161420346688	0.5285859375	20.796889305114746	PSMB4,BTF3,RACK1,LMNA,CALR,PET100,CNBP,RPS11
random_raw_0017	8	0.03946701401494303	0.5058833333333334	18.189321756362915	COL18A1,PHB2,RPS26,RPL13,CAV2,CRIP1,COX7C,GSN
random_raw_0018	8	0.033067332490692686	0.5171250000000001	19.234671354293823	UBA1,MYL12B,NACA,LMNA,COMMD6,ARF1,RPS21,GNAS
random_raw_0019	8	0.010587104250220547	0.5089385416666667	20.90146565437317	RPS4X,UBA52,TOMM7,COX6A1,MYL9,FIS1,NME2,PCBP2
random_raw_0020	8	0.021943039098695716	0.49785625	20.152373552322388	RPS9,OS9,NOP53,GSTP1,CNBP,STUB1,HSP90AB1,ANXA2
random_raw_0021	8	0.024468379620358027	0.5086942708333333	18.94444489479065	RPL36,RPS15,TRAPPC5,RHOA,HLA-A,RPL36A,CD151,PRDX6
