stage	gene	n_slides	median_moran
ATC	SLC34A2	1	0.7241632342338562
ATC	TPO	1	0.6116576194763184
ATC	TG	1	0.6075587868690491
ATC	PLA2G2A	1	0.6066303253173828
ATC	DES	1	0.594566285610199
ATC	S100A1	1	0.5525602102279663
ATC	COMP	1	0.5321789979934692
ATC	PTGDS	1	0.4992304742336273
ATC	SFRP2	2	0.49437427520751953
ATC	NR4A1	1	0.4855148494243622
ATC	SFTPB	1	0.47312432527542114
ATC	MT1F	1	0.4669136703014374
ATC	CHI3L1	1	0.46521806716918945
ATC	C7	1	0.4546254277229309
ATC	CXCL14	1	0.43375569581985474
ATC	CCL19	1	0.43175357580184937
ATC	ELN	1	0.41379767656326294
ATC	IGKC	4	0.40774282813072205
ATC	MYH11	1	0.4036128520965576
ATC	CITED1	1	0.40140047669410706
ATC	MALAT1	4	0.3992302119731903
ATC	IGSF1	1	0.39029788970947266
ATC	IGHG3	4	0.37520869076251984
ATC	SFTPA1	1	0.37142595648765564
ATC	MFAP4	1	0.3713679015636444
ATC	MUC1	1	0.36985450983047485
ATC	DCN	2	0.3697182610630989
ATC	CCL17	1	0.3683653473854065
ATC	SAA2	1	0.36776629090309143
ATC	ACTG2	2	0.36720576882362366
ATC	TFF3	2	0.3642442114651203
ATC	SFRP4	1	0.353898823261261
ATC	C19orf33	3	0.3514310419559479
ATC	IGF1	1	0.3469451367855072
ATC	TNXB	1	0.34462055563926697
ATC	FBLN2	1	0.343635618686676
ATC	KRT5	2	0.34214212000370026
ATC	MT1G	2	0.3419712111353874
ATC	S100A8	1	0.34105628728866577
ATC	COL1A1	4	0.3366580009460449
ATC	MUSTN1	1	0.332806259393692
ATC	IGHG4	4	0.33173249661922455
ATC	APOD	2	0.330837644636631
ATC	IGLC2	4	0.32854771614074707
ATC	IYD	1	0.3283146321773529
ATC	COL1A2	4	0.32762306928634644
ATC	RPS26	3	0.32734301686286926
ATC	MT2A	2	0.3251854404807091
ATC	FTL	4	0.3234289586544037
ATC	MMP7	1	0.3232598900794983
ATC	RPL37	3	0.32295897603034973
ATC	RPL17	3	0.32091596722602844
ATC	RPL12	3	0.3177391588687897
ATC	SERPINA3	1	0.31550148129463196
ATC	IGHG1	4	0.3153751790523529
ATC	FN1	4	0.31511156260967255
ATC	CFD	2	0.3144209049642086
ATC	MT-CO1	4	0.3114473819732666
ATC	PCSK2	1	0.3100282549858093
ATC	HSPB6	1	0.3058035969734192
ATC	SAA1	2	0.3037849962711334
ATC	C1QA	4	0.30161961913108826
ATC	RPL24	3	0.30121180415153503
ATC	TMSB4X	4	0.2992180734872818
ATC	KRT6A	1	0.29239359498023987
ATC	CD24	2	0.2908848896622658
ATC	RPL36A	3	0.28952035307884216
ATC	RPS21	3	0.2876984775066376
ATC	PRELP	1	0.28721413016319275
ATC	CCN5	1	0.2856888175010681
ATC	RARRES2	2	0.2854744419455528
ATC	RPS20	4	0.28498411178588867
ATC	GDF15	2	0.2845132350921631
ATC	MT-ATP6	4	0.284152090549469
ATC	RPS7	3	0.28136178851127625
ATC	ADIRF	4	0.27963992953300476
ATC	MT-CO3	4	0.2791838049888611
ATC	FTH1	3	0.27912071347236633
ATC	COL14A1	1	0.27851006388664246
ATC	KRT8	4	0.277790829539299
ATC	RPL37A	3	0.27715274691581726
ATC	HLA-B	4	0.2767867296934128
ATC	CCL21	4	0.27657104283571243
ATC	LCN2	1	0.27646031975746155
ATC	CD74	4	0.2763817757368088
ATC	RPL34	3	0.2758632302284241
ATC	ACKR1	1	0.2756502032279968
ATC	RPL35A	3	0.27555015683174133
ATC	TGM2	3	0.2753937244415283
ATC	RPL14	3	0.2727930545806885
ATC	H19	3	0.27155885100364685
ATC	RPS29	3	0.271496444940567
ATC	SLPI	3	0.27102166414260864
ATC	PODN	1	0.27040961384773254
ATC	RPS25	3	0.2689264714717865
ATC	CST2	1	0.2673394978046417
ATC	CST4	1	0.2653886079788208
ATC	IGHG2	2	0.2649196907877922
ATC	FOSB	2	0.2647182000800967
ATC	RPS23	3	0.26263827085494995
LPTC	IGLC7	1	0.7300657033920288
LPTC	IGKC	4	0.6544205844402313
LPTC	IGHG4	3	0.613684356212616
LPTC	IGHG1	3	0.610933780670166
LPTC	PLA2G2A	3	0.6108974814414978
LPTC	SFRP2	4	0.5809203237295151
LPTC	TG	4	0.5798502266407013
LPTC	IGLC2	4	0.5755214393138885
LPTC	MPZ	1	0.5634574890136719
LPTC	CFD	4	0.5613743364810944
LPTC	DES	1	0.5602185130119324
LPTC	IGHG3	4	0.5386077165603638
LPTC	IL1RL1	1	0.5151455402374268
LPTC	CCL19	3	0.5079764127731323
LPTC	IGHG2	2	0.506103903055191
LPTC	COL1A2	4	0.4888710677623749
LPTC	COL1A1	4	0.4822715073823929
LPTC	IGLC3	3	0.47826194763183594
LPTC	CXCL14	4	0.476432666182518
LPTC	FN1	4	0.4754035621881485
LPTC	SLC34A2	4	0.4592481553554535
LPTC	FBLN1	4	0.451576292514801
