bucket	module	n	r_vs_RAI
BRAF	CAF	312	-0.16092066198904903
BRAF	M1_M2	312	-0.27932078400011384
BRAF	TLS	312	-0.17065191365346485
BRAF	CD8	312	-0.09477075116617764
NEG	CAF	132	-0.28504641200502984
NEG	M1_M2	132	-0.4787819653227447
NEG	TLS	132	-0.25256061736575997
NEG	CD8	132	-0.26705034619859847
ALL	CAF	517	-0.32768739745483927
ALL	M1_M2	517	-0.4536339130599398
ALL	TLS	517	-0.30685194020176704
ALL	CD8	517	-0.17040771790895493
