sample_id	stage	lr_pair	n_spots	mean_activity	top25_activity	DM1top_activity	DM1bot_activity	DM1_top_minus_bot
GSM7980860_N-1	PT	PD-L1→PD-1	3395	0.00016894414147827774	0.19118845462799072	0.0002499166294001043	0.0	0.0002499166294001043
GSM7980860_N-1	PT	CXCL9→CXCR3	3395	0.0006646228721365333	0.2820493280887604	0.0002533468068577349	0.0011207136558368802	-0.0008673668489791453
GSM7980860_N-1	PT	CXCL10→CXCR3	3395	0.0		0.0	0.0	0.0
GSM7980860_N-1	PT	CXCL11→CXCR3	3395	0.0		0.0	0.0	0.0
GSM7980860_N-1	PT	CCL5→CCR5	3395	0.00048129158676601946	0.3267969787120819	0.0006149907130748034	0.0007509264978580177	-0.00013593578478321433
GSM7980860_N-1	PT	IFNG→IFNGR1	3395	0.0		0.0	0.0	0.0
GSM7980860_N-1	PT	IL10→IL10RA	3395	0.0		0.0	0.0	0.0
GSM7980860_N-1	PT	TGFB1→TGFBR1	3395	0.008052085526287556	0.42713797092437744	0.007691837381571531	0.009817361831665039	-0.0021255244500935078
GSM7980860_N-1	PT	CXCL13→CXCR5	3395	0.0		0.0	0.0	0.0
GSM7980860_N-1	PT	LGALS9→HAVCR2	3395	0.0002067799068754539	0.23400592803955078	0.00010858249879674986	0.0	0.00010858249879674986
GSM7980860_N-1	PT	CD80→CD28	3395	0.0		0.0	0.0	0.0
GSM7980860_N-1	PT	CD86→CTLA4	3395	0.0		0.0	0.0	0.0
GSM7980861_N-2	PT	PD-L1→PD-1	3780	7.872215064708143e-05	0.09918990731239319	4.565974450088106e-05	0.0	4.565974450088106e-05
GSM7980861_N-2	PT	CXCL9→CXCR3	3780	0.0010492766741663218	0.16526107490062714	0.0011791725410148501	0.0003175365854986012	0.0008616359555162489
GSM7980861_N-2	PT	CXCL10→CXCR3	3780	0.00017017808568198234	0.16081830859184265	0.0001996617065742612	0.0	0.0001996617065742612
GSM7980861_N-2	PT	CXCL11→CXCR3	3780	0.00017813390877563506	0.16833652555942535	0.0002777869813144207	7.706573524046689e-05	0.0002007212460739538
GSM7980861_N-2	PT	CCL5→CCR5	3780	0.003965455107390881	0.1784454733133316	0.005108507350087166	0.0026414538733661175	0.0024670534767210484
GSM7980861_N-2	PT	IFNG→IFNGR1	3780	0.0004940229700878263	0.6224689483642578	0.0013846097281202674	0.0	0.0013846097281202674
GSM7980861_N-2	PT	IL10→IL10RA	3780	0.0		0.0	0.0	0.0
GSM7980861_N-2	PT	TGFB1→TGFBR1	3780	0.0023199894931167364	0.19930817186832428	0.0021748989820480347	0.0015830174088478088	0.0005918815732002258
GSM7980861_N-2	PT	CXCL13→CXCR5	3780	0.0		0.0	0.0	0.0
GSM7980861_N-2	PT	LGALS9→HAVCR2	3780	0.0022630123421549797	0.18200397491455078	0.0038279856089502573	0.0016251899069175124	0.002202795702032745
GSM7980861_N-2	PT	CD80→CD28	3780	0.0		0.0	0.0	0.0
GSM7980861_N-2	PT	CD86→CTLA4	3780	3.8600031984969974e-05	0.07295405864715576	5.8641424402594566e-05	0.0	5.8641424402594566e-05
GSM7980862_N-3	PT	PD-L1→PD-1	4538	3.983409987995401e-05	0.18076714873313904	0.0	0.0	0.0
GSM7980862_N-3	PT	CXCL9→CXCR3	4538	1.783127481758129e-05	0.0809183269739151	0.0	0.0	0.0
GSM7980862_N-3	PT	CXCL10→CXCR3	4538	0.0		0.0	0.0	0.0
GSM7980862_N-3	PT	CXCL11→CXCR3	4538	0.0		0.0	0.0	0.0
GSM7980862_N-3	PT	CCL5→CCR5	4538	0.0009374515502713621	0.28361034393310547	0.0028896257281303406	0.0	0.0028896257281303406
GSM7980862_N-3	PT	IFNG→IFNGR1	4538	0.0001039050257531926	0.4715210199356079	0.0	0.0004154370108153671	-0.0004154370108153671
GSM7980862_N-3	PT	IL10→IL10RA	4538	0.0		0.0	0.0	0.0
