sample_id	stage	mod_a	mod_b	same_spot_r	lag_a_to_neighbor_b	lag_b_to_neighbor_a	lag_symmetric
GSM7980860_N-1	PT	Bplasma	CAF	0.09473564475774765	0.12027593702077866	0.08815795928239822	0.10421694815158844
GSM7980860_N-1	PT	Bplasma	CD8_Teff	0.014632719568908215	0.0852440670132637	0.040619827806949615	0.06293194741010666
GSM7980860_N-1	PT	Bplasma	EMT	0.04106958582997322	0.06179717555642128	0.040109097957611084	0.05095313675701618
GSM7980860_N-1	PT	Bplasma	Endothelial	0.0592661015689373	0.100999616086483	0.06022269278764725	0.08061115443706512
GSM7980860_N-1	PT	Bplasma	IFN_gamma	0.011710614897310734	0.021763838827610016	0.007549325004220009	0.014656581915915012
GSM7980860_N-1	PT	Bplasma	M1_M2	0.09563197940587997	0.1686815321445465	0.10840766876935959	0.13854460045695305
GSM7980860_N-1	PT	Bplasma	RAI_lineage	-0.010906247422099113	-0.015313702635467052	-0.01702871173620224	-0.016171207185834646
GSM7980860_N-1	PT	Bplasma	TLS	0.05601014569401741	0.1094546690583229	0.06918266415596008	0.0893186666071415
GSM7980860_N-1	PT	CAF	CD8_Teff	0.025510158389806747	0.06856023520231247	0.04591549560427666	0.05723786540329456
GSM7980860_N-1	PT	CAF	EMT	0.1143135279417038	0.21872679889202118	0.15806502103805542	0.1883959099650383
GSM7980860_N-1	PT	CAF	Endothelial	0.0947396457195282	0.12104173749685287	0.10360133647918701	0.11232153698801994
GSM7980860_N-1	PT	CAF	IFN_gamma	0.020497705787420273	0.07469957321882248	0.06209229677915573	0.0683959349989891
GSM7980860_N-1	PT	CAF	M1_M2	0.08863221853971481	0.1281757950782776	0.10335057228803635	0.11576318368315697
GSM7980860_N-1	PT	CAF	RAI_lineage	-0.22083011269569397	-0.25594276189804077	-0.3260018527507782	-0.2909723073244095
GSM7980860_N-1	PT	CAF	TLS	0.020676063373684883	0.08165785670280457	0.06205301731824875	0.07185543701052666
GSM7980860_N-1	PT	CD8_Teff	EMT	0.045271679759025574	0.033008210361003876	0.032657623291015625	0.03283291682600975
GSM7980860_N-1	PT	CD8_Teff	Endothelial	0.029275503009557724	0.0826052725315094	0.10548721253871918	0.09404624253511429
GSM7980860_N-1	PT	CD8_Teff	IFN_gamma	0.08888910710811615	0.09874890744686127	0.11975221335887909	0.10925056040287018
GSM7980860_N-1	PT	CD8_Teff	M1_M2	0.05269454047083855	0.10785786807537079	0.12035924941301346	0.11410855874419212
GSM7980860_N-1	PT	CD8_Teff	RAI_lineage	0.02519441954791546	0.038555461913347244	0.0690130665898323	0.053784264251589775
GSM7980860_N-1	PT	CD8_Teff	TLS	0.05937955901026726	0.0858554020524025	0.09942985326051712	0.09264262765645981
GSM7980860_N-1	PT	EMT	Endothelial	0.029000841081142426	0.02192470245063305	0.021851124241948128	0.02188791334629059
GSM7980860_N-1	PT	EMT	IFN_gamma	0.04026936739683151	0.05417073145508766	0.05566281080245972	0.05491677112877369
GSM7980860_N-1	PT	EMT	M1_M2	0.0807814970612526	0.07267102599143982	0.08163871616125107	0.07715487107634544
GSM7980860_N-1	PT	EMT	RAI_lineage	-0.09375903755426407	-0.09532207250595093	-0.17105334997177124	-0.13318771123886108
GSM7980860_N-1	PT	EMT	TLS	0.00984309334307909	0.0536632277071476	0.05109492316842079	0.052379075437784195
GSM7980860_N-1	PT	Endothelial	IFN_gamma	0.08130031824111938	0.1342621147632599	0.13612619042396545	0.13519415259361267
GSM7980860_N-1	PT	Endothelial	M1_M2	0.04356395825743675	0.09512009471654892	0.09481922537088394	0.09496966004371643
GSM7980860_N-1	PT	Endothelial	RAI_lineage	0.11213689297437668	0.18232811987400055	0.26897960901260376	0.22565386444330215
GSM7980860_N-1	PT	Endothelial	TLS	0.03164517134428024	0.12404683977365494	0.10660739988088608	0.11532711982727051
GSM7980860_N-1	PT	IFN_gamma	M1_M2	0.11709702759981155	0.17617447674274445	0.18519827723503113	0.1806863769888878
GSM7980860_N-1	PT	IFN_gamma	RAI_lineage	0.06788627058267593	0.09955521672964096	0.14446355402469635	0.12200938537716866
GSM7980860_N-1	PT	IFN_gamma	TLS	0.04776294156908989	0.14421389997005463	0.12899065017700195	0.1366022750735283
GSM7980860_N-1	PT	M1_M2	RAI_lineage	-0.022162334993481636	-0.016661986708641052	-0.02976091206073761	-0.02321144938468933
GSM7980860_N-1	PT	M1_M2	TLS	0.09390367567539215	0.10398811101913452	0.09940960258245468	0.1016988568007946
GSM7980860_N-1	PT	RAI_lineage	TLS	0.04829820990562439	0.041667938232421875	0.02119411528110504	0.03143102675676346
GSM7980861_N-2	PT	Bplasma	CAF	0.08962681889533997	0.13640505075454712	0.12666156888008118	0.13153330981731415
GSM7980861_N-2	PT	Bplasma	CD8_Teff	0.06075683981180191	0.12336420267820358	0.09289027005434036	0.10812723636627197
GSM7980861_N-2	PT	Bplasma	EMT	0.06225735321640968	0.10734362155199051	0.07747381925582886	0.09240872040390968
GSM7980861_N-2	PT	Bplasma	Endothelial	0.0686594620347023	0.03894691541790962	0.031004516407847404	0.03497571591287851
GSM7980861_N-2	PT	Bplasma	IFN_gamma	0.0825837105512619	0.11453643441200256	0.09821553528308868	0.10637598484754562
GSM7980861_N-2	PT	Bplasma	M1_M2	0.17523109912872314	0.1991453617811203	0.19204206764698029	0.1955937147140503
GSM7980861_N-2	PT	Bplasma	RAI_lineage	-0.0395706407725811	-0.025750091299414635	-0.03800692409276962	-0.03187850769609213
GSM7980861_N-2	PT	Bplasma	TLS	0.1527336835861206	0.1806325763463974	0.1702752560377121	0.17545391619205475
GSM7980861_N-2	PT	CAF	CD8_Teff	0.07499776780605316	0.1568397432565689	0.12011377513408661	0.13847675919532776
GSM7980861_N-2	PT	CAF	EMT	0.19180577993392944	0.2603267431259155	0.22434690594673157	0.24233682453632355
GSM7980861_N-2	PT	CAF	Endothelial	0.17566761374473572	0.20614637434482574	0.1744973212480545	0.19032184779644012
GSM7980861_N-2	PT	CAF	IFN_gamma	0.1125241070985794	0.1794743835926056	0.17514686286449432	0.17731062322854996
GSM7980861_N-2	PT	CAF	M1_M2	0.19739042222499847	0.23342660069465637	0.24530169367790222	0.2393641471862793
GSM7980861_N-2	PT	CAF	RAI_lineage	0.0034026161301881075	0.0765850692987442	0.09413463622331619	0.0853598527610302
GSM7980861_N-2	PT	CAF	TLS	0.07597742229700089	0.11366735398769379	0.11886697262525558	0.11626716330647469
GSM7980861_N-2	PT	CD8_Teff	EMT	0.04007837548851967	0.10780136287212372	0.13174745440483093	0.11977440863847733
GSM7980861_N-2	PT	CD8_Teff	Endothelial	0.05277072638273239	0.055183783173561096	0.06574606150388718	0.060464922338724136
GSM7980861_N-2	PT	CD8_Teff	IFN_gamma	0.10517537593841553	0.11551933735609055	0.13790380954742432	0.12671157345175743
GSM7980861_N-2	PT	CD8_Teff	M1_M2	0.12347452342510223	0.12214649468660355	0.16528116166591644	0.14371382817626
GSM7980861_N-2	PT	CD8_Teff	RAI_lineage	0.011098080314695835	0.024969208985567093	0.04848195239901543	0.03672558069229126
GSM7980861_N-2	PT	CD8_Teff	TLS	0.12492522597312927	0.13800068199634552	0.19470225274562836	0.16635146737098694
GSM7980861_N-2	PT	EMT	Endothelial	0.07769497483968735	0.15437063574790955	0.1537856012582779	0.15407811850309372
GSM7980861_N-2	PT	EMT	IFN_gamma	0.08592914044857025	0.13385285437107086	0.14987634122371674	0.1418645977973938
GSM7980861_N-2	PT	EMT	M1_M2	0.1562911719083786	0.17426739633083344	0.207039013504982	0.19065320491790771
GSM7980861_N-2	PT	EMT	RAI_lineage	0.10414433479309082	0.1508914828300476	0.20402821898460388	0.17745985090732574
GSM7980861_N-2	PT	EMT	TLS	0.0454736165702343	0.07026727497577667	0.08911113440990448	0.07968920469284058
GSM7980861_N-2	PT	Endothelial	IFN_gamma	0.12741495668888092	0.13134482502937317	0.14571461081504822	0.1385297179222107
GSM7980861_N-2	PT	Endothelial	M1_M2	0.08933641761541367	0.09940281510353088	0.12301710993051529	0.11120996251702309
GSM7980861_N-2	PT	Endothelial	RAI_lineage	0.07217279076576233	0.1299096643924713	0.18097130954265594	0.15544048696756363
GSM7980861_N-2	PT	Endothelial	TLS	0.06184053793549538	0.05167632922530174	0.06173039972782135	0.056703364476561546
GSM7980861_N-2	PT	IFN_gamma	M1_M2	0.15734747052192688	0.2036384791135788	0.23013707995414734	0.21688777953386307
GSM7980861_N-2	PT	IFN_gamma	RAI_lineage	0.10758456587791443	0.16604918241500854	0.2175283282995224	0.19178875535726547
GSM7980861_N-2	PT	IFN_gamma	TLS	0.1506730616092682	0.22286686301231384	0.2606170177459717	0.24174194037914276
GSM7980861_N-2	PT	M1_M2	RAI_lineage	-0.04250494763255119	0.005793737713247538	0.008079585619270802	0.00693666166625917
GSM7980861_N-2	PT	M1_M2	TLS	0.2391672283411026	0.31327807903289795	0.3202561140060425	0.3167670965194702
GSM7980861_N-2	PT	RAI_lineage	TLS	-0.048026375472545624	-0.0632859319448471	-0.057350218296051025	-0.060318075120449066
GSM7980862_N-3	PT	Bplasma	CAF	0.16745294630527496	0.21785582602024078	0.16717752814292908	0.19251667708158493
GSM7980862_N-3	PT	Bplasma	CD8_Teff	0.12568508088588715	0.16110031306743622	0.1062222570180893	0.13366128504276276
GSM7980862_N-3	PT	Bplasma	EMT	0.0365486741065979	0.08149171620607376	0.049870915710926056	0.06568131595849991
GSM7980862_N-3	PT	Bplasma	Endothelial	0.10829257220029831	0.14092634618282318	0.10034290701150894	0.12063462659716606
GSM7980862_N-3	PT	Bplasma	IFN_gamma	0.07400861382484436	0.13258326053619385	0.09249427914619446	0.11253876984119415
GSM7980862_N-3	PT	Bplasma	M1_M2	0.21053935587406158	0.25581613183021545	0.2058742195367813	0.23084517568349838
GSM7980862_N-3	PT	Bplasma	RAI_lineage	-0.1957457810640335	-0.20334427058696747	-0.1829451322555542	-0.19314470142126083
GSM7980862_N-3	PT	Bplasma	TLS	0.17125549912452698	0.20562471449375153	0.13910992443561554	0.17236731946468353
GSM7980862_N-3	PT	CAF	CD8_Teff	0.06679127365350723	0.09128127247095108	0.086728535592556	0.08900490403175354
GSM7980862_N-3	PT	CAF	EMT	0.11239048093557358	0.15553748607635498	0.12724462151527405	0.14139105379581451
GSM7980862_N-3	PT	CAF	Endothelial	0.181649848818779	0.19242185354232788	0.1727626919746399	0.1825922727584839
GSM7980862_N-3	PT	CAF	IFN_gamma	0.050165724009275436	0.08127230405807495	0.06812044233083725	0.0746963731944561
GSM7980862_N-3	PT	CAF	M1_M2	0.21468216180801392	0.186401829123497	0.19507114589214325	0.19073648750782013
GSM7980862_N-3	PT	CAF	RAI_lineage	-0.17220278084278107	-0.16989648342132568	-0.19569487869739532	-0.1827956810593605
GSM7980862_N-3	PT	CAF	TLS	0.09310036152601242	0.13135968148708344	0.11153525859117508	0.12144747003912926
GSM7980862_N-3	PT	CD8_Teff	EMT	0.01109311729669571	0.0332854725420475	0.03161109983921051	0.032448286190629005
