stage	lr_pair	n_slides	mean	DM1_top_minus_bot_mean
ATC	LGALS9→HAVCR2	4	0.0347919266205281	0.027852483093738556
LPTC	LGALS9→HAVCR2	4	0.007439711946062744	0.007476657905499451
ATC	CCL5→CCR5	4	0.09186026407405734	0.005385108292102814
LPTC	CCL5→CCR5	4	0.002928540314314887	0.005370839786337456
ATC	CXCL10→CXCR3	4	0.054557002789806575	0.004698389850091189
PTC	LGALS9→HAVCR2	4	0.006883283669594675	0.0032871542789507657
PTC	CXCL13→CXCR5	4	0.0020388855773489922	0.0030748563785891747
ATC	CD86→CTLA4	4	0.0030720421054866165	0.002568720607087016
PTC	CXCL9→CXCR3	4	0.0013062476937193424	0.002242326067062095
PT	CCL5→CCR5	4	0.001681403948168736	0.0017290483956458047
PTC	CD86→CTLA4	4	0.0014896739385221736	0.0015377543168142438
ATC	IL10→IL10RA	4	0.0013125523000780959	0.0013813440455123782
ATC	CXCL9→CXCR3	4	0.05132167838746682	0.0013354835100471973
LPTC	CXCL9→CXCR3	4	0.0004114693829251337	0.0013213145175541285
LPTC	CXCL10→CXCR3	4	0.0003179200689373829	0.0009904008365992922
PTC	CCL5→CCR5	4	0.0036689486587420106	0.000917741417651996
ATC	CXCL11→CXCR3	4	0.038996784707705956	0.000916222641535569
LPTC	IFNG→IFNGR1	4	0.0004736385071737459	0.0008682862608111463
LPTC	CD86→CTLA4	4	0.0005681031398125924	0.0008120752536342479
PT	LGALS9→HAVCR2	4	0.0006934455486771185	0.0006277912234509131
LPTC	IL10→IL10RA	4	0.00022520142920257058	0.0005635353491015849
PTC	IL10→IL10RA	4	0.0005447903167805634	0.0004900763160549104
PT	TGFB1→TGFBR1	4	0.008197589602787048	0.0004860017215833068
LPTC	PD-L1→PD-1	4	0.00014956998893467244	0.00031942765417625196
LPTC	CXCL13→CXCR5	4	5.305112267706136e-05	0.00021218558413238497
PT	IFNG→IFNGR1	4	0.00017166618818009738	0.00015358573000412434
PT	CXCL10→CXCR3	4	7.603035192005336e-05	0.00015328085282817483
LPTC	CXCL11→CXCR3	4	5.8589324908098206e-05	0.0001486522778577637
PTC	CXCL10→CXCR3	4	0.0005724494003516156	0.00012640158092835918
PTC	CD80→CD28	4	0.00011743530535568425	0.00011182473099324852
PT	CXCL11→CXCR3	4	5.367637368181022e-05	8.673981938045472e-05
PT	CXCL9→CXCR3	4	0.0004544622893263295	8.46571711008437e-05
LPTC	CD80→CD28	4	0.00012191297446406679	6.4708574427641e-05
PTC	CXCL11→CXCR3	4	0.00011823718887171708	6.391451097442769e-05
PT	PD-L1→PD-1	4	0.00010062822912004776	4.851031644648174e-05
PT	IL10→IL10RA	4	0.0	0.0
ATC	CD80→CD28	4	0.0002794291540340055	0.0
PT	CXCL13→CXCR5	4	0.0	0.0
ATC	CXCL13→CXCR5	4	0.000427785864303587	0.0
ATC	IFNG→IFNGR1	4	0.004048812981636729	0.0
PT	CD80→CD28	4	0.0	0.0
PT	CD86→CTLA4	4	1.430391921530827e-05	-3.947088771383278e-06
PTC	PD-L1→PD-1	4	0.000557944002594013	-0.0001196197044919245
PTC	IFNG→IFNGR1	4	0.0007049834312056191	-0.00038621030034846626
ATC	PD-L1→PD-1	4	0.005603936398983933	-0.0008250681567005813
ATC	TGFB1→TGFBR1	4	0.12756003066897392	-0.015612438321113586
PTC	TGFB1→TGFBR1	4	0.09027301985770464	-0.03580661490559578
LPTC	TGFB1→TGFBR1	4	0.13352260366082191	-0.13263115845620632
