a	b	spearman_r	n
rai8_resid_mean	tds_resid_mean	0.85	16
dm1_resid_morans_lite_k6	dm1_resid_q4_entropy	0.4617647058823529	16
dm1_resid_bot25_mean	dm1_resid_q4_entropy	0.12941176470588234	16
dm1_resid_morans_lite_k6	tds_resid_mean	0.1176470588235294	16
dm1_resid_morans_lite_k6	rai8_resid_mean	0.02941176470588235	16
dm1_resid_bot25_mean	dm1_resid_morans_lite_k6	0.0	16
dm1_resid_q4_entropy	rai8_resid_mean	-0.0823529411764706	16
dm1_resid_morans_lite_k6	dm1_resid_top25_mean	-0.0823529411764706	16
dm1_resid_q4_entropy	dm1_resid_top25_mean	-0.08823529411764705	16
dm1_resid_q4_entropy	tds_resid_mean	-0.15	16
dm1_resid_bot25_mean	tds_resid_mean	-0.2088235294117647	16
dm1_resid_bot25_mean	rai8_resid_mean	-0.34705882352941175	16
dm1_resid_bot25_mean	dm1_resid_top25_mean	-0.4441176470588235	16
dm1_resid_top25_mean	rai8_resid_mean	-0.5117647058823529	16
dm1_resid_top25_mean	tds_resid_mean	-0.5176470588235293	16
spot_density	tds_resid_mean		16
dm1_resid_q4_entropy	spot_density		16
dm1_resid_top25_mean	spot_density		16
dm1_resid_bot25_mean	spot_density		16
dm1_resid_morans_lite_k6	spot_density		16
rai8_resid_mean	spot_density		16
