n	HR	p	method	endpoint	module	n_used
572	1.3703870638086697	0.2675315381972891	cox	OS	CAF	572
572	0.7630262992555538	0.3068621826892151	cox	OS	M1_M2	572
572	0.5941718692871311	0.08644988325558436	cox	OS	CD8	572
572	0.760238447303809	0.32724272275167016	cox	OS	TLS	572
572	1.4386906323874462	0.26274191892962717	cox	OS	RAI	572
572	1.0829291838764685	0.6224514325015871	cox	PFI	CAF	572
572	0.9836211352482431	0.9067912222010279	cox	PFI	M1_M2	572
572	0.9544331565394866	0.7531830811451983	cox	PFI	CD8	572
572	1.1041339207913168	0.4690883192650378	cox	PFI	TLS	572
572	0.8373672876830383	0.2905797472904385	cox	PFI	RAI	572
566	1.1500623846823204	0.7330783925976463	cox	DSS	CAF	572
566	0.3472001161842595	0.0050466590706625715	cox	DSS	M1_M2	572
566	0.2770732832718992	0.01109405697803398	cox	DSS	CD8	572
566	0.42487161565943543	0.07365567793313109	cox	DSS	TLS	572
566	1.6995818641917304	0.2578092944671182	cox	DSS	RAI	572
401	1.3104926519236915	0.26019581234895617	cox	DFI	CAF	572
401	1.0649481213574676	0.7639081777537621	cox	DFI	M1_M2	572
401	1.137391014636377	0.5414431240129653	cox	DFI	CD8	572
401	1.2178342441399255	0.31518665152718384	cox	DFI	TLS	572
401	0.7075759622154324	0.11354757596081638	cox	DFI	RAI	572
