target	feature_set	n	spearman_r	pearson_r	r2	mae	auroc_q50	auroc_q75	auroc_q90
DM1_like_score	morphology_only	3200	0.18856602925717544	0.19692377005180314	0.03646070120918121	0.310738029092829	0.5294245848491131	0.7188609375	0.7387315538194446
DM1_like_score	clinical_text_only	3200	-0.10391953359172862	-0.04689360437099799	-0.0011836466358492448	0.30825779727306646	0.45075679037943184	0.4560416666666666	0.5243055555555556
DM1_like_score	morphology_plus_text	3200	0.23684353405378597	0.2171339883860453	0.045281130359090094	0.30433288151238636	0.5976786578201674	0.6930484375	0.7201030815972222
RAI_8_score	morphology_only	3200	0.18856602925717544	0.19692377005180314	0.03646070120918121	0.310738029092829	0.5788846950710698	0.5130963541666668	0.47914713541666665
RAI_8_score	clinical_text_only	3200	-0.10391953359172862	-0.04689360437099799	-0.0011836466358492448	0.30825779727306646	0.3821736898430901	0.4628125	0.4878472222222222
RAI_8_score	morphology_plus_text	3200	0.23684353405378597	0.2171339883860453	0.045281130359090094	0.30433288151238636	0.6040174503545559	0.5675479166666667	0.5216590711805555
TDS_like_score	morphology_only	3200	0.16268529061530732	0.18128313568090465	0.032036035967199394	0.3147357367457365	0.5551341630402161	0.5020619791666667	0.44895182291666663
TDS_like_score	clinical_text_only	3200	-0.10502707243850122	-0.030542314709347068	-0.0016403045431616636	0.311814023632525	0.36275760304121646	0.4340625	0.4663628472222222
TDS_like_score	morphology_plus_text	3200	0.1955318091834685	0.18749954477239653	0.03385490689508586	0.3105255779943754	0.5663792860894358	0.5509588541666667	0.46741427951388886
TROP2	morphology_only	3200	-0.044059184183516356	-0.044454265392933505	-0.0733147584321252	4.8774081815981845		0.48881587456042563	0.4680260920327927
TROP2	clinical_text_only	3200	0.37160154351708	0.4898632358297857	0.23650910604725783	3.5372502296389263		0.7330026133244649	0.7009188050458135
TROP2	morphology_plus_text	3200	0.5643634482566636	0.5717544176867303	0.325344551452622	3.318676745649442		0.8440406758923384	0.7990172339399478
Epithelial_score	morphology_only	3200	0.16044555511731765	0.17369711826289425	0.02790511754107272	0.42853937336887865	0.57685390625	0.5114942708333333	0.4442838541666666
Epithelial_score	clinical_text_only	3200	-0.017747593201492485	-0.0355846868435484	-0.0007515440853664845	0.4377848995444083	0.49359375000000005	0.4617708333333334	0.3702256944444445
Epithelial_score	morphology_plus_text	3200	0.18087096775026917	0.18074863176003583	0.02786225598216241	0.42705538883431854	0.59095859375	0.5345265625	0.46069227430555554
Proliferation_score	morphology_only	3200	0.10669021960376786	0.059662232838356116	0.0009209946303500027	0.29605524469515127	0.5633142818391	0.5505072916666667	0.5164333767361111
Proliferation_score	clinical_text_only	3200	-0.05140597373197984	-0.06786264064116361	-0.001564606574333327	0.30082434148401943	0.5099357958335896	0.44239583333333327	0.4424913194444444
Proliferation_score	morphology_plus_text	3200	0.12489853649551576	0.06552138127299373	-0.004376837563111913	0.2975653139827163	0.55593537632221	0.5315151041666666	0.5035438368055556
EMT_score	morphology_only	3200	0.03732082712840332	-0.03354489238961583	-0.0029994970400180065	0.24903707708951228	0.529221875	0.47160052083333337	0.42399739583333335
EMT_score	clinical_text_only	3200	-0.04361068808546178	-0.04384187242456414	-0.0010906982390488373	0.2490163108631198	0.48890625	0.4648958333333333	0.4865451388888889
EMT_score	morphology_plus_text	3200	0.03774535180871751	-0.03997463743160255	-0.005196923978582291	0.24951232948190682	0.532601171875	0.47337656250000004	0.4355512152777778
CAF_ECM_score	morphology_only	3200	0.10374258585827788	0.0946473755524306	-0.0018085323647780704	0.38300491524254193	0.5514449218749999	0.5824614583333333	0.6183463541666666
CAF_ECM_score	clinical_text_only	3200	-0.0506973540084993	-0.05747958570454528	-0.0027074152363772974	0.3851090827442187	0.478125	0.45625000000000004	0.46462673611111116
CAF_ECM_score	morphology_plus_text	3200	0.13544780004816234	0.12409422603769463	0.007551737517681123	0.3798425761458418	0.5721679687500001	0.6074802083333334	0.6472157118055555
Hypoxia_score	morphology_only	3200	0.1361703487970334	0.098263705465729	0.009136345795511702	0.26621390524966576	0.564514453125	0.5504979166666667	0.5212055121527778
Hypoxia_score	clinical_text_only	3200	-0.06523716266209494	-0.06319039450242434	-0.0016588344873982308	0.2687831562819222	0.46257812499999995	0.4563541666666667	0.45160590277777773
Hypoxia_score	morphology_plus_text	3200	0.13936922633060175	0.09625608213554548	0.007969706137551769	0.265982721818935	0.5680730468749999	0.5444473958333333	0.5064789496527777
