generation	best_fitness	mean_fitness	fitness	mean_ap	mean_auc	mean_top10	mean_top5	min_ap	std_ap	entropy	bundle_eval_rows	holdout_bundle
0	0.8765550162819505	0.5497060284614989	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
1	0.8765550162819505	0.6629460493274685	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
2	0.8765550162819505	0.6927823412420987	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
3	0.8765550162819505	0.7583919924381791	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
4	0.8765550162819505	0.7797159126951466	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
5	0.8765550162819505	0.80892192527973	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
6	0.8765550162819505	0.8170893425958937	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
7	0.8765550162819505	0.8289954049857178	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
8	0.8765550162819505	0.8398587495725165	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
9	0.8765550162819505	0.8449362575272507	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
10	0.8765550162819505	0.8436556655200232	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
11	0.8765550162819505	0.8445141954940315	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
12	0.8765550162819505	0.85594592271062	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
13	0.8765550162819505	0.8444088907436008	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
14	0.8765550162819505	0.8578802051896836	0.8765550162819505	0.8990283690323881	0.956281845716439	0.85	0.95	0.7831796219787388	0.08512674439993131	0.4796274524146543	4	cedar_partial
15	0.8783655945814456	0.8558306845738272	0.8783655945814456	0.9020042250629601	0.9557550049558599	0.85	0.95	0.7883085141019843	0.0823536186191962	0.49808425762716085	4	cedar_partial
16	0.8783655945814456	0.8625791754573274	0.8783655945814456	0.9020042250629601	0.9557550049558599	0.85	0.95	0.7883085141019843	0.0823536186191962	0.49808425762716085	4	cedar_partial
17	0.8783655945814456	0.865113828319133	0.8783655945814456	0.9020042250629601	0.9557550049558599	0.85	0.95	0.7883085141019843	0.0823536186191962	0.49808425762716085	4	cedar_partial
18	0.8783655945814456	0.8617810642310121	0.8783655945814456	0.9020042250629601	0.9557550049558599	0.85	0.95	0.7883085141019843	0.0823536186191962	0.49808425762716085	4	cedar_partial
19	0.8783655945814456	0.8663415491427312	0.8783655945814456	0.9020042250629601	0.9557550049558599	0.85	0.95	0.7883085141019843	0.0823536186191962	0.49808425762716085	4	cedar_partial
20	0.8793916767272686	0.8621956150531161	0.8793916767272686	0.9022353037966524	0.956083843911862	0.85	0.95	0.7927572880125215	0.08103836224194645	0.4850103445301187	4	cedar_partial
21	0.8804114863364298	0.8664133414929744	0.8804114863364298	0.9031404275109113	0.9570106793567678	0.85	0.95	0.7948661180589851	0.08058636187600757	0.4792031309186392	4	cedar_partial
22	0.8804114863364298	0.8628970105342416	0.8804114863364298	0.9031404275109113	0.9570106793567678	0.85	0.95	0.7948661180589851	0.08058636187600757	0.4792031309186392	4	cedar_partial
23	0.8804114863364298	0.8608700664387263	0.8804114863364298	0.9031404275109113	0.9570106793567678	0.85	0.95	0.7948661180589851	0.08058636187600757	0.4792031309186392	4	cedar_partial
0	0.92340981185352	0.61551099025212	0.92340981185352	0.9541218504541922	0.9825272621301625	0.85	0.95	0.861730489668675	0.05587524398677582	0.37091101706845486	4	itsndb
1	0.92340981185352	0.7078737936273006	0.92340981185352	0.9541218504541922	0.9825272621301625	0.85	0.95	0.861730489668675	0.05587524398677582	0.37091101706845486	4	itsndb
2	0.92340981185352	0.7257401753799604	0.92340981185352	0.9541218504541922	0.9825272621301625	0.85	0.95	0.861730489668675	0.05587524398677582	0.37091101706845486	4	itsndb
3	0.92340981185352	0.7804810184264072	0.92340981185352	0.9541218504541922	0.9825272621301625	0.85	0.95	0.861730489668675	0.05587524398677582	0.37091101706845486	4	itsndb
4	0.92340981185352	0.8310225663588181	0.92340981185352	0.9541218504541922	0.9825272621301625	0.85	0.95	0.861730489668675	0.05587524398677582	0.37091101706845486	4	itsndb
5	0.92340981185352	0.8395563695333573	0.92340981185352	0.9541218504541922	0.9825272621301625	0.85	0.95	0.861730489668675	0.05587524398677582	0.37091101706845486	4	itsndb
6	0.92340981185352	0.8572881794336027	0.92340981185352	0.9541218504541922	0.9825272621301625	0.85	0.95	0.861730489668675	0.05587524398677582	0.37091101706845486	4	itsndb
7	0.923661920213475	0.8835528462663554	0.923661920213475	0.9545366196425996	0.9821952270040877	0.85	0.95	0.8630085444000334	0.05535091134066833	0.3746287330606508	4	itsndb
