preset_name	call_rule	source_dataset	n	positive	negative	called_positive	TP	TN	FP	FN	precision	recall	FPR
NO_FALSE_POSITIVE_MAX_TP	md_escalation	ITSNdb_Val	9	5	4	1	1	4	0	4	1.0	0.2	0.0
NO_FALSE_POSITIVE_MAX_TP	md_escalation	ITSNdb_main	80	16	64	5	5	64	0	11	1.0	0.3125	0.0
NO_FALSE_POSITIVE_MAX_TP	md_escalation	NEPdb	560	140	420	7	7	420	0	133	1.0	0.05	0.0
HIGH_PRECISION_MIN_FP	md_escalation	ITSNdb_Val	9	5	4	1	1	4	0	4	1.0	0.2	0.0
HIGH_PRECISION_MIN_FP	md_escalation	ITSNdb_main	80	16	64	5	5	64	0	11	1.0	0.3125	0.0
HIGH_PRECISION_MIN_FP	md_escalation	NEPdb	560	140	420	7	7	420	0	133	1.0	0.05	0.0
BALANCED_F1	non_culled	ITSNdb_Val	9	5	4	5	3	2	2	2	0.6	0.6	0.5
BALANCED_F1	non_culled	ITSNdb_main	80	16	64	42	13	35	29	3	0.30952380952380953	0.8125	0.453125
BALANCED_F1	non_culled	NEPdb	560	140	420	300	117	237	183	23	0.39	0.8357142857142857	0.4357142857142857
RECALL_PRESERVING	non_culled	ITSNdb_Val	9	5	4	3	2	3	1	3	0.6666666666666666	0.4	0.25
RECALL_PRESERVING	non_culled	ITSNdb_main	80	16	64	27	11	48	16	5	0.4074074074074074	0.6875	0.25
RECALL_PRESERVING	non_culled	NEPdb	560	140	420	82	50	388	32	90	0.6097560975609756	0.35714285714285715	0.0761904761904762
WETLAB_ULTRA_STRICT	wetlab_shortlist	ITSNdb_Val	9	5	4	0	0	4	0	5	0.0	0.0	0.0
WETLAB_ULTRA_STRICT	wetlab_shortlist	ITSNdb_main	80	16	64	0	0	64	0	16	0.0	0.0	0.0
WETLAB_ULTRA_STRICT	wetlab_shortlist	NEPdb	560	140	420	2	2	420	0	138	1.0	0.014285714285714285	0.0
STRUCTURE_MD_STRICT	structure_md_supported	ITSNdb_Val	9	5	4	0	0	4	0	5	0.0	0.0	0.0
STRUCTURE_MD_STRICT	structure_md_supported	ITSNdb_main	80	16	64	0	0	64	0	16	0.0	0.0	0.0
STRUCTURE_MD_STRICT	structure_md_supported	NEPdb	560	140	420	2	2	420	0	138	1.0	0.014285714285714285	0.0
