angle	n_fusion+	n_fusion-	median_+	median_-	cohens_d	mw_p	young_pct_+	young_pct_-	odds_ratio	p	advanced_pct_+	advanced_pct_-	hashi_pct_+	hashi_pct_-
score:tds_score	72	18	0.181	-0.409	0.516	0.06860290777656973								
score:rai_score_v17	72	18	7.79	7.192	0.392	0.1623242947491147								
score:tds16_score_v17	72	18	7.099	6.509	0.516	0.06860290777656973								
score:dedifferentiation_proxy_score	72	18	-0.181	0.409	-0.516	0.06860290777656973								
immune:T_cell_total	72	18	0.316	1.331	-0.385	0.1623242947491147								
immune:CD8_cytotoxic	72	18	0.355	1.025	-0.533	0.04521764694932169								
immune:B_cell	72	18	0.139	0.851	-0.438	0.14488750002234113								
immune:IFN_gamma_response	72	18	0.193	1.0	-0.54	0.04309359514598027								
immune:Checkpoint_exhaustion	72	18	0.185	1.101	-0.571	0.041054488796809896								
age	71	17	37.3	51.3	-0.817	0.0042927347750665494								
young_onset (<45)	71	17					73.2	29.4	6.568	0.0013				
stage_advanced (III/IV)	72	18							0.225	0.0195	15.3	44.4		
Hashimoto-like × fusion (DM1)	72	18							0.337	0.0636			40.3	66.7
