angle	n_RET+	n_RET-	median_+	median_-	cohens_d	mw_p	young_pct_+	young_pct_-	odds_ratio	p	advanced_pct_+	advanced_pct_-	male_pct_+	male_pct_-
score:tds_score	41	49	0.273	-0.043	0.239	0.3514103921820909								
score:rai_score_v17	41	49	7.991	7.483	0.24	0.26694499830080776								
score:tds16_score_v17	41	49	7.19	6.875	0.239	0.3514103921820909								
score:dedifferentiation_proxy_score	41	49	-0.273	0.043	-0.239	0.3514103921820909								
age	40	48	42.0	41.7	-0.485	0.05427353746034227								
young_onset (<45)	40	48					77.5	54.2	2.915	0.0266				
stage_advanced	41	49							0.837	0.7995	19.5	22.4		
sex_male	41	49							0.261	0.0151			12.2	34.7
