bucket	dm_true	n	mean_dm2_prob	accuracy
BRAF	DM1	1	0.2803730626388012	1.0
NEG	DM1	20	0.4806611946102106	0.65
NEG	DM2	20	0.5415889411187703	0.75
OTHER	DM1	4	0.34574552594842156	0.75
OTHER	DM2	5	0.5689967083645474	0.8
