cohort	panel	OR	lo	hi	p	n	n_resp	AUC	beta	se	n_HT13_genes	n_TIS_genes	HR	surv_metric
IMvigor210	HT13	1.0609605832775937	0.8106056612868787	1.3886374263433146	0.666523710094457	298	68	0.5333759590792839	0.05917470840225067	0.13732055568616983	13	18		
IMvigor210	TIS	1.3008618833274086	0.9915322922735913	1.706693420558002	0.05761485140369271	298	68	0.5770460358056266	0.26302703196351446	0.13853611959445292	13	18		
IMvigor210	DM1_inflam	1.1805729228819093	0.9011010702141059	1.5467215302616082	0.22842663678708175	298	68	0.5589514066496165	0.16599984851308242	0.13782535743864885	13	18		
IMvigor210	HT13_PFS					0	0				13	18		PFS
IMvigor210	DM1_inflam_PFS					0	0				13	18		PFS
IMvigor210	HT13_OS		0.7492548466216248	1.009389262985283	0.06620375465702219	298	189				13	18	0.8696492381526894	OS
IMvigor210	DM1_inflam_OS		0.7168697607821999	0.9589198511249619	0.011563517118934052	298	189				13	18	0.8291083429113798	OS
riaz_GSE91061	HT13	1.9096626031029036	0.9361360560742602	3.8955996129268518	0.07531117608706595	49	10	0.6307692307692307	0.6469265788644125	0.36373522085656346	13	18		
riaz_GSE91061	TIS	1.5653245928385244	0.7534539985384962	3.2520115172232402	0.22969025913704444	49	10	0.6025641025641025	0.4480932100506935	0.37305128735212323	13	18		
riaz_GSE91061	DM1_inflam	1.7813077189261233	0.8571264778220241	3.7019707961520356	0.12188171820463256	49	10	0.6205128205128205	0.5773477681174862	0.3732232435382481	13	18		
riaz_GSE91061	HT13_PFS					0	0				13	18		PFS
riaz_GSE91061	DM1_inflam_PFS					0	0				13	18		PFS
riaz_GSE91061	HT13_OS					0	0				13	18		OS
riaz_GSE91061	DM1_inflam_OS					0	0				13	18		OS
MGH_GSE115821	HT13	1.6816898274493617	0.34793953371659825	8.12808089249834	0.5178615255634944	13	2	0.6363636363636364	0.5197991375595866	0.8038396456898502	13	18		
MGH_GSE115821	TIS	2.2029241848043797	0.4789526428500308	10.132264716442055	0.3103709356072353	13	2	0.7727272727272727	0.789785652704354	0.778540411155412	13	18		
MGH_GSE115821	DM1_inflam	1.9735447869319633	0.4130956532556615	9.428516120492365	0.39420690600662356	13	2	0.6818181818181819	0.6798313100269061	0.7979119474074569	13	18		
MGH_GSE115821	HT13_PFS					0	0				13	18		PFS
MGH_GSE115821	DM1_inflam_PFS					0	0				13	18		PFS
MGH_GSE115821	HT13_OS					0	0				13	18		OS
MGH_GSE115821	DM1_inflam_OS					0	0				13	18		OS
GSE176307	HT13	0.9579859805730526	0.49548314071327637	1.8522065910322965	0.8984646566529373	61	11	0.48545454545454547	-0.042922135175711675	0.33637745684278375	13	18		
GSE176307	TIS	1.1705193987175155	0.6118933128077866	2.239141422361658	0.6342476192497819	61	11	0.5490909090909091	0.15744758082945182	0.3309412846801979	13	18		
GSE176307	DM1_inflam	1.0600606929723337	0.549720650120524	2.044181299244647	0.8617954599412654	61	11	0.5181818181818182	0.05832616400589604	0.3350363278891297	13	18		
GSE176307	HT13_PFS		0.6541057090187756	1.1274866682860312	0.273036336407451	61	53				13	18	0.8587755623959333	PFS
GSE176307	DM1_inflam_PFS		0.6450393707953743	1.104238460579046	0.21610002653167942	61	53				13	18	0.8439652136314392	PFS
GSE176307	HT13_OS		0.5236430004553877	1.0287004838759533	0.0725426565286244	61	36				13	18	0.73394264622429	OS
GSE176307	DM1_inflam_OS		0.4955859611688231	0.9752657941664934	0.035292516553189025	61	36				13	18	0.6952179773258723	OS
Hugo_GSE78220	HT13	1.2267743926470311	0.5532544691352956	2.7202227806793515	0.6149207453269314	27	15	0.5666666666666667	0.20438827974945975	0.40628852136018817	13	18		
Hugo_GSE78220	TIS	0.9387666356164374	0.43270445069638314	2.0366853050119813	0.8729550595315239	27	15	0.4555555555555556	-0.06318835503131424	0.3951591790315712	13	18		
Hugo_GSE78220	DM1_inflam	1.074104460404869	0.4940708953218794	2.335090779047038	0.8568153441747974	27	15	0.5277777777777779	0.07148725430374471	0.3962058742844943	13	18		
