p2s_cluster	pred_DM1_like_score_smooth8	pred_TDS_like_score_smooth8	pred_Epithelial_score_smooth8	pred_CAF_ECM_score_smooth8	pred_Hypoxia_score_smooth8	pred_Proliferation_score_smooth8	pred_MAPK_output_score_smooth8	n_spots	frac_PT	frac_PTC	frac_LPTC	frac_ATC
1	0.9488616281194178	-0.8472824639901219	-0.9117846416245764	0.6687365762525851	-0.6479771340076608	-0.533782332124642	-0.8708585067624057	497	0.13883299798792756	0.23742454728370221	0.42655935613682094	0.19718309859154928
2	0.07787029873889556	-0.056047219641910215	-0.16510867736718454	0.1375967509348782	-0.11388802405498834	-0.12061680104152989	-0.14076866383928513	1488	0.22580645161290322	0.23118279569892472	0.22379032258064516	0.3192204301075269
3	-0.5447622485824865	0.4959891334044318	0.4223660371386793	-0.3836512260733042	0.39607099818097863	0.26076236512605866	0.4155896760951613	1215	0.32510288065843623	0.2781893004115226	0.20987654320987653	0.1868312757201646
