sample_id	stage	cluster_1_prop	cluster_2_prop	cluster_3_prop
GSM7980860_N-1	PT	0.315	0.625	0.06
GSM7980861_N-2	PT	0.005	0.26	0.735
GSM7980862_N-3	PT	0.0	0.145	0.855
GSM7980863_N-4	PT	0.025	0.65	0.325
GSM7980864_PTC-1	PTC	0.215	0.65	0.135
GSM7980865_PTC-2	PTC	0.17	0.575	0.255
GSM7980866_PTC-3	PTC	0.095	0.16	0.745
GSM7980867_PTC-4	PTC	0.11	0.335	0.555
GSM7980868_LPTC-1	LPTC	0.09	0.28	0.63
GSM7980869_LPTC-2	LPTC	0.67	0.23	0.1
GSM7980870_LPTC-3	LPTC	0.055	0.605	0.34
GSM7980871_LPTC-4	LPTC	0.245	0.55	0.205
GSM7980872_ATC-1	ATC	0.05	0.74	0.21
GSM7980873_ATC-2	ATC	0.0	0.57	0.43
GSM7980874_ATC-3	ATC	0.1	0.565	0.335
GSM7980875_ATC-4	ATC	0.34	0.5	0.16
