target	mode	n_spots	overall_spearman_rho	overall_spearman_p	median_slide_rho	slides_rho_gt_0_2	slides_rho_gt_0_3
DM1_like_score	raw	3200	0.29496547194041467	2.9345055637081365e-65	0.276381326931272	9	7
TDS_like_score	raw	3200	0.26582597528568896	6.7882655117708135e-53	0.1814602753123306	7	7
CAF_ECM_score	raw	3200	0.21873298398577168	5.768615010411954e-36	0.22634486356388941	8	8
MAPK_output_score	raw	3200	0.1912286107878399	9.863258776759706e-28	0.15801789101231872	6	3
Epithelial_score	raw	3200	0.13726046803789868	6.26335541175375e-15	0.17977153715451477	7	1
Hypoxia_score	raw	3200	0.07990128906709998	6.028993794278334e-06	0.06435972365196613	5	1
Proliferation_score	raw	3200	0.05446379361342893	0.002056001182943819	0.08289965101754422	2	0
EMT_score	raw	3200	0.03646827763877562	0.03912807270401907	0.04260561131829131	2	1
DM1_like_score	smooth8	3200	0.3920328289160033	4.734139698173308e-118	0.37274881872046806	12	11
TDS_like_score	smooth8	3200	0.3807456048157699	6.433981783880375e-111	0.3379021975549389	12	9
CAF_ECM_score	smooth8	3200	0.3183898561605291	2.627662258154019e-76	0.28949298732468315	9	8
MAPK_output_score	smooth8	3200	0.29830506565437714	8.996038331750581e-67	0.3065173336698264	12	9
Epithelial_score	smooth8	3200	0.24368998843156284	1.7630871465118507e-44	0.27357908947723697	12	5
Hypoxia_score	smooth8	3200	0.18761782221827294	9.715426513134662e-27	0.28872239584385484	10	7
Proliferation_score	smooth8	3200	0.10813463867939269	8.644436135054421e-10	0.14600721027442667	6	3
EMT_score	smooth8	3200	0.09249722156581423	1.5916547213435126e-07	0.1006052651316283	5	3
