panel_class	gene	n_DM1	n_DM2	mean_DM1	mean_DM2	cohen_d	MW_p	missing	BH_FDR
stimulatory	CD40	85	25	0.5871749024704236	-1.1284294790905802	2.1028038149760784	1.2245149731384994e-09	False	7.193146966693648e-09
antigen_pres	HLA-DRA	85	25	0.536953515751503	-1.254329508064649	2.069592780810221	8.148925038985134e-11	False	1.2332619983117986e-09
stimulatory	CD86	85	25	0.5694966041358798	-1.169385569652492	1.8868995691656347	2.978889136428236e-11	False	1.2332619983117986e-09
antigen_pres	HLA-B	85	25	0.448880033097862	-1.2035840916605989	1.8278493700801104	1.3382599007802136e-09	False	7.193146966693648e-09
inhibitory	HAVCR2	85	25	0.5360791565740299	-1.1006536077172822	1.8245291318947	1.3057611385820625e-10	False	1.2332619983117986e-09
antigen_pres	HLA-C	85	25	0.5041367978561627	-1.0156241592564725	1.6501807774106951	1.752846831804659e-08	False	6.281034480633362e-08
stimulatory	TNFRSF18	85	25	0.500805081971128	-0.9923318211696355	1.6401213026260668	1.4340255794323239e-10	False	1.2332619983117986e-09
effector	GNLY	85	25	0.21260416915853902	-1.0582862097838794	1.5810875603191983	1.2245149731384994e-09	False	7.193146966693648e-09
treg_suppr	IL2RA	85	25	0.41179280525760115	-1.1014973431692665	1.5684036957677119	1.0819767259898257e-10	False	1.2332619983117986e-09
treg_suppr	TGFB1	85	25	0.46948203036259417	-0.7151278214396426	1.55286361764346	3.672999718788397e-06	False	6.580791162829211e-06
inhibitory	CD274	85	25	0.26965255162319884	-1.1672378969415889	1.5289149413501841	9.772306318449368e-09	False	3.820083379030208e-08
antigen_pres	HLA-A	85	25	0.4271626529359618	-0.9415568613690549	1.4356863114770155	1.996244891997071e-07	False	4.768807241993003e-07
antigen_pres	B2M	85	25	0.33552586333124057	-0.9137654139914573	1.3945569020063162	1.3567270175004087e-07	False	4.0433210592957915e-07
cytok_chemo	CCL5	85	25	0.5975092395303093	-0.8892468185759644	1.3638374540961868	1.4104608346380667e-07	False	4.0433210592957915e-07
treg_suppr	FOXP3	85	25	0.4441549981049441	-0.8826486109829499	1.326654384834288	9.3693815179134e-09	False	3.820083379030208e-08
inhibitory	CTLA4	85	25	0.4927400136605196	-0.8409835212308159	1.2911175023128965	2.476291807270306e-09	False	1.183117196806924e-08
antigen_pres	TAP1	85	25	0.48993581788889684	-0.742010023804713	1.266871380559154	1.5241715606297205e-07	False	4.096211069192374e-07
antigen_pres	TAP2	85	25	0.6081538136522642	-0.7061625643093844	1.202192109198186	5.324389637805985e-07	False	1.144743772128287e-06
inhibitory	PDCD1LG2	85	25	0.3755749615066065	-0.8551922822300488	1.2016863498074206	2.709247922815258e-07	False	6.131455825318742e-07
inhibitory	TIGIT	85	25	0.5021253414709164	-0.7692533291766678	1.1826211535178817	1.8485914485913217e-07	False	4.675848958201579e-07
stimulatory	ICOS	85	25	0.48671686322197455	-0.7476590542887771	1.1044022286617428	2.151363977570561e-08	False	7.116050079656471e-08
stimulatory	TNFRSF9	85	25	0.5059509670326813	-0.6934647885212452	1.0869400205278235	1.1477358393531887e-06	False	2.243301867826687e-06
stimulatory	CD28	85	25	0.47617957661714605	-0.7003847869772121	1.0793186719493053	1.1070597819253662e-06	False	2.243301867826687e-06
inhibitory	PDCD1	85	25	0.5325623521065781	-0.597779301214467	0.9966192384251897	3.93452636206219e-06	False	6.767385342746966e-06
