metric	value
n_total_BRAF_cPTC	110.0
n_DM1	85.0
n_DM2	25.0
n_ICI_likely_responder	44.0
fraction_of_total	0.4
fraction_of_DM1	0.5176

# clinical association — ICI-likely vs other (all BRAF-cPTC)
endpoint	n_ICIlikely	events_ICIlikely	rate_ICIlikely	n_other	events_other	rate_other	fisher_p
PFI	44	3	0.06818181818181818	66	9	0.13636363636363635	0.3555200497171236
DSS	42	0	0.0	66	4	0.06060606060606061	0.15537138266815567
OS	44	2	0.045454545454545456	66	5	0.07575757575757576	0.7000415764091894

# clinical association — within DM1 only (ICI-likely vs other DM1)
endpoint	stratum	n_ICIlikely	events_ICIlikely	rate_ICIlikely	n_other_DM1	events_other_DM1	rate_other_DM1	fisher_p
PFI	DM1_only	44	3	0.06818181818181818	41	4	0.0975609756097561	0.7068171752119755
DSS	DM1_only	42	0	0.0	41	2	0.04878048780487805	0.24096385542168672
OS	DM1_only	44	2	0.045454545454545456	41	2	0.04878048780487805	1.0
