cohort	n_samples	description
GSE286332_PTC	9	Korean PTC arm (no HT) of GSE286332; arcasHLA RNA-seq, n=9
K2	235	PRJEB11591 Yoo 2016 SNU-GMI Korean (PTC + variants + normals); arcasHLA RNA-seq imputation
Lee2024	630	GSE213647 Lee SE 2024 Korean external (CNUH/SNUBH/KRIBB); arcasHLA RNA-seq
GSE286332_PTC_HT	9	Korean PTC + Hashimoto-overlap arm of GSE286332; arcasHLA RNA-seq, n=9 (HT-overlap subset for Track 4 primary)
POOL_TOTAL_PTC_only	874	Korean PTC pool v2 (cancer cases) used as Pillar I numerator; PTC arm of GSE286332 only — HT arm excluded from pool for Track 4
