benchmark_scope	method	n_scored	n_pos	AUROC	claim_boundary
wave11_public_test::cedar_partial	RF_biophys	909.0	851.0	0.9555	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::cedar_partial	MHCflurry	845.0	787.0	0.7372	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::cedar_partial	TransPHLA	736.0	678.0	0.7281	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::cedar_partial	PRIME	898.0	840.0	0.6839	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::cedar_partial	BigMHC_IM	898.0	840.0	0.5423	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	ESM2_Bayesian	311.0	130.0	0.7841	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	RF_biophys	319.0	136.0	0.7531	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	BigMHC_IM	319.0	136.0	0.7477	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	DeepImmuno	319.0	136.0	0.7019	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	Structure_LR	311.0	130.0	0.6894	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	MHCflurry	319.0	136.0	0.6367	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	VQC	319.0	136.0	0.5985	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	GP_quantum	319.0	136.0	0.587	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	TransPHLA	318.0	135.0	0.5797	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	PRIME	319.0	136.0	0.5673	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::itsndb	NetMHCpan_4.1	319.0	136.0	0.5669	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::nepdb	RF_biophys	572.0	151.0	0.9731	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::nepdb	TransPHLA	562.0	150.0	0.6941	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::nepdb	MHCflurry	413.0	151.0	0.6546	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::nepdb	PRIME	609.0	263.0	0.6198	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::tesla_mmc4	RF_biophys	605.0	37.0	0.8839	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::tesla_mmc4	PRIME	605.0	37.0	0.8054	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::tesla_mmc4	MHCflurry	599.0	37.0	0.7564	context only; AUROC-only public benchmark, possible overlap/training-status caveats
wave11_public_test::tesla_mmc4	TransPHLA	605.0	37.0	0.7221	context only; AUROC-only public benchmark, possible overlap/training-status caveats
