sample	stage	decile	n_spots	mean_dist	mean_HLA_II_smooth
N-1	N	0	284	284.39288309717494	0.16581032346751948
N-1	N	1	284	420.1095654753295	0.16864977323320818
N-1	N	2	284	525.2040574767409	0.15640216120106493
N-1	N	3	283	603.2202266934953	0.15232240360598806
N-1	N	4	279	699.4798230382623	0.14427357181982417
N-1	N	5	289	775.9476998048775	0.15541089270661163
N-1	N	6	284	881.0016018114729	0.14021079476818865
N-1	N	7	284	985.6875420514716	0.13620582864121425
N-1	N	8	282	1118.614541531777	0.14464197913810736
N-1	N	9	286	1359.9625798257637	0.14090563163947478
N-1	N	-1	556	0.0	0.18173690401083395
N-2	N	0	294	68.98135168975217	0.2041083688452806
N-2	N	1	318	105.63954607481452	0.16560151621868024
N-2	N	2	305	128.69947740631727	0.16695437228875085
N-2	N	3	302	155.86808875675683	0.15184081328855972
N-2	N	4	309	175.9741255833961	0.14930359090448325
N-2	N	5	305	202.09638852200564	0.1231957753061597
N-2	N	6	307	228.08017434074972	0.12436037037769954
N-2	N	7	305	254.58708440326384	0.13303235947310602
N-2	N	8	306	296.7203214353629	0.12998306496619919
N-2	N	9	306	372.9518966369009	0.14957957255528642
N-2	N	-1	723	0.0	0.17978069992129184
N-3	N	0	411	326.22541097720347	0.12024786936847155
N-3	N	1	404	504.0317170701425	0.11052922633892238
N-3	N	2	409	630.2014026641851	0.10797314566184373
N-3	N	3	412	741.8072647216618	0.09843081052924438
N-3	N	4	410	861.4257833815903	0.10675987077449395
N-3	N	5	419	978.3740768317703	0.07929929133417499
N-3	N	6	411	1104.8353048576935	0.07620782392900935
N-3	N	7	411	1245.8474680452775	0.07675795294640998
N-3	N	8	409	1411.387290154775	0.07887793859288084
N-3	N	9	413	1752.7238523241656	0.11944860778186858
N-3	N	-1	429	0.0	0.11370719481084174
N-4	N	0	261	314.29536909014183	0.03973153782391761
N-4	N	1	267	472.45225898311566	0.053271860701321956
N-4	N	2	290	570.8140794013733	0.04634053681842212
N-4	N	3	266	692.988941943673	0.05376797593631839
N-4	N	4	280	769.7056227086488	0.0544092979104746
N-4	N	5	272	884.6932006054515	0.039250083658026125
N-4	N	6	262	996.6973790751196	0.03645755278477232
N-4	N	7	284	1132.2680192743653	0.03972710677444095
N-4	N	8	274	1315.850968705395	0.05204269383778827
N-4	N	9	273	1711.3661722884103	0.039364104121246614
N-4	N	-1	298	0.0	0.0732615876609447
PTC-1	PTC	0	208	676.1826521619151	0.8534846398815131
PTC-1	PTC	1	207	1084.8931566161546	0.8662896394103815
PTC-1	PTC	2	207	1375.6746811362493	0.8415458988433107
PTC-1	PTC	3	207	1657.9580750520975	0.8595713358117378
PTC-1	PTC	4	207	1928.9859441298013	0.8718587358973067
PTC-1	PTC	5	207	2197.554825978043	0.7985673157493081
PTC-1	PTC	6	208	2511.104081432492	0.7289296521757467
PTC-1	PTC	7	207	3230.630665785362	0.4846495039457285
PTC-1	PTC	8	207	4381.125181167522	0.42995679089297417
PTC-1	PTC	9	208	5560.519018176998	0.46922008754714173
PTC-1	PTC	-1	189	0.0	1.2070477723621185
PTC-2	PTC	0	445	372.5670880400985	0.596684078236287
PTC-2	PTC	1	454	601.96481522209	0.5822009475670255
PTC-2	PTC	2	451	783.5871801490933	0.5192004335564503
