celltype	mean_HLA_II_in	mean_HLA_II_out	n_in_total	n_samples	delta_in_minus_out
Myeloid cell	1.27778949473241	1.0207719385574079	151	12	0.2570175561750021
B cell	0.9704512922717522	0.8477208490890517	506	7	0.12273044318270054
Endothelial cell	0.8872011782252788	0.4379839736012575	18	4	0.44921720462402126
Fibroblast	0.8405168379312942	0.8054989919729876	346	8	0.03501784595830659
Malignant cell	0.7067937780627446	0.4741647863819039	3233	12	0.23262899168084067
T cell	0.5725568480545961	0.47382930291461706	172	7	0.098727545139979
Epithelial cell	0.1333608818068523	0.11060324366622676	1996	4	0.022757638140625536
