sample	stage	n_spots	n_TLS_niches	n_TLS_niche_spots	frac_niche_spots	median_niche_size	mean_HLA_II_in_niche	mean_HLA_II_out_niche	diff_HLA_II_in_minus_out	ttest_t	ttest_p	cohen_d	spot_level_rho_TLS_HLA_II	mean_DM1_score
N-1	N	3395	52	556	0.1637702503681885	7.0	0.18173690401083395	0.15049967094351954	0.031237233067314407	3.2104566404614254	0.0013875032845540893	0.1625019728878145	0.0487692718902578	-1.0590139254418318e-07
N-2	N	3780	49	723	0.19126984126984126	7.0	0.17978069992129184	0.14964191797316212	0.030138781948129717	2.7871686213160904	0.00542988991618322	0.12710409754745802	-0.017143239009614272	1.4734015962858393e-07
N-3	N	4538	49	429	0.09453503746143675	7.0	0.11370719481084174	0.09740823279286163	0.016298962017980104	1.2662083762954304	0.20606540115042418	0.07319375531959664	-0.046290196668440135	8.406119889059482e-08
N-4	N	3027	35	298	0.09844730756524611	7.0	0.0732615876609447	0.04546927714027865	0.027792310520666053	3.2911028421608255	0.0010978645437889213	0.2063345552613547	-0.014912463718025005	1.260223703170027e-09
PTC-1	PTC	2262	5	189	0.08355437665782493	13.0	1.2070477723621185	0.7203544957123591	0.48669327664975937	20.946574357285428	1.2885668048944973e-55	1.5060537588458118	0.17681496562725266	-1.0540166961447994e-08
PTC-2	PTC	4947	37	446	0.0901556498888215	7.0	0.6955770515766558	0.46109281089694676	0.23448424067970908	13.977070872543635	1.0298317556075097e-37	0.7594764461680915	0.13451099844125872	2.891674677485412e-09
PTC-3	PTC	4516	28	262	0.058015943312666074	6.5	0.9085395199285411	0.35144993804062113	0.55708958188792	15.528704589912927	2.316896529040428e-39	1.1879084209709787	0.13863679816241983	-6.588715706357107e-08
PTC-4	PTC	4498	85	1100	0.24455313472654513	7.0	0.28670361004599476	0.19877568944210114	0.08792792060389362	7.89822275689029	5.166785031254207e-15	0.28612780054742276	0.06717430535634956	-1.9081968005707495e-08
LPTC-1	LPTC	1520	16	127	0.08355263157894736	7.0	0.8085201475088365	0.6150128942251948	0.1935072532836417	6.291444774037035	4.037941727544069e-09	0.6767648426792401	-0.02762965650791994	3.301783735309982e-08
LPTC-2	LPTC	4071	40	328	0.08056988454925079	5.0	0.9439270221518307	0.5788488259179498	0.3650781962338808	15.239075909539224	1.3486996640982943e-41	0.850698309737961	0.4776892131142853	2.0263529521002965e-08
LPTC-3	LPTC	3336	72	645	0.19334532374100719	7.0	0.6636108560355443	0.6449987779745571	0.01861207806098719	1.0823308172885169	0.2793416613064795	0.04516194074083659	0.1398756033748075	8.576208188060264e-09
LPTC-4	LPTC	4707	26	459	0.09751434034416825	6.0	0.5715854937883937	0.2503038513522995	0.32128164243609425	18.464023585381234	1.5224041169748911e-59	0.9320422701915984	0.19804147058325305	-5.8756226550826796e-09
ATC-1	ATC	4715	48	333	0.07062566277836692	4.0	0.9676421998055889	0.5727372522895854	0.39490494751600347	16.105527500092737	3.9751261062506877e-44	1.0707387539030175	0.1937411081095849	-4.449805857120737e-09
ATC-2	ATC	2354	26	162	0.06881903143585387	4.5	0.8806708587301364	0.6066699989520177	0.2740008597781187	10.366411350525578	5.676187069217877e-20	0.9183187836739649	0.023683727352185782	-3.6461635932738545e-09
ATC-3	ATC	1621	18	123	0.07587908698334361	6.0	0.47288641484841676	0.31425879586808714	0.15862761898032962	7.125724138716331	5.087401005628259e-11	0.6928569809033942	0.14952488709900486	1.6178929307386625e-09
ATC-4	ATC	2586	22	242	0.09358081979891725	9.0	1.1464827853266255	0.8197939578511771	0.32668882747544836	13.838740091055302	1.4354248722702746e-33	0.9805836862810341	0.13215576769535886	1.0325940102973163e-08
