label	DM1_pos	DM1_neg	DM2_pos	DM2_neg	DM1_freq	DM2_freq	OR	p
DICER1_EIF1AX_PPM1D	1	80	6	49	0.012	0.109	0.102	0.0175
RET	0	81	0	55				
RET_fusion	1	80	0	55	0.012	0.0	inf	1.0
NTRK_fusion	1	80	0	55	0.012	0.0	inf	1.0
ALK_fusion	1	80	0	55	0.012	0.0	inf	1.0
TP53	0	81	1	54	0.0	0.018	0.0	0.4044
PAX8PPARG	0	81	0	55				
anchor_alt	4	77	7	48	0.049	0.127	0.356	0.1191
TERT	4	77	1	54	0.049	0.018	2.805	0.648
