cell_type	rai_differentiation_score_mean	rai_differentiation_score_median	rai_differentiation_score_count	mapk_score_mean	mapk_score_median	mapk_score_count	hla_i_apm_score_mean	hla_i_apm_score_median	hla_i_apm_score_count	hla_ii_apc_score_mean	hla_ii_apc_score_median	hla_ii_apc_score_count	cytotoxic_t_score_mean	cytotoxic_t_score_median	cytotoxic_t_score_count	ifn_activation_score_mean	ifn_activation_score_median	ifn_activation_score_count	checkpoint_suppression_score_mean	checkpoint_suppression_score_median	checkpoint_suppression_score_count	myeloid_tam_score_mean	myeloid_tam_score_median	myeloid_tam_score_count	caf_ecm_tgfb_score_mean	caf_ecm_tgfb_score_median	caf_ecm_tgfb_score_count	vascular_delivery_proxy_score_mean	vascular_delivery_proxy_score_median	vascular_delivery_proxy_score_count	vascular_barrier_negative_score_mean	vascular_barrier_negative_score_median	vascular_barrier_negative_score_count	hypoxia_score_mean	hypoxia_score_median	hypoxia_score_count	proliferation_score_mean	proliferation_score_median	proliferation_score_count	tumor_epithelial_score_mean	tumor_epithelial_score_median	tumor_epithelial_score_count	dm1_dark_lineage_score_mean	dm1_dark_lineage_score_median	dm1_dark_lineage_score_count
B cell	-0.2524174283096382	-0.305986993138213	3580			0			0	0.7860753702282727	0.826118202106989	3580	-0.3699731139011407	-0.4236859097690956	3580	-0.171935303934806	-0.2338628415992552	3580	-0.19004178279510575	-0.23033543334634374	3580	-0.3132622842575672	-0.3525775285850138	3580	-0.29963350566147917	-0.31704413639835544	3580	-0.17800059903423066	-0.22518472697376093	3580	-0.25728171788386334	-0.2786327810994407	3580	-0.4915533414968929	-0.52594838347871	3580	0.0007033497588808366	-0.23640638929534225	3580	-0.32196210350251603	-0.3697310958697181	3580	-0.3353811370988398	-0.3723054655200714	3580
Endothelial cell	-0.09298444155401016	-0.305986993138213	803			0			0	-0.409062228404761	-0.5749065183568627	803	-0.40921411181246314	-0.4236859097690956	803	-0.16303250972022038	-0.2338628415992552	803	-0.21851826217019202	-0.23033543334634374	803	-0.20300546722321183	-0.3525775285850138	803	0.32418483704431905	0.22924473404698684	803	4.086566696435754	3.849237704806434	803	0.4693490487751065	-0.2786327810994407	803	-0.3225409358710689	-0.52594838347871	803	-0.18040676130972802	-0.23640638929534225	803	-0.12552917534623168	-0.19128809514172035	803	-0.014908302268015119	-0.09223645839563803	803
Epithelial cell	3.9870480541738536	4.2346983182546545	706			0			0	-0.6242318758976966	-0.7403701165048808	706	-0.4033191391721325	-0.4236859097690956	706	-0.010877748530421569	-0.2338628415992552	706	-0.1877196513161951	-0.23033543334634374	706	-0.32692587579006327	-0.3525775285850138	706	-0.26055041325768774	-0.31704413639835544	706	0.0476693632189885	0.016058673882636796	706	-0.1837201082550795	-0.2786327810994407	706	0.8891245050308983	1.0000288578458232	706	-0.21834179798650466	-0.23640638929534225	706	2.922418417659507	3.107475578541842	706	1.6062798860149163	1.7325258416637426	706
Fibroblast	-0.04004361043249049	-0.305986993138213	1002			0			0	-0.7540301981360654	-0.9222403347705144	1002	-0.3644597270881273	-0.4236859097690956	1002	0.05065258655163312	-0.2338628415992552	1002	-0.15091081291646838	-0.23033543334634374	1002	-0.07874127966544056	-0.3525775285850138	1002	2.0891396335569885	2.0957610950945966	1002	0.2549250473957558	0.1087627481329152	1002	2.0338605954992603	1.8824648102185144	1002	0.31046893899991107	-0.52594838347871	1002	-0.15823987114403348	-0.23640638929534225	1002	-0.23674178340287463	-0.3697310958697181	1002	0.4583651301018613	0.4492080035767738	1002
Malignant cell	0.7180211528008444	0.6291917116676301	14624			0			0	-0.7113291357293873	-0.771679779072041	14624	-0.40255077567689607	-0.4236859097690956	14624	-0.15587805610564628	-0.2338628415992552	14624	-0.21177319279326387	-0.23033543334634374	14624	-0.2878034281310705	-0.3525775285850138	14624	0.6768309529485788	0.07411373986973446	14624	0.1179703932778027	0.05859490209916885	14624	0.5442277047864468	-0.048514411436224654	14624	0.7699027077080011	0.6981115564504452	14624	-0.11310973915123262	-0.23640638929534225	14624	0.9763984033988241	1.2337679414387352	14624	0.9316214199459728	0.9344518331035354	14624
Myeloid cell	-0.234661909575243	-0.305986993138213	12176			0			0	1.4394657178060262	1.4992524254264683	12176	-0.39435349251755003	-0.4236859097690956	12176	0.19695173990582204	-0.2338628415992552	12176	0.040262529997569636	-0.23033543334634374	12176	1.2961470688628987	1.2240774493034752	12176	-0.16041041597156927	-0.23892370218953385	12176	0.10302656865915048	0.05453334591473234	12176	-0.17753193325097255	-0.2786327810994407	12176	0.5428881443264615	0.18569672515570884	12176	-0.09156804728597533	-0.23640638929534225	12176	-0.2682552718090678	-0.3697310958697181	12176	-0.20939800242029108	-0.23420787373885238	12176
NK cell	-0.24327665835497955	-0.305986993138213	1858			0			0	-0.4802001857223834	-0.5931683768753997	1858	1.6252010741855767	1.7174558164287883	1858	-0.03590914150912505	-0.2338628415992552	1858	-0.1840904823959621	-0.23033543334634374	1858	-0.10721370337525324	-0.1662309348400383	1858	-0.253563825960525	-0.31704413639835544	1858	-0.1515018816605471	-0.22518472697376093	1858	-0.2327990915194737	-0.2786327810994407	1858	-0.4217122518793479	-0.52594838347871	1858	-0.1418285966612806	-0.23640638929534225	1858	-0.2935363141262352	-0.3697310958697181	1858	-0.29335815642689717	-0.3723054655200714	1858
T cell	-0.2729357473662986	-0.305986993138213	32929			0			0	-0.22842091308935922	-0.32255894951630015	32929	0.3028322059857613	0.04673492670275026	32929	0.01978695935040001	-0.2338628415992552	32929	0.12415612917946663	-0.23033543334634374	32929	-0.29699187701599716	-0.3525775285850138	32929	-0.26027813894616303	-0.31704413639835544	32929	-0.17102008611806085	-0.22518472697376093	32929	-0.20433833641757498	-0.2786327810994407	32929	-0.48606918892815915	-0.52594838347871	32929	0.10591336509332297	-0.23640638929534225	32929	-0.3352598459615096	-0.3697310958697181	32929	-0.3313195583082632	-0.3723054655200714	32929
