sample_id	condition	n_spots	fraction_RAI-restorable niche	fraction_RAI-low dedifferentiated niche	fraction_HLA-visible inflamed niche	fraction_HLA-low invisible tumor niche	fraction_CD8-excluded / myeloid-CAF niche	fraction_APC-rich niche	fraction_Drug-delivery failure proxy niche	fraction_Mixed/Other	mean_rai_differentiation_score	mean_hla_i_apm_score	mean_cytotoxic_t_score	mean_caf_ecm_tgfb_score	mean_myeloid_tam_score	mean_spatial_drug_delivery_failure_proxy	mean_spatial_aggressive_dedifferentiation_score	same_niche_observed	same_niche_null_mean	null_sd	same_niche_z	same_niche_empirical_p	coherent_z_gt_2	spots_nested_by_slide	n_niche_labels
GSM7980860_N-1	normal	3363	0.0112994350282485	0.0005947071067499	0.0841510556051144	0.0020814748736247	0.1564079690752304	0.1858459708593517	0.2500743383883437	0.3095450490633363	1.454757381225136e-07	-1.1343138e-09	-4.749939108705803e-09	2.8357845e-09	-1.0208824e-08	2.0984805004786722e-08	-3.289509820092462e-08	0.28000792942809	0.2242883338289225	0.0037922172241795	14.693144486527377	0.0019960079840319	True	True	8
GSM7980861_N-2	normal	3798	0.0421274354923644	0.0023696682464454	0.0631911532385466	0.0223802001053185	0.0821484992101105	0.067403896787783	0.2501316482359136	0.4702474986835176	-2.10923225552051e-08	1.7828034e-08	3.2642881730993163e-09	1.2052756e-08	-8.788468e-10	3.2140683003945014e-08	-1.9083529423369328e-08	0.3565034228541338	0.3011031244514656	0.0037273120097345	14.8633380457498	0.0019960079840319	True	True	8
GSM7980862_N-3	normal	4500	0.0015555555555555	0.0002222222222222	0.07	0.002	0.1917777777777777	0.182	0.25	0.3024444444444444	9.642707254897689e-08	-2.4477641e-08	6.463792612265706e-09	-1.4305115e-09	2.331204e-09	3.390842051587128e-09	-6.357828929992593e-09	0.2646666666666666	0.2284744444444444	0.0035102497697829	10.310440736660093	0.0019960079840319	True	True	8
GSM7980863_N-4	normal	2997	0.0066733400066733	0.0016683350016683	0.0827494160827494	0.0066733400066733	0.1765098431765098	0.1868535201868535	0.2502502502502503	0.2886219552886219	2.2370137742200319e-07	2.2592886e-08	4.773144657299611e-10	1.845616e-08	1.0660023e-08	-5.091354449149321e-09	1.2728386344917908e-08	0.245412078745412	0.2188391725058391	0.0043650098216292	6.087708235592152	0.0019960079840319	True	True	8
GSM7980864_PTC-1	PTC	2243	0.0646455639768167	0.0	0.0713330361123495	0.021845742309407	0.0820329915292019	0.0691038787338386	0.2501114578689255	0.4409273294694605	-2.2534434762633282e-08	2.3809969e-08	5.5273141619238694e-09	3.5289776e-08	-3.4014243e-09	-2.3956867375504745e-08	-5.102136491075271e-09	0.4519988111160647	0.277625650170902	0.0045750544287006	38.11389867872793	0.0019960079840319	True	True	7
GSM7980865_PTC-2	PTC	4896	0.0741421568627451	0.0014297385620915	0.0718954248366013	0.0236928104575163	0.0620915032679738	0.0839460784313725	0.25	0.4328022875816993	-1.792035142500481e-08	1.850471e-09	1.9478643142889496e-09	-3.3113693e-08	9.739322e-10	1.2466331078542224e-08	2.259522524639124e-08	0.3362949346405229	0.2717041122004357	0.0032509178170036	19.86848824730393	0.0019960079840319	True	True	8
GSM7980866_PTC-3	PTC	4475	0.0348603351955307	0.0029050279329608	0.1202234636871508	0.0368715083798882	0.090949720670391	0.0871508379888268	0.2500558659217877	0.3769832402234637	2.6638947048240883e-08	1.3639141e-08	4.262231456664267e-09	-5.754013e-09	-1.0229356e-08	-9.188903618292367e-09	-1.1934248256295632e-08	0.320633147113594	0.2374919180633147	0.0032209714421135	25.812470102412533	0.0019960079840319	True	True	8
GSM7980867_PTC-4	PTC	4699	0.0468184720153224	0.0010640561821664	0.0723558203873164	0.0227708022983613	0.0874654181740795	0.0829963822089806	0.2500532028091083	0.4364758459246648	-1.5424397759034036e-08	-4.059052e-09	-2.986579464406482e-09	2.029526e-09	2.638384e-09	-6.378652112002238e-09	-2.070116700281233e-08	0.3340072355820387	0.2754033482301199	0.003248525899086	18.040147800086	0.0019960079840319	True	True	8
GSM7980868_LPTC-1	locally_advanced_PTC	1503	0.06187624750499	0.0019960079840319	0.0585495675316034	0.0186294078509647	0.0745176314038589	0.072521623419827	0.2501663339986693	0.4617431803060545	-6.201350311388584e-08	4.965071e-08	-5.219867850149596e-09	1.142125e-08	0.0	6.393780434647533e-09	1.9526869391196642e-08	0.3800177422931914	0.2937913062763361	0.0055875063000118	15.43200694318196	0.0019960079840319	True	True	8
GSM7980869_LPTC-2	locally_advanced_PTC	4129	0.0801646887866311	0.0	0.1305400823443933	0.0125938483894405	0.0731411964155969	0.0869459917655606	0.2501816420440784	0.3664325502542989	4.965850841642805e-09	1.247237e-08	-1.52440069456361e-08	-4.5039112e-08	5.774245e-09	3.4183532449105776e-08	-4.388426333434836e-08	0.345604262533301	0.2331765560668443	0.0033819201696723	33.243749357144225	0.0019960079840319	True	True	7
