sample_id	condition	n_spots	same_niche_observed	same_niche_null_mean	same_niche_z	same_niche_empirical_p	fraction_RAI-restorable niche	fraction_RAI-low dedifferentiated niche	fraction_HLA-visible inflamed niche	fraction_HLA-low invisible tumor niche	fraction_CD8-excluded / myeloid-CAF niche	fraction_APC-rich niche	fraction_Drug-delivery failure proxy niche	fraction_Mixed/Other	mean_rai_differentiation_score	mean_hla_i_apm_score	mean_cytotoxic_t_score	mean_caf_ecm_tgfb_score	mean_myeloid_tam_score	mean_spatial_drug_delivery_failure_proxy	mean_spatial_aggressive_dedifferentiation_score
GSM7980860_N-1	normal	3363	0.28000792942809	0.22428833382892258	14.693144486527375	0.001996007984031936	0.011299435028248588	0.0005947071067499256	0.08415105560511447	0.0020814748736247396	0.15640796907523044	0.18584597085935176	0.25007433838834375	0.3095450490633363	1.4547573812251358e-07	-1.1343138e-09	-4.749939108705803e-09	2.8357845e-09	-1.0208824e-08	2.0984805004786722e-08	-3.289509820092462e-08
GSM7980861_N-2	normal	3798	0.3565034228541338	0.30110312445146564	14.8633380457498	0.001996007984031936	0.042127435492364404	0.002369668246445498	0.0631911532385466	0.02238020010531859	0.08214849921011058	0.06740389678778304	0.25013164823591366	0.4702474986835176	-2.10923225552051e-08	1.7828034e-08	3.2642881730993167e-09	1.2052756e-08	-8.788468e-10	3.2140683003945014e-08	-1.9083529423369328e-08
GSM7980862_N-3	normal	4500	0.26466666666666666	0.22847444444444442	10.310440736660093	0.001996007984031936	0.0015555555555555555	0.00022222222222222223	0.07	0.002	0.19177777777777777	0.182	0.25	0.30244444444444446	9.642707254897687e-08	-2.4477641e-08	6.463792612265706e-09	-1.4305115e-09	2.331204e-09	3.3908420515871285e-09	-6.357828929992593e-09
GSM7980863_N-4	normal	2997	0.24541207874541207	0.21883917250583917	6.087708235592152	0.001996007984031936	0.00667334000667334	0.001668335001668335	0.08274941608274941	0.00667334000667334	0.17650984317650983	0.18685352018685353	0.2502502502502503	0.28862195528862195	2.2370137742200313e-07	2.2592886e-08	4.773144657299611e-10	1.845616e-08	1.0660023e-08	-5.091354449149321e-09	1.2728386344917908e-08
GSM7980864_PTC-1	PTC	2243	0.45199881111606477	0.27762565017090207	38.11389867872793	0.001996007984031936	0.06464556397681677	0.0	0.07133303611234953	0.021845742309407043	0.08203299152920196	0.06910387873383861	0.2501114578689255	0.44092732946946056	-2.2534434762633282e-08	2.3809969e-08	5.527314161923869e-09	3.5289776e-08	-3.4014243e-09	-2.3956867375504745e-08	-5.102136491075271e-09
GSM7980865_PTC-2	PTC	4896	0.3362949346405229	0.2717041122004357	19.868488247303926	0.001996007984031936	0.0741421568627451	0.0014297385620915032	0.0718954248366013	0.02369281045751634	0.06209150326797386	0.08394607843137254	0.25	0.43280228758169936	-1.792035142500481e-08	1.850471e-09	1.9478643142889496e-09	-3.3113693e-08	9.739322e-10	1.2466331078542225e-08	2.2595225246391237e-08
GSM7980866_PTC-3	PTC	4475	0.32063314711359403	0.2374919180633147	25.812470102412533	0.001996007984031936	0.03486033519553072	0.002905027932960894	0.12022346368715084	0.03687150837988827	0.09094972067039106	0.08715083798882682	0.2500558659217877	0.3769832402234637	2.663894704824088e-08	1.3639141e-08	4.262231456664267e-09	-5.754013e-09	-1.0229356e-08	-9.188903618292369e-09	-1.1934248256295632e-08
GSM7980867_PTC-4	PTC	4699	0.3340072355820387	0.2754033482301199	18.040147800085997	0.001996007984031936	0.04681847201532241	0.0010640561821664183	0.07235582038731644	0.022770802298361353	0.08746541817407959	0.08299638220898063	0.2500532028091083	0.4364758459246648	-1.5424397759034036e-08	-4.059052e-09	-2.986579464406482e-09	2.029526e-09	2.638384e-09	-6.378652112002238e-09	-2.0701167002812326e-08
GSM7980868_LPTC-1	locally_advanced_PTC	1503	0.3800177422931914	0.29379130627633615	15.432006943181959	0.001996007984031936	0.06187624750499002	0.001996007984031936	0.05854956753160346	0.018629407850964737	0.07451763140385895	0.07252162341982701	0.25016633399866933	0.46174318030605455	-6.201350311388584e-08	4.965071e-08	-5.219867850149596e-09	1.142125e-08	0.0	6.393780434647533e-09	1.952686939119664e-08
GSM7980869_LPTC-2	locally_advanced_PTC	4129	0.34560426253330107	0.2331765560668443	33.243749357144225	0.001996007984031936	0.08016468878663115	0.0	0.13054008234439332	0.012593848389440542	0.07314119641559699	0.08694599176556067	0.25018164204407844	0.3664325502542989	4.965850841642805e-09	1.247237e-08	-1.52440069456361e-08	-4.5039112e-08	5.774245e-09	3.418353244910577e-08	-4.388426333434836e-08
