source_family	rows	positives	any_overlap_flagged	strict_rows	nmi_locked_rows	nmi_best_model	nmi_best_auprc	nmi_best_auroc	nmi_best_n	nmi_best_coverage	local_best_model	local_best_auprc	local_best_auroc	local_best_coverage	public_best_model	public_best_auprc	public_best_auroc	public_best_coverage	delta_nmi_minus_public	delta_local_minus_public	any_patient_real_ids	unique_real_patients	patient_claimable	nmi_cov_any	local_cov_any	public_cov_any	claim_boundary
NEPdb	16073	315	0	16073	183	NMI_w7b_esm2_qk	0.9438340148462908	0.9649825558857733	180.0	1.0	ESM2_Bayesian	0.9461934637382345	0.9626566739888875	1.0	BigMHC_IM	0.7626425387827939	0.8661023947151114	1.0	0.18119147606349695	0.18355092495544068	15383	78	True	4	7	4	source-family level audit; not a clinical validation
CEDAR/IMPROVE	3345	2932	0	3345	0										MHCflurry_2.0_presentation	0.9726408226104795	0.7349822547430225	1.0			0	0	False	0	0	3	source-family level audit; not a clinical validation
TESLA	1830	82	0	1830	0										BigMHC_IM	0.29630992040243515	0.9024111179326896	1.0			915	9	True	0	0	3	source-family level audit; not a clinical validation
dbPepNeo	523	523	0	523	0																0	0	False	0	0	3	source-family level audit; not a clinical validation
ITSNdb	319	136	0	319	136	NMI_all_branch_mean	0.7265811588886892	0.702920662598082	136.0	1.0	Wave8_TCR_SelfSim_no_exact	0.6597405555830129	0.6336094158674803	1.0	MHCflurry_2.0_presentation	0.6578805533028693	0.6414559721011335	1.0	0.06870060558581992	0.0018600022801436022	0	0	False	4	7	4	source-family level audit; not a clinical validation
