track	model	split	features	n	positives	AUROC	AUPRC	Precision@10	Precision@20	Recall@10	Recall@20	Recall@50	patient_hit_rate@20	patient_recall@20	patients_evaluated	calibration_brier	Precision@50
production_stack_track	BAR-Neo	existing_artifact	single frozen/local score	2715.0	1179.0	0.9796984335241731	0.9771627802406195	1.0	1.0	0.008481764206955046	0.016963528413910092		1.0	0.016963528413910092	1.0	0.053705746509956895	
production_stack_track	BAR-Neo_patient_gated	existing_artifact	single frozen/local score	2715.0	1179.0	0.9794598839058524	0.9766304966435051	1.0	1.0	0.008481764206955046	0.016963528413910092		1.0	0.016963528413910092	1.0	0.05507551871694601	
production_stack_track	BAR-Neo_confidence	existing_artifact	single frozen/local score	2715.0	1179.0	0.9671729219677694	0.9615227420489243	1.0	1.0	0.008481764206955046	0.016963528413910092		1.0	0.016963528413910092	1.0	0.10915195723179505	
production_stack_track	BAR-Neo-X	existing_artifact	single frozen/local score	2715.0	1179.0	0.9452202829021769	0.9401806671360253	1.0	0.95	0.008481764206955046	0.016115351993214587		1.0	0.016115351993214587	1.0	0.09025035677862586	
production_stack_track	stress_guarded_discovery	existing_artifact	single frozen/local score	2532.0	1105.0	0.9241169811679726	0.9012133863852335	1.0	0.95	0.00904977375565611	0.017194570135746608		1.0	0.017194570135746608	1.0	0.1038022317566178	
production_stack_track	source_balanced_rf_train_prior_calibrated	existing_artifact	single frozen/local score	2396.0	1043.0	0.9134308971434524	0.8947907914753821	1.0	1.0	0.009587727708533078	0.019175455417066157		1.0	0.019175455417066157	1.0	0.08975555801132785	
production_stack_track	source_balanced_plus_pu_rf_train_prior_calibrated	existing_artifact	single frozen/local score	2396.0	1043.0	0.9114378827916232	0.8875987835191747	1.0	0.95	0.009587727708533078	0.01821668264621285		1.0	0.01821668264621285	1.0	0.09087553638858999	
production_stack_track	pu_weighted_rf_train_prior_calibrated	existing_artifact	single frozen/local score	2396.0	1043.0	0.9055488354064227	0.8856725912712797	0.9	0.95	0.00862895493767977	0.01821668264621285		1.0	0.01821668264621285	1.0	0.09096190415348328	
production_stack_track	clean_contextual_bma	existing_artifact	single frozen/local score	2532.0	1105.0	0.9285416673272727	0.8843978971350736	1.0	1.0	0.00904977375565611	0.01809954751131222		1.0	0.01809954751131222	1.0	0.10508004067380551	
production_stack_track	RF_biophys	existing_artifact	single frozen/local score	2987.0	1561.0	0.8247518178461142	0.8532253490696129	1.0	1.0	0.0064061499039077515	0.012812299807815503		1.0	0.012812299807815503	1.0	0.1715902349016239	
production_stack_track	RF_biophys	existing_artifact	single frozen/local score	2987.0	1561.0	0.8247518178461142	0.8532253490696129	1.0	1.0	0.0064061499039077515	0.012812299807815503		1.0	0.012812299807815503	1.0	0.1715902349016239	
production_stack_track	stress_guarded_claim_safe	existing_artifact	single frozen/local score	2532.0	1105.0	0.889417726014453	0.8256122425033512	0.7	0.8	0.006334841628959276	0.014479638009049774		1.0	0.014479638009049774	1.0	0.1527667959113979	
production_stack_track	BAR-Neo-X_claim_safe	existing_artifact	single frozen/local score	2715.0	1179.0	0.904113545200735	0.8212413043236372	0.9	0.85	0.007633587786259542	0.01441899915182358		1.0	0.01441899915182358	1.0	0.23928414508718016	
production_stack_track	D_positive_class_reweighting	existing_artifact	single frozen/local score	2396.0	1043.0	0.811929953606169	0.7983795435638199	0.9	0.85	0.00862895493767977	0.016299137104506232		1.0	0.016299137104506232	1.0	0.15000243903615873	
production_stack_track	sourceheld_counterfactual_rf	existing_artifact	single frozen/local score	2396.0	1043.0	0.7883865193572183	0.7203112563490297	1.0	0.95	0.009587727708533078	0.01821668264621285		1.0	0.01821668264621285	1.0	0.18646302344916946	
production_stack_track	W7B_stacked	existing_artifact	single frozen/local score	319.0	136.0	0.7828471552555448	0.7181572909779651	0.9	0.85	0.0661764705882353	0.125		1.0	0.125	1.0	0.1843842650721143	
production_stack_track	BigMHC_IM	existing_artifact	single frozen/local score	2902.0	1550.0	0.6799930807405993	0.7084250894683519	0.7	0.8	0.004516129032258065	0.01032258064516129		1.0	0.01032258064516129	1.0	0.3064950964068416	
