dataset_source	rows	positives	top_priority	median_priority	mean_clean	mean_public_best	mean_delta
CEDAR	863	816.0	0.8539000689897381	0.6602379470401072	0.8744794368864531	0.837567116381922	0.043457927234617486
dbPepNeo2_MHCI	344	344.0	0.8389201409659616	0.6560491561706876	0.8929262167936799	0.7456153969672848	0.14731081982639507
TESLA_mmc4	273	63.0	0.7522317473066534	0.6237004249995689	0.9388638675849531	0.9233046697429536	0.015621624656792274
TESLA_mmc7_validation	41	8.0	0.6854108930146887	0.5076850549956919	0.8886070408253257	0.9078700277270125	-0.018975667790092614
dbPepNeo2_MHCII	9	9.0	0.6098209449123295	0.5251214379550566	0.8230367158288644		
IMPROVE_Neoepitopes_CEDAR_benchmark_data	40	40.0	0.4874109726350069	0.4451788168277476	0.7368363740579655		
