algorithm	test_bundle	n	n_pos	AUROC	CI_lo95	CI_hi95	n_in_training	in_training_AUROC	n_external	external_AUROC	external_CI_lo95	external_CI_hi95	inflation_delta	ECE	low_power
BigMHC_IM	cedar_partial	898	840	0.5423	0.4822	0.6013	898	0.5423	0					0.6342	0
BigMHC_IM	dbpepneo2_mhci	467	467				144		323						1
BigMHC_IM	itsndb	319	136	0.7477	0.6951	0.796	186	0.866	133	0.5731	0.4735	0.6774	0.2929	0.1377	0
BigMHC_IM	mcpas	82	82				61		21						1
BigMHC_IM	neodb	552	552				83		469						1
BigMHC_IM	nepdb	498	151	0.8704	0.837	0.9016	498	0.8704	0					0.0947	0
BigMHC_IM	tesla_mmc4	605	37	0.8642	0.8113	0.908	605	0.8642	0					0.1967	0
BigMHC_IM	tesla_mmc7	310	4				310		0						1
DeepImmuno	itsndb	319	136	0.7019	0.6428	0.7626	2		317	0.7024	0.6411	0.7547		0.1677	0
ESM2_Bayesian	itsndb	311	130	0.7841	0.732	0.8356	181	0.9656	130	0.4811	0.3713	0.5785	0.4845	0.0606	0
GP_quantum	itsndb	319	136	0.587	0.5183	0.6443	184	0.6081	135	0.5587	0.4604	0.6597	0.0494	0.1468	0
MHCflurry	cedar_partial	845	787	0.7372	0.6751	0.7971	1		844	0.7369	0.6766	0.7999		0.1781	0
MHCflurry	dbpepneo2_mhci	463	463				2		461						1
MHCflurry	itsndb	319	136	0.6367	0.5732	0.6998	2		317	0.6352	0.573	0.6991		0.3735	0
MHCflurry	mcpas	80	80				59		21						1
MHCflurry	neodb	549	549				13		536						1
MHCflurry	nepdb	413	151	0.6546	0.5969	0.7128	0		413	0.6546	0.5969	0.7128		0.3312	0
MHCflurry	tesla_mmc4	599	37	0.7564	0.662	0.8324	0		599	0.7564	0.662	0.8324		0.5786	0
MHCflurry	tesla_mmc7	310	4				0		310						1
NetMHCpan_4.1	itsndb	319	136	0.5669	0.5011	0.6322	2		317	0.5653	0.5035	0.6303		0.5756	0
PRIME	cedar_partial	898	840	0.6839	0.6238	0.7465	1		897	0.686	0.6223	0.7493		0.6175	0
PRIME	dbpepneo2_mhci	467	467				2		465						1
PRIME	itsndb	319	136	0.5673	0.4992	0.6292	2		317	0.5665	0.504	0.6311		0.5695	0
PRIME	mcpas	80	80				59		21						1
PRIME	neodb	551	551				13		538						1
PRIME	nepdb	609	263	0.6198	0.5746	0.6654	0		609	0.6198	0.5746	0.6654		0.2418	0
PRIME	tesla_mmc4	605	37	0.8054	0.7479	0.8598	0		605	0.8054	0.7479	0.8598		0.1908	0
PRIME	tesla_mmc7	310	4				0		310						1
RF_biophys	cedar_partial	909	851	0.9555	0.9333	0.9734	909	0.9555	0					0.3204	0
RF_biophys	dbpepneo2_mhci	467	467				142		325						1
RF_biophys	itsndb	319	136	0.7531	0.7062	0.8026	184	0.9109	135	0.5011	0.403	0.6019	0.4098	0.063	0
RF_biophys	mcpas	82	82				0		82						1
RF_biophys	neodb	552	552				70		482						1
RF_biophys	nepdb	572	151	0.9731	0.9608	0.9827	572	0.9731	0					0.2165	0
RF_biophys	tesla_mmc4	605	37	0.8839	0.8396	0.928	605	0.8839	0					0.4117	0
RF_biophys	tesla_mmc7	310	4				310		0						1
Structure_LR	itsndb	311	130	0.6894	0.6279	0.7466	181	0.7269	130	0.6509	0.5586	0.7469	0.0761	0.1064	0
TransPHLA	cedar_partial	736	678	0.7281	0.6637	0.7864	1		735	0.731	0.663	0.7944		0.1364	0
TransPHLA	dbpepneo2_mhci	457	457				2		455						1
TransPHLA	itsndb	318	135	0.5797	0.5153	0.6419	2		316	0.5811	0.5184	0.6431		0.57	0
TransPHLA	mcpas	65	65				48		17						1
TransPHLA	neodb	534	534				13		521						1
TransPHLA	nepdb	562	150	0.6941	0.6468	0.7391	0		562	0.6941	0.6468	0.7391		0.4975	0
TransPHLA	tesla_mmc4	605	37	0.7221	0.6556	0.7799	0		605	0.7221	0.6556	0.7799		0.8755	0
TransPHLA	tesla_mmc7	310	4				0		310						1
VQC	itsndb	319	136	0.5985	0.5352	0.6675	0		319	0.5985	0.5352	0.6675		0.0827	0
