allele	n	reason
A0217	?	exception TimeoutExpired(['/data/thca/_repo_offload/wave3_tools/PRIME/PRIME', '-i', '/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/prime_inputs/peps_A0217.txt', '-o', '/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/prime_outputs/out_A0217.txt', '-a', 'A0217', '-mix', '/data/thca/_repo_offload/wave3_tools/MixMHCpred/MixMHCpred'], 600)
B4102	?	exception TimeoutExpired(['/data/thca/_repo_offload/wave3_tools/PRIME/PRIME', '-i', '/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/prime_inputs/peps_B4102.txt', '-o', '/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/prime_outputs/out_B4102.txt', '-a', 'B4102', '-mix', '/data/thca/_repo_offload/wave3_tools/MixMHCpred/MixMHCpred'], 600)
