allele	n	file
A0101	42	peps_A0101.txt
A0201	111	peps_A0201.txt
A0205	1	peps_A0205.txt
A0217	1	peps_A0217.txt
A0301	21	peps_A0301.txt
A1101	27	peps_A1101.txt
A2402	12	peps_A2402.txt
A2501	1	peps_A2501.txt
A2601	30	peps_A2601.txt
A3101	2	peps_A3101.txt
A3201	1	peps_A3201.txt
A6801	4	peps_A6801.txt
B0702	10	peps_B0702.txt
B0801	3	peps_B0801.txt
B1501	3	peps_B1501.txt
B2705	21	peps_B2705.txt
B3501	8	peps_B3501.txt
B3503	1	peps_B3503.txt
B3701	1	peps_B3701.txt
B3801	1	peps_B3801.txt
B3906	1	peps_B3906.txt
B4001	1	peps_B4001.txt
B4002	1	peps_B4002.txt
B4102	1	peps_B4102.txt
B4403	3	peps_B4403.txt
B5101	1	peps_B5101.txt
B5601	1	peps_B5601.txt
C0303	1	peps_C0303.txt
C0401	1	peps_C0401.txt
C0501	1	peps_C0501.txt
C0602	1	peps_C0602.txt
C0701	1	peps_C0701.txt
C0802	1	peps_C0802.txt
C1203	1	peps_C1203.txt
C1502	2	peps_C1502.txt
