accession	title	query
E-MTAB-16420	Spatial transcriptomic profiling of healthy brain and RCAS-derived glioblastoma in a mouse model using 10x Genomics Visium HD	thyroid Visium
E-MTAB-11114	10X Visium spatial RNA-seq from adult mouse brain sections paired to single-nucleus RNA-seq	thyroid Visium
S-BSST2361	SpatialBench: Comparative benchmarking of high-resolution spatial transcriptomics platforms using immune reference tissue	thyroid Visium
E-MTAB-16421	Spatial transcriptomic profiling of primary and recurrent RCAS-derived glioblastoma in a mouse model using 10x Genomics Visium v1	thyroid Visium
E-MTAB-15471	spatial transcriptomics (10x Visium) of first and second trimester human reproductive tract	thyroid Visium
E-MTAB-15756	Spatial transcriptomics and proteomics of post-transplant HCC recurrence using 10x Visium CytAssist	thyroid Visium
E-MTAB-12700	Spatial transcriptomics of adipocyte-specific ATGL-KO mice 24 h after cardiac ischemia	thyroid Visium
S-BSST2222	Molecular characterization of the effect of glucagon-like peptide-1 receptor agonist semaglutide in the nephrotoxic serum nephritis mouse model.	thyroid Visium
S-EPMC11482879	Vispro improves imaging analysis for Visium spatial transcriptomics.	thyroid Visium
S-EPMC11374018	SpatialOne: end-to-end analysis of visium data at scale.	thyroid Visium
E-MTAB-13132	A spatial map of human liver cirrhosis reveals the patho-architecture and gene signatures associated with cell state transitions during liver disease - Spatial 	thyroid Visium
E-MTAB-10972	Lineage recording in human cerebral organoids (Visium)	thyroid Visium
E-MTAB-15010	Basal-like breast cancer stimulates MUC1 to support an epithelial/mesenchymal hybrid state and survive radiotherapy	thyroid Visium
E-MTAB-14960	A spatial map of human liver cirrhosis reveals the patho-architecture and gene signatures associated with cell state transitions during liver disease - Spatial 	thyroid Visium
E-MTAB-10386	The human gastrointestinal tract through space and time- Fetal Spatial transcriptomics	thyroid Visium
E-MTAB-14560	Spatially resolved transcriptomic profiling: an experimental comparison of GeoMx Digital Spatial Profiling and Visium CytAssist spatial transcriptomics in three	thyroid Visium
S-EPMC11608264	Microarray integrated spatial transcriptomics (MIST) for affordable and robust digital pathology.	thyroid Visium
S-BSST1845	Muscle Spatial Transcriptomic Reveals Heterogeneous Profiles in Juvenile Dermatomyositis and Persistence of Abnormal Signature After Remission.	thyroid Visium
E-MTAB-14082	Spatial transcriptomics of 8 whole opisthosomas samples from adult female L. sclopetarius spiders	thyroid Visium
S-BIAD986	spatialLIBD - Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex	thyroid Visium
E-MTAB-12975	Spatially resolved multiomics of human cardiac niches - Visium	thyroid Visium
S-EPMC12462499	FUSION: a web-based application for in-depth exploration of multi-omics data with brightfield histology.	thyroid Visium
E-MTAB-13461	A cell atlas of the human outflow tract of the heart and its adult derivatives - 10X visium samples	thyroid Visium
S-BIAD1900	Systematic Benchmarking of High-Throughput Subcellular Spatial Transcriptomics Platforms	thyroid Visium
E-MTAB-13687	Tonsil Atlas FASTQ files	thyroid Visium
E-MTAB-11932	A robust experimental and computational framework analysis at multiple resolutions, modalities and coverages	thyroid Visium
E-MTAB-11665	Spatial transcriptomics of the axolotl forebrain	thyroid Visium
S-EPMC12298044	Comparing Xenium 5K and Visium HD data from identical tissue slide at a pathological perspective.	thyroid Visium
S-EPMC11419951	Bin2cell reconstructs cells from high resolution Visium HD data.	thyroid Visium
S-EPMC11925495	ENACT: End-to-End Analysis of Visium High Definition (HD) Data.	thyroid Visium
S-EPMC10732305	Gestational Exposure to Perchlorate in the Rat: Thyroid Hormones in Fetal Thyroid Gland, Serum, and Brain.	thyroid spatial transcriptomics
S-EPMC8547050	CT appearance and measurements of the normal thyroid gland in goats.	thyroid spatial transcriptomics
E-GEOD-3467	Transcription profiling of micro-RNA genes in human papillary thyroid carcinoma	thyroid spatial transcriptomics
S-EPMC9142813	Cellular and molecular basis of thyroid autoimmunity.	thyroid spatial transcriptomics
S-EPMC7144917	Role of the Thyroid Gland in Expression of the Thyroid Phenotype of Sbp2-Deficient Mice.	thyroid spatial transcriptomics
S-EPMC10102529	Thirty synchronous medullary and papillary thyroid carcinomas.	thyroid spatial transcriptomics
S-EPMC6958209	Foci of spindle cell proliferation in multinodular goiter of thyroid: epithelial-mesenchymal transformation or embryonic remnants?	thyroid spatial transcriptomics
S-EPMC10963852	Principles and features of ultrasound hypoechogenicity in diffuse thyroid pathology.	thyroid spatial transcriptomics
E-MTAB-1186	Primary T-cell lymphoma of the thyroid gland	thyroid spatial transcriptomics
S-EPMC10522167	Coexistence of resistance to thyroid hormone and ectopic thyroid: ten-year follow-up.	thyroid spatial transcriptomics
E-MTAB-12837	Efficacy of trametinib and dabrafenib associated with radioactive iodine for the treatment of refractory metastatic differentiated thyroid cancer	thyroid spatial transcriptomics
S-EPMC10773048	Thyroid abscess associated with thyrotoxicosis caused by Yersinia enterocolitica subsp. palearctica in a patient with follicular adenoma of the thyroid gland.	thyroid spatial transcriptomics
