pmid	year	journal	title	authors	accessions
PPR1109009	2025		Mechanism of cancer-associated fibroblast-driven thyroid cancer dedifferentiation via the ZFP57-PKM2 axis-mediated lactate secretion and the	Ji X, Lv C, Wu X, Wu H, Chang Y, Liu Q, Huang J, Zhang D, Di	
41182416	2025		Tumor microenvironment remodeling across thyroid cancer differentiation states revealed by spatial transcriptomics.	Seok J, Choi H, Lee EK, Ryu CH, Lee D, Ryu J, Park SY, Jung 	
41761234	2026		Mechanism of cancer-associated fibroblast-driven thyroid cancer dedifferentiation via the ZFP57-PKM2 axis-mediated lactate secretion and the	Ji X, Lv C, Wu X, Wu H, Chang Y, Liu Q, Dong W, Huang J, Zha	
41480746	2026		An integrated single-cell and spatial transcriptomic atlas of thyroid cancer progression identifies prognostic fibroblast subpopulations.	Loberg MA, Xu GJ, Chen SC, Chen HC, Wahoski CC, Caroland KP,	
41398964	2025		Integrated spatial metabolomics and transcriptomics reveal the molecular landscape of papillary thyroid cancer and its lymph node metastasis	Li K, Pan Z, Chang W, Gong Y, Xu T, Lu B, He J, Ge M, Tan Z,	
40959084	2025		Personalised immunotherapy strategies informed by single cell profiling in thyroid cancer: a mini review.	Chen R, Wang Z, Chen X, Huang Y, Zhang F, Gao T.	
PMC13065496	2026		Integrative Single‐Cell and Machine Learning Analysis Identifies an EMT‐Associated Prognostic Signature for Papillary Thyroid Cancer	Xu T, Sun R, Zhang Y, Zheng X.	
40558562	2025		Spatial Transcriptomics in Thyroid Cancer: Applications, Limitations, and Future Perspectives.	Song C, Park HJ, Kim MS.	
39810624	2025		Single-cell RNA-sequencing and spatial transcriptomic analysis reveal a distinct population of APOE<sup>-</sup> cells yielding pathological 	Xiao G, Xie R, Gu J, Huang Y, Ding M, Shen D, Yan J, Yuan J,	
40433916	2025		PROS1-MERTK Axis Drives Tumor Microenvironment Crosstalk and Progression in Papillary Thyroid Microcarcinoma.	Zhang W, Zhang Y, Liu Z, Wang Z, Wang H, Ji X, Su H, Yang F,	
40908584	2025		Spatial Transcriptomics Reveals Transcriptomic and Immune Microenvironment Reprogramming during Thyroid Carcinoma Dedifferentiation.	Ning K, Zou B, Yu Y, Cai T, Luo Z, Guo Y, Wu Y, Shen X, Li H	
39984992	2025		Analysis of thyroid carcinoma composition and spatial architecture in the progression of dedifferentiation, lymphatic metastasis, and gastri	Wang D, Lu R, Yan F, Lin Y, Wang H, Xiong H.	
