accession	n_samples	platform	publication_date	entry_type	title	summary	suppfile
GSE103484	6	13112	2017/10/17	GSE	The Circadian Clock Gene Bmal1 Controls Thyroid Hormone-Mediated Spectral Identity and Cone Photoreceptor Function	Here we reveal a novel role for the circadian clock gene Bmal1 and Period2 in regulating the spatial organization of the cone opsins. Deletion of Bmal1 and Per2 have opposing effects on S-opsin expression and patterning of the cone photoreceptors is disrupted in cone specific knockouts of these genes. Using ChIP analysis we show that BMAL1 directly binds to the promoter region 	NARROWPEAK
GSE133336	2	20795	2020/06/25	GSE	Reversible 5-formyluracil DNA-histone crosslinks: formation and biological effects	5-Formyluracil (5fU) is a vital DNA modification that widely presents in cells and organisms. A unique feature of 5fU is the presence of a potentially reactive aldehyde group in its structure, which can realize addition and condensation reactions. However, the biological function details of 5fU are still largely elusive; especially the relationship with protein is still unclear	TXT
GSE145958	10	24247	2022/02/28	GSE	Thyrotropin Receptor Signaling Deficiency Impairs Spatial Learning and Memory	Subclinical hyperthyroidism, a disease characterized by decreased thyroid-stimulating hormone (TSH) and normal concentration of thyroid hormone, is associated with an elevated risk for cognitive impairment. TSH is the major endogenous ligand of TSH receptor (TSHR) and its role dependent on the process of signal transduction of TSHR. It has not, however, been established whether	TXT
GSE231952	4	24247	2023/11/16	GSE	Myeloid cells interact with a subset of thyrocytes to promote their migration and follicle formation through NF-κB.	The pathogenesis of thyroid dysgenesis (TD) is not well understood. Here, using a combination of single-cell RNA and spatial transcriptome sequencing, we identify a subgroup of NF-κB-activated thyrocytes located at the center of thyroid tissues in postnatal mice, which maintained a partially mesenchymal phenotype. These cells actively protruded out of the thyroid primordium and	CSV, MTX, TSV
GSE231953	1	24247	2023/11/16	GSE	Myeloid cells interact with a subset of thyrocytes to promote their migration and follicle formation through NF-κB.	The pathogenesis of thyroid dysgenesis (TD) is not well understood. Here, using a combination of single-cell RNA and spatial transcriptome sequencing, we identify a subgroup of NF-κB-activated thyrocytes located at the center of thyroid tissues in postnatal mice, which maintained a partially mesenchymal phenotype. These cells actively protruded out of the thyroid primordium and	XLS
GSE247339	41	21103	2023/11/20	GSE	Thyroid Hormone T4 Mitigates Traumatic Brain Injury by Dynamically Remodeling Cell Type Specific Genes, Pathways, and Networks in Hippocampus and Frontal Cortex	The complex pathology of traumatic brain injury (TBI) is a main contributor to the difficulties in achieving a successful therapeutic regimen. Previously, we showed that thyroxine (T4) administration prevented the cognitive impairments induced by TBI in mice. To understand the underlying mechanism, we carried out a systems level single cell transcriptomic study to investigate t	MTX, TSV
GSE273927	191	33947;30172	2024/08/29	GSE	Spatial transcriptomics reveals tanscriptional perturbations leading to uterine squamous metaplasia, atrophy, and infertility in a mouse model of RTHa	This study identifies an unknown role for KLF9 signaling in normal uterine development, which is decreased in a mouse model of resistance to thyroid hormone (RTHa), resulting in infertility through ectopic IL-33 expression produced by abnormally differentiated, KLF9-deficient endometrial cells. Utilizing a combination of genetically engineered mouse models, histopathology, spat	CSV, DCC, PKC, RDATA
GSE301163	78	18573	2025/12/10	GSE	Tracing the molecular route to progression in miRNA biogenesis-defective thyroid lesions [Spatial_transcriptomics]	Germline and somatic alterations in DICER1 and DGCR8 microprocessors confer risk of developing benign and malignant thyroid lesions, yet the molecular events driving malignant transformation remain unclear. We trace the molecular trajectories from benignity to malignancy in DICER1/DGCR8-mutated thyroid lesions using multi-omic profiling on 27 DICER1/DGCR8-mutated samples. Our f	TXT
GSE304918	4	20301	2025/08/11	GSE	Thyroid Hormone Promotes Fetal Neurogenesis [scRNA-Seq]	Maternal low thyroxine (T4) serum levels during the first trimester of pregnancy correlate with cerebral cortex volume and mental development of the progeny, but why neural cells during early fetal brain development are vulnerable to maternal T4 levels remains unknown. In this study, using iPSCs obtained from a boy with a loss-of-function mutation in MCT8—a transporter previous	CSV, H5AD, MTX, XLSX
GSE305186	15	24676	2025/08/11	GSE	Thyroid Hormone Promotes Fetal Neurogenesis [bulk RNA-Seq]	Maternal low thyroxine (T4) serum levels during the first trimester of pregnancy correlate with cerebral cortex volume and mental development of the progeny, but why neural cells during early fetal brain development are vulnerable to maternal T4 levels remains unknown. In this study, using iPSCs obtained from a boy with a loss-of-function mutation in MCT8—a transporter previous	TXT
