	M001	M002	M003	M004	M005	M006	M007	M008	M009	M010	M011	M012	M013	M014	M015	M016	M017	M018	M019	M020	M021
S0000	3.6384444	1.7508719	4.628482	3.2698824	7.161052	7.369676	5.1916647	8.04818	6.0845685	6.239014	4.2892356	-0.633673	-1.0616513	-1.6369967	2.1788516	3.0529034	2.1295185	2.589284	0.24354525	-0.16502808	1.0277537
S0001	3.665057	5.7112937	1.5211185	3.598132	-3.8501039	-9.06112	-6.4661856	-7.9297814	-1.4231081	-3.3869498	-2.0674915	9.399589	11.731254	9.169221	-1.4761144	-5.7000747	-2.30594	0.13038488	2.149759	3.0491962	6.3074
S0002	3.0644472	0.6189717	2.1737227	3.0954316	7.003886	8.266395	5.2128825	7.5116324	6.6792784	7.351548	2.9012961	-2.3745863	-2.6525495	-2.5183737	1.6387031	3.5970504	2.0688336	2.1408155	0.29811358	-0.69226164	-0.7160946
S0003	5.0488267	3.197784	4.0075126	4.0193954	5.3027616	4.9470544	1.8303944	4.2497873	5.8301635	6.4500465	2.9055424	-0.022220548	0.6960006	-0.48423314	0.3267296	1.0499312	-0.1853087	1.805765	0.8646081	0.6635943	0.026115462
S0004	-5.624516	-1.4345305	0.9990079	-3.1012275	1.4828739	0.16031474	2.5127993	2.4486165	-2.0179117	-4.118989	-2.512509	2.2819035	2.854891	-0.30573657	4.913856	5.4933066	7.618003	7.6566286	2.9574072	3.0719485	5.900199
S0005	3.502173	-0.5540489	1.1060832	2.132554	3.766957	5.946265	3.2173133	3.17555	5.2429924	5.5827956	1.33794	-3.1228096	-4.051853	-2.990333	0.41456228	1.4926903	0.53858614	-0.93774134	0.20350537	-1.3585644	-2.3419802
S0006	5.4626775	3.9098017	2.5110757	4.44071	2.5516632	1.9032912	0.34916008	2.618953	4.336898	4.4560003	0.98501647	2.7822607	3.0126038	3.2600102	0.41084942	0.3352622	-1.9775616	1.0332938	0.583415	0.8399336	0.07261495
S0007	5.710557	2.8467803	0.52210474	4.909903	0.751064	2.3020523	-1.433448	-1.1237013	4.5230284	2.962532	1.0133426	4.763711	2.4868462	3.589032	-0.04372717	-1.4097524	-2.443184	-2.4050922	1.2021099	0.22497635	-0.2867456
S0008	3.854821	0.9972015	2.0432606	3.6808946	5.546002	6.1185217	3.502435	5.1060815	6.6924205	4.3062267	1.4693578	-0.3511985	-2.1179612	-1.1682057	1.6687347	1.9044591	1.4434034	1.1788853	1.6718745	-0.09636258	-0.13607444
S0009	-4.7741137	-1.5394816	-1.2947251	-1.488703	-0.81273055	-0.793339	0.83530295	0.25257257	-2.5782723	-4.9231806	0.09148161	6.536881	3.0156772	2.3543618	7.775623	6.079123	7.879873	3.3452823	6.885593	2.370339	6.66262
S0010	2.3172402	0.624808	2.90466	2.758315	5.1542964	7.1269317	5.031785	6.52437	5.288018	5.796034	4.3247457	-1.7379259	-2.0359595	-2.642435	2.7568438	3.7318377	2.2322445	1.0398991	1.1537794	-0.21960722	-0.75622517
S0011	5.125206	3.883219	0.42300868	5.5022426	1.6593745	1.4694467	-1.2480153	-1.125252	4.7489123	2.1163273	1.151707	5.6636515	3.6638432	4.329336	-0.11792446	-1.5380853	-2.5386112	-2.2811122	2.1367757	0.37361214	0.39133108
S0012	4.34105	3.3733041	2.0590687	4.073751	1.3687356	0.7265669	-1.1518136	-0.2568646	4.171055	1.1085126	0.43904284	4.8969717	3.3682334	3.5737083	1.0341104	-0.6505647	-0.5103449	0.6010036	2.404785	1.9310101	1.3321825
S0013	0.13609606	1.3552055	1.906392	1.4015452	3.5169597	1.259253	2.4154649	2.5178387	0.62336457	-0.46463048	1.4383584	4.246042	4.543455	3.105497	5.5198927	4.992076	3.9709039	5.5239477	2.8263133	3.620895	4.3322215
S0014	-1.8599932	1.2628745	1.5322443	0.6312341	1.348084	-0.27318704	0.9804258	1.708247	-0.38635322	-2.4719527	0.0067918506	6.505163	5.6449924	3.1582172	5.957865	4.9045944	6.443412	6.8088007	5.012417	4.4735813	6.961368
S0015	1.1098604	1.333773	3.3616648	2.3604758	5.1185365	4.251063	3.7837222	5.725634	3.717307	3.0796766	2.3000703	2.4016514	2.6102607	1.0111814	4.2448044	4.158908	5.1327977	4.9954267	2.7425687	2.5021014	4.773777
S0016	-2.6659284	1.4591116	0.64082533	0.27412224	-0.5412548	-1.92136	-0.6269462	-0.3772045	-1.5795214	-3.9876807	-1.7283143	7.980296	6.9500747	4.776705	4.2665706	3.4685118	4.5261846	6.319805	4.0552197	4.8700113	6.769588
S0017	0.4999041	2.5272005	4.265497	2.4784698	4.285307	4.7456937	5.0704956	7.602465	2.8605666	4.268787	5.4416785	1.0899948	1.9255283	0.42477682	4.0938835	3.8250241	3.2555223	1.8915598	1.607217	1.92884	1.4963844
S0018	2.2631915	4.046225	5.291743	3.5306356	3.3886878	2.2170038	2.344171	4.8128557	2.3395104	2.742975	3.5261343	2.997482	4.9781632	1.8649876	2.099964	1.3780617	2.452386	3.68321	1.5687567	3.5457764	3.4463637
