gene	w_B	rank
CTRL	-0.011830004771549144	1
WDR83OS	-0.011829418331578714	2
CYLC1	-0.01182935929909244	3
EDDM3A	-0.011829077717290394	4
CST8	-0.011828806674289956	5
LCE2B	-0.01182829307633244	6
SOX1	-0.011828225675297661	7
TAS2R16	-0.01182812593771777	8
VENTXP1	-0.01182806177218069	9
CRISP1	-0.011828026280272191	10
MOS	-0.011827254873501877	11
TAS2R9	-0.011827197043771168	12
OR7E37P	-0.0118267096861042	13
POU4F2	-0.011826657269174328	14
IFNA14	-0.011826414751250135	15
DRD3	-0.01182641175615254	16
OR2J2	-0.011826398784304819	17
MGC4859	-0.011826315126489913	18
CRYBA2	-0.01182628540588766	19
GAD2	-0.01182618937869145	20
OR10C1	-0.01182614243232649	21
BMP15	-0.011826044866894604	22
MAGEB2	-0.011826015757738435	23
MIF	-0.011825992550969748	24
SMAD5-AS1	-0.01182586027370851	25
CYP11B1	-0.011825753870045742	26
INSL4	-0.011825626672312997	27
CER1	-0.01182560196442722	28
TSSK1B	-0.011825563790896436	29
OR2H1	-0.011825511186097922	30
LYZL6	-0.011825271955479135	31
PAX4	-0.011825174261879751	32
GK2	-0.011825164558899686	33
GML	-0.011825107247380364	34
CTAGE1	-0.01182497404002267	35
CYP2C18	-0.011824947850791113	36
TSHB	-0.011824917552141762	37
KRTAP4-7	-0.011824910703360276	38
GH1	-0.011824886175348555	39
RHAG	-0.011824813756532238	40
IFNA21	-0.011824742547487258	41
NEUROD4	-0.011824731448925147	42
ATXN8OS	-0.01182453072253618	43
HMGB3P1	-0.011824488585019804	44
CRHR1	-0.011824467185223305	45
OR7C2	-0.011824415642455167	46
GYPA	-0.011824405768843168	47
OR7E24	-0.011824388851074194	48
CCDC70	-0.011824325491581989	49
ELSPBP1	-0.011824263533524755	50
NEUROG1	-0.011824251814420168	51
ADAM7	-0.01182424590074395	52
IFNA17	-0.011824053815394246	53
MLN	-0.011824047992151613	54
CSN1S1	-0.011824016965534194	55
DEFA6	-0.011824000305985998	56
LUZP4	-0.0118239271565929	57
C1orf68	-0.01182385938493216	58
GPR50	-0.011823688124744281	59
SNX29P2	-0.011823656356982052	60
HCRT	-0.011823625570610468	61
CYLC2	-0.011823538549342672	62
SCGB1D1	-0.011823526054405892	63
OR7A17	-0.011823509847109715	64
OR2S2	-0.011823465437010768	65
C8orf17	-0.01182345315641887	66
HOXD11	-0.011823449235984619	67
CPN1	-0.011823446801430208	68
HMX1	-0.011823402090360337	69
GYPB	-0.01182334705684423	70
PHOX2B	-0.011823336113881495	71
ADAM18	-0.011823243182946442	72
ECE2	-0.011823158782131573	73
LRIT1	-0.011823113998210734	74
IFNA5	-0.011823072884364226	75
MAGEC2	-0.011823007279789233	76
LHX3	-0.011822997860820313	77
SIX6	-0.011822985069962067	78
PAGE4	-0.011822941149707144	79
HTN1	-0.011822671273959326	80
DSCR4	-0.011822668700037	81
KRTAP1-1	-0.011822661826972707	82
OR12D3	-0.011822647186504288	83
MYL10	-0.011822628310796258	84
GUCA1A	-0.011822607541245974	85
MAGEB3	-0.011822476086295794	86
NPY2R	-0.01182242576438148	87
PDHA2	-0.01182241792702111	88
NAA11	-0.011822410552737743	89
HBZ	-0.01182238975283294	90
TMPRSS15	-0.011822361610378494	91
HOXB1	-0.01182236129344891	92
GNGT1	-0.011822353867282332	93
OR10H2	-0.01182234873929624	94
PRAMEF11	-0.011822318072089602	95
AMELX	-0.011822256714900307	96
BMP10	-0.011822195880277098	97
PRKACG	-0.011822161764289348	98
CYP2A7P1	-0.011822131044506004	99
SPAM1	-0.01182212814310823	100
