gene	module_id	module_size	eigengene_corr_Y	eigengene_pval_Y	eigengene_corr_cohort	module_preserved
MCCC2	M017	44	-0.14110602	0.0051284735	0.88136363	True
INHBB	M010	67	0.429704	4.7946997e-19	0.8822221	True
MYH10	M010	67	0.429704	4.7946997e-19	0.8822221	True
NECAB3	M012	88	-0.056926005	0.2608475	0.94203234	True
MPPED2	M000	1182				False
C3	M000	1182				False
TM4SF1	M000	1182				False
KCNJ2	M000	1182				False
MUC1	M000	1182				False
IGFBP6	M000	1182				False
WASF3	M000	1182				False
NRP2	M009	117	0.324656	4.5004084e-11	0.9549998	True
LYST	M006	83	0.32443193	4.6484528e-11	0.9076619	True
CDH11	M000	1182				False
EPHA4	M010	67	0.429704	4.7946997e-19	0.8822221	True
B4GALT5	M010	67	0.429704	4.7946997e-19	0.8822221	True
SCEL	M000	1182				False
ARAP1	M009	117	0.324656	4.5004084e-11	0.9549998	True
MMP15	M021	54	-0.14418523	0.0042288513	0.91452366	True
RAC2	M000	1182				False
MEX3C	M006	83	0.32443193	4.6484528e-11	0.9076619	True
PON2	M010	67	0.429704	4.7946997e-19	0.8822221	True
GSTM4	M012	88	-0.056926005	0.2608475	0.94203234	True
SLC17A9	M000	1182				False
CDC25B	M001	63	0.39597368	3.627845e-16	0.91419816	True
PTPRU	M000	1182				False
ABTB2	M000	1182				False
CYSLTR2	M000	1182				False
RARRES1	M000	1182				False
SEMA4C	M009	117	0.324656	4.5004084e-11	0.9549998	True
ETHE1	M000	1182				False
LUM	M000	1182				False
ALOX5AP	M000	1182				False
ZYX	M001	63	0.39597368	3.627845e-16	0.91419816	True
CFI	M000	1182				False
MGAT4B	M001	63	0.39597368	3.627845e-16	0.91419816	True
WWOX	M000	1182				False
ACACB	M000	1182				False
STAT4	M000	1182				False
ACSL5	M000	1182				False
SLC25A15	M000	1182				False
CCL22	M000	1182				False
PPP2R3A	M006	83	0.32443193	4.6484528e-11	0.9076619	True
SDC3	M001	63	0.39597368	3.627845e-16	0.91419816	True
MCM5	M001	63	0.39597368	3.627845e-16	0.91419816	True
NOD1	M000	1182				False
PERP	M009	117	0.324656	4.5004084e-11	0.9549998	True
TMEM43	M010	67	0.429704	4.7946997e-19	0.8822221	True
SELL	M000	1182				False
RAB31	M009	117	0.324656	4.5004084e-11	0.9549998	True
HPGDS	M000	1182				False
ARHGAP19	M000	1182				False
DOCK9	M006	83	0.32443193	4.6484528e-11	0.9076619	True
SP110	M001	63	0.39597368	3.627845e-16	0.91419816	True
CBLN1	M000	1182				False
TCF7L1	M000	1182				False
FAHD2A	M021	54	-0.14418523	0.0042288513	0.91452366	True
MT1F	M000	1182				False
PPL	M010	67	0.429704	4.7946997e-19	0.8822221	True
HLF	M000	1182				False
KCNQ1	M021	54	-0.14418523	0.0042288513	0.91452366	True
SP100	M009	117	0.324656	4.5004084e-11	0.9549998	True
RASGRF1	M000	1182				False
KLF15	M000	1182				False
DCLK1	M000	1182				False
CDH3	M000	1182				False
STK38	M009	117	0.324656	4.5004084e-11	0.9549998	True
IFIT3	M000	1182				False
MT1G	M000	1182				False
