level	module_id	parent_id	n_genes	best_match_pathway	best_match_db	best_jaccard	novelty_score	top_10_genes
1	L1_0	root	1929	Signal Transduction R-HSA-162582	Reactome_2022	0.089782	0.910218	SYT12,KLK7,EPYC,CST1,FN1,SFTPB,SPRR1B,CST5,SLC18A3,TACSTD2
1	L1_1	root	818	Immune System R-HSA-168256	Reactome_2022	0.084446	0.915554	MMP13,TMPRSS11E,KLK6,VTCN1,CLDN10,EREG,CEACAM6,COL11A1,CRLF2,IVL
1	L1_10	root	1	Peptide Ligand-Binding Receptors R-HSA-375276	Reactome_2022	0.005102	0.994898	NPY1R
1	L1_11	root	1	Complement	MSigDB_Hallmark_2020	0.005	0.995	PHEX
1	L1_12	root	1			0.0	1.0	PSORS1C1
1	L1_13	root	1	Gluconeogenesis R-HSA-70263	Reactome_2022	0.03125	0.96875	ALDOC
1	L1_14	root	1	Acyl Chain Remodelling Of PI R-HSA-1482922	Reactome_2022	0.058824	0.941176	PLA2G5
1	L1_15	root	1	Myogenesis	MSigDB_Hallmark_2020	0.005	0.995	COX7A1
1	L1_16	root	1	Collagen Chain Trimerization R-HSA-8948216	Reactome_2022	0.022727	0.977273	COL11A2
1	L1_17	root	1	Signaling By ERBB4 R-HSA-1236394	Reactome_2022	0.017544	0.982456	GABRG3
1	L1_18	root	1	Citric Acid Cycle (TCA Cycle) R-HSA-71403	Reactome_2022	0.047619	0.952381	PCDHB11
1	L1_19	root	1	Transport Of Organic Anions R-HSA-879518	Reactome_2022	0.090909	0.909091	SLCO4C1
1	L1_2	root	1	Common Pathway Of Fibrin Clot Formation R-HSA-140875	Reactome_2022	0.045455	0.954545	CD177
1	L1_20	root	1	CRMPs In Sema3A Signaling R-HSA-399956	Reactome_2022	0.0625	0.9375	DPYSL4
1	L1_21	root	1	Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204	Reactome_2022	0.038462	0.961538	PLCH2
1	L1_22	root	1	Glyoxylate Metabolism And Glycine Degradation R-HSA-389661	Reactome_2022	0.032258	0.967742	DDO
1	L1_23	root	1			0.0	1.0	SCIN
1	L1_24	root	1	Axonal Growth Inhibition (RHOA Activation) R-HSA-193634	Reactome_2022	0.125	0.875	MAG
