line	RAI_8_score_z	TF_collapse_score_z	DM1_like_score	sample	name	cancer_type_detailed	oncotree	hist_subtype	mutation_label	DM1_high
8305C_THYROID	-0.0008708877026549038	0.08938482066319416	0.0008708877026549038	8305C_THYROID	8305C	Anaplastic Thyroid Cancer	THAP	anaplastic_carcinoma	BRAF	0
8505C_THYROID	-0.051594438116526295	0.04376803944535229	0.051594438116526295	8505C_THYROID	8505C	Anaplastic Thyroid Cancer	THAP	anaplastic_carcinoma	BRAF	1
BCPAP_THYROID	-0.01756587451334533	0.07176276565146777	0.01756587451334533	BCPAP_THYROID	B-CPAP	Papillary Thyroid Cancer	THPA	papillary_carcinoma	BRAF	1
BHT101_THYROID	-0.1420079112329861	-0.1414509740630779	0.1420079112329861	BHT101_THYROID	BHT-101	Anaplastic Thyroid Cancer	THAP	anaplastic_carcinoma	BRAF	1
CAL62_THYROID	0.0081421063667328	0.16845963336187494	-0.0081421063667328	CAL62_THYROID	CAL-62	Anaplastic Thyroid Cancer	THAP	anaplastic_carcinoma	RAS	0
FTC133_THYROID	-0.03846295144473827	0.03392328062195966	0.03846295144473827	FTC133_THYROID	FTC-133	Follicular Thyroid Cancer	THFO	follicular_carcinoma	other	1
FTC238_THYROID	0.01224588598968257	0.2270842658057098	-0.01224588598968257	FTC238_THYROID	FTC-238	Follicular Thyroid Cancer	THFO	follicular_carcinoma	other	0
MB1_THYROID	0.03770184655942793	0.2388359850215929	-0.03770184655942793	MB1_THYROID	?	Anaplastic Thyroid Cancer	THAP	?	other	0
ML1_THYROID	0.5360595882033028	0.8624080056406059	-0.5360595882033028	ML1_THYROID	ML-1	Follicular Thyroid Cancer	THFO	follicular_carcinoma	other	0
S117_SOFT_TISSUE	0.03557672002651999	0.1931569385117061	-0.03557672002651999	S117_SOFT_TISSUE	?	Thyroid	THYROID	?	other	0
SW579_THYROID	-0.08385848662357609	-0.08192924607259236	0.08385848662357609	SW579_THYROID	SW579	Anaplastic Thyroid Cancer	THAP	anaplastic_carcinoma	other	1
TT2609C02_THYROID	-0.03149618911117715	0.06999255769272307	0.03149618911117715	TT2609C02_THYROID	TT2609-C02	Follicular Thyroid Cancer	THFO	follicular_carcinoma	RAS	1
TT_THYROID	0.013180202043400528	0.056767439075878	-0.013180202043400528	TT_THYROID	TT	Thyroid	THYROID	medullary_carcinoma	other	0
