gene	class
NAMPT	NAD_salvage
NAPRT	NAD_de_novo_SR_partner
JAK1	JAK_STAT
JAK2	JAK_STAT
TYK2	JAK_STAT
STAT3	JAK_STAT
IL6R	JAK_STAT_upstream
OSMR	JAK_STAT_upstream
DNMT1	Epigenetic
DNMT3A	Epigenetic
DNMT3B	Epigenetic
HDAC1	Epigenetic
HDAC2	Epigenetic
HDAC6	Epigenetic
KDM1A	Epigenetic
EZH2	Epigenetic
LYN	SFK
FYN	SFK
SRC	SFK
YES1	SFK
KCNN4	Ion_channel
PARP1	DDR
PARP2	DDR
ATR	DDR
CHEK1	DDR
CHEK2	DDR
GLS	Metabolism
LDHA	Metabolism_glycolysis
HK2	Metabolism_glycolysis
IDH2	Metabolism
MYC	Metabolism_master
TACSTD2	TROP2_ADC_non_SL
FOXE1	Lineage_TF_anchor
NKX2-1	Lineage_TF_anchor
PAX8	Lineage_TF_anchor
HHEX	Lineage_TF_anchor
