gene	class	n	hr	hr_lo	hr_hi	p
MYC	Metabolism_master	280	1.873258280152863	0.9905225616689698	3.5426720399469245	0.053523455260418
HHEX	Lineage_TF_anchor	280	0.670181928228715	0.4136943392175843	1.0856900236387557	0.10396217857993724
LDHA	Metabolism_glycolysis	280	3.6812592355325116	0.7640504675135573	17.73661575431593	0.10426814997221114
GLS	Metabolism	280	2.192139884174622	0.7495560713075853	6.411097789396954	0.15172322242815456
IDH2	Metabolism	280	0.42594022046003777	0.12638597107931424	1.4354842539579908	0.16857697756779066
HDAC1	Epigenetic	280	0.32045169559966014	0.06233304006069102	1.6474295030807586	0.17308905222783152
NAMPT	NAD_salvage	280	1.706805002061187	0.6979568515801787	4.173873081789544	0.24128013672653595
DNMT3A	Epigenetic	280	3.9083231867632215	0.3860823034837627	39.56407738546721	0.2484383510405023
ATR	DDR	280	3.535190110740367	0.39126706255751703	31.941275704083377	0.2608385239493951
PARP2	DDR	280	0.35251569995141063	0.04463247857871794	2.784235217702815	0.32273987635216633
CHEK1	DDR	280	0.4969202658110496	0.11854652339604052	2.0829775812891675	0.3388655002109731
JAK1	JAK_STAT	280	0.5123840813749714	0.12728081876410366	2.062663089346149	0.3466755715686931
PARP1	DDR	280	0.421770775755683	0.06973947657841437	2.550787531098434	0.3471291974914351
FYN	SFK	280	1.918976778143046	0.439924132324875	8.370697591858487	0.38577625123454395
KCNN4	Ion_channel	280	1.2844905666645698	0.7094191112326386	2.3257281763716313	0.4084901373677864
KDM1A	Epigenetic	280	0.28302022818081973	0.013136410998219867	6.09759009293922	0.4203529762535949
OSMR	JAK_STAT_upstream	280	1.2714602823534664	0.6960451202549653	2.3225667454003305	0.4346473129326337
FOXE1	Lineage_TF_anchor	280	0.7904934344729851	0.4359284984354043	1.4334457879850908	0.4388167004778798
YES1	SFK	280	1.8893802573401066	0.3042504824806864	11.732956765493947	0.49468903188779767
SRC	SFK	280	1.879088522568953	0.29107010501267994	12.1310076673678	0.507385816700475
STAT3	JAK_STAT	280	0.5615704182433405	0.08435190279131083	3.738639250690218	0.5507969013487397
HK2	Metabolism_glycolysis	280	1.260670100639054	0.5397355795723953	2.944569827885711	0.5925179029800072
PAX8	Lineage_TF_anchor	280	0.7289681714066639	0.21280000103657748	2.497155039170492	0.6148149395818874
LYN	SFK	280	0.787756913640791	0.28237949208829394	2.197613397487197	0.6485633639932764
EZH2	Epigenetic	280	1.2235509046531836	0.4752464536205419	3.150106234086614	0.6758365206236474
CHEK2	DDR	280	0.7846919595807919	0.24510840789314414	2.5121189302456637	0.6829734842566924
TACSTD2	TROP2_ADC_non_SL	280	0.9295007429944298	0.6152189016740366	1.404332065995199	0.7284236553429976
TYK2	JAK_STAT	280	0.6140431942287937	0.03228680520922858	11.678115624488225	0.7455414319798912
NKX2-1	Lineage_TF_anchor	280	0.8380795848112186	0.24666817067013866	2.847458545499212	0.7771242974714531
DNMT1	Epigenetic	280	0.8484828750308203	0.1969480381551355	3.655396600871367	0.8254870122533439
IL6R	JAK_STAT_upstream	280	0.9411638820110583	0.5059366173186768	1.7507913491151577	0.8481551919650245
DNMT3B	Epigenetic	280	0.9273592638872635	0.3115418903065565	2.7604480523350934	0.892213085283373
HDAC6	Epigenetic	280	1.1862120962170242	0.09567579045945175	14.70695073909975	0.8942377834010999
JAK2	JAK_STAT	280	1.067244541218373	0.35355539181962775	3.2215911201306224	0.9080840707369396
HDAC2	Epigenetic	280	1.0355494602844102	0.07037605186355254	15.237607912056022	0.9796856620064112
