gene	mean_DM1	mean_DM2	log2FC_DM2vDM1	t	p	q_BH	class	dm1_up
TACSTD2	7.182947845043218	3.0392958963779293	-4.143651948665289	13.78346685033492	8.678337609127e-27	8.239895774386571e-24	TROP2_ADC_non_SL	True
KCNN4	5.073522615341349	1.0732768132755703	-4.000245802065779	19.59674545436952	4.461352287548128e-36	3.834829714633453e-32	Ion_channel	True
OSMR	5.1209154974352336	3.685533501883032	-1.435381995552202	9.924488194672415	1.5675605700737086e-17	1.5883176589583778e-15	JAK_STAT_upstream	True
IL6R	3.5726556109246514	2.237258077444648	-1.3353975334800032	9.1695050349805	7.481917651415315e-16	5.29317449868441e-14	JAK_STAT_upstream	True
MYC	4.1467880609132095	2.8587384199349515	-1.288049640978258	7.109874679535679	8.216380120296423e-11	2.0530600209504248e-09	Metabolism_master	True
SRC	5.843978560539221	4.958552712549592	-0.8854258479896293	8.544592108964618	1.5249631387234254e-13	6.699186449448205e-12	SFK	True
LYN	6.00933787475416	5.131484759712283	-0.8778531150418774	9.717379647912962	3.400703563327006e-17	3.1830832227772604e-15	SFK	True
FYN	7.215794636758734	6.589267733602937	-0.6265269031557965	5.124706317988868	1.391233673988484e-06	1.3727087335427983e-05	SFK	True
GLS	6.91464320782775	6.297817201928886	-0.6168260058988642	5.474197665959062	2.130054727773076e-07	2.553900228315535e-06	Metabolism	True
CHEK2	3.1736442933410838	2.603835492810383	-0.5698088005307005	6.971041633544012	2.2414186637066242e-10	5.1514672977720785e-09	DDR	True
NAMPT	5.768926890508699	5.205836457740029	-0.5630904327686705	4.4128843686783465	2.1131116271855725e-05	0.0001563805697524	NAD_salvage	True
DNMT1	5.9045044562654825	5.370003088515865	-0.5345013677496171	5.632335857393727	1.0409676824865883e-07	1.3338352113431877e-06	Epigenetic	True
EZH2	2.6676524281344887	2.178634912600016	-0.4890175155344729	3.974710925504206	0.0001264698549312	0.0007645711286162	Epigenetic	True
STAT3	7.748692825898614	7.321963111269605	-0.4267297146290083	5.501271972812441	1.990079310061213e-07	2.402536290662383e-06	JAK_STAT	True
NAPRT	4.340700560088112	3.922129521629765	-0.4185710384583467	2.631073926793731	0.0100288125815083	0.033647279474285	NAD_de_novo_SR_partner	True
LDHA	8.283589104920635	7.927616266117704	-0.3559728388029306	3.5528433649037496	0.0005305353214053	0.0026941540632296	Metabolism_glycolysis	True
HK2	6.41963785490233	6.0655039863414135	-0.3541338685609165	1.8350425744355745	0.069052730780037	0.1590019438007693	Metabolism_glycolysis	True
JAK2	3.978169604562785	3.653862614151546	-0.3243069904112388	3.8265593969052953	0.0001995680187906	0.0011389311719715	JAK_STAT	True
JAK1	7.399220498762504	7.141146837816307	-0.2580736609461969	3.205452289770925	0.0016859994527369	0.0073664635526477	JAK_STAT	True
TYK2	6.171343110183184	5.914781923368253	-0.2565611868149311	4.162446061923688	6.304673397877752e-05	0.0004130554189813	JAK_STAT	True
NKX2-1	8.080673663836361	7.859800740433888	-0.2208729234024726	1.5202242862300228	0.1310642035839468	0.2562651262705566	Lineage_TF_anchor	True
DNMT3A	4.978777412593069	4.794603315992031	-0.1841740966010379	1.67024648304245	0.0988483381358382	0.2078869500721714	Epigenetic	True
CHEK1	2.363110550499607	2.1880498505831327	-0.1750606999164743	1.7462853306948931	0.0835453040649518	0.1840301523864505	DDR	True
PARP2	4.153996536211744	4.061023658309583	-0.0929728779021612	1.4413179608122173	0.1521221356909911	0.287077720594503	DDR	True
HDAC2	6.179524573118312	6.157885788631539	-0.0216387844867727	0.3149879394447785	0.7532608093046009	0.844995605852648	Epigenetic	True
KDM1A	6.25757877795348	6.27285622523289	0.0152774472794101	-0.2211870371184479	0.8253837852935741	0.8921644269944321	Epigenetic	False
HDAC6	5.879876530513789	5.899876368643331	0.019999838129542	-0.2988552165248937	0.7655817657070788	0.8529215640801027	Epigenetic	False
HDAC1	7.52563618961806	7.581431666138767	0.0557954765207071	-0.5712953534482423	0.5688847491895799	0.7042981067341493	Epigenetic	False
ATR	4.890914197623125	4.968668578939563	0.0777543813164376	-1.040391037206705	0.3000384693217631	0.4617158979881604	DDR	False
PARP1	6.794699911606984	6.873815880940773	0.079115969333789	-0.9497884045753172	0.3439628360414699	0.4997194091665334	DDR	False
YES1	5.488680741705201	5.700809336364783	0.2121285946595819	-3.069350191774781	0.0026097532694081	0.0107187556834003	SFK	False
IDH2	5.77356908091951	6.063528391324162	0.2899593104046518	-2.25019988851856	0.0270588051825694	0.0756303283376237	Metabolism	False
DNMT3B	2.1933311239577464	2.499060391516565	0.3057292675588186	-2.6231215662502634	0.0101607216775114	0.0340389126207194	Epigenetic	False
PAX8	9.362219829536194	10.005551319379634	0.6433314898434404	-4.412068352680821	2.6251057436065337e-05	0.0001893792189407	Lineage_TF_anchor	False
HHEX	6.632419682595998	7.357839011328196	0.7254193287321984	-4.481733042814014	1.6510607396665424e-05	0.0001258897199697	Lineage_TF_anchor	False
FOXE1	7.838276738886659	8.879311960309971	1.0410352214233125	-6.315795224139916	4.634159005643794e-09	7.99605609090241e-08	Lineage_TF_anchor	False
