gene	class	n	hr	hr_lo	hr_hi	p
TYK2	JAK_STAT	560	0.1533366090860525	0.03975892660019447	0.5913669632593622	0.00647416175723251
ATR	DDR	560	6.875568269573768	1.2836868780749306	36.82630074123902	0.024346071034692166
CHEK2	DDR	560	0.4824585951980618	0.24082713227221486	0.9665285380610015	0.039782714655866955
YES1	SFK	560	3.6285824694109508	0.9704039806707185	13.568174697939765	0.05545195461102741
HDAC1	Epigenetic	560	0.3282871617582578	0.1036326412926412	1.039947059449746	0.0583070830619463
MYC	Metabolism_master	560	1.4983521741464412	0.9667795141881053	2.322203982212793	0.07047655176550324
GLS	Metabolism	560	1.824739727204647	0.9315213250786852	3.5744485739579104	0.07957017213109471
FYN	SFK	560	0.5956396439838434	0.31991069727802635	1.1090175742915642	0.10232276235525735
NKX2-1	Lineage_TF_anchor	560	0.5491231816983444	0.2660090140725332	1.1335565816438555	0.10502435853721977
TACSTD2	TROP2_ADC_non_SL	560	0.8973003731002119	0.7710862581707001	1.0441736589572823	0.16118932585048762
JAK2	JAK_STAT	560	1.6965376170180113	0.7610750642153027	3.7818081570242055	0.19621347434497735
LDHA	Metabolism_glycolysis	560	1.8513569987098508	0.7207195563699966	4.755695480132573	0.20069577335094937
DNMT3A	Epigenetic	560	2.176540942391312	0.6080737836001318	7.790716524330409	0.2319408704560646
JAK1	JAK_STAT	560	0.5942004428951947	0.2425925428464967	1.4554205260969515	0.25475784155933223
PARP2	DDR	560	0.43020993005051034	0.08815864925815575	2.099403580607184	0.29697803462119954
HDAC2	Epigenetic	560	0.4758260281040791	0.10682431630930697	2.1194650885079245	0.3298422351054449
EZH2	Epigenetic	560	0.7826135535817801	0.47173936086982715	1.2983524909190522	0.34259704304985367
SRC	SFK	560	0.723585841892083	0.36098910420504227	1.4503941102036209	0.361813868169808
CHEK1	DDR	560	0.6403181011070171	0.24534309835692833	1.6711587705182247	0.36240323755619974
NAMPT	NAD_salvage	560	1.278427593667749	0.7379186416347148	2.2148473016354044	0.38101062866586166
KCNN4	Ion_channel	560	0.9348812458152443	0.800468620387982	1.0918640925030136	0.3951931954005439
IDH2	Metabolism	560	0.684411862466319	0.27665874356181325	1.693131369910807	0.41191800229434206
HHEX	Lineage_TF_anchor	560	0.838798476549515	0.5106508604914544	1.3778159182668441	0.4875425694843175
OSMR	JAK_STAT_upstream	560	1.1272687225649376	0.7963051402769709	1.595788735498052	0.49933033946338223
DNMT1	Epigenetic	560	0.7470323363744986	0.3098476277560574	1.8010701441564685	0.5159864878085394
LYN	SFK	560	0.8257403098494324	0.4370889906310015	1.5599730808270673	0.5552335103951109
IL6R	JAK_STAT_upstream	560	1.1072271855293288	0.7565566494135652	1.6204365414347743	0.6001301561410781
FOXE1	Lineage_TF_anchor	560	1.0915852960471664	0.6207651416903085	1.9194996279943062	0.7609039784606663
DNMT3B	Epigenetic	560	0.933166953080382	0.5205194585802113	1.6729452625970074	0.8163499157793255
STAT3	JAK_STAT	560	0.9061349896544982	0.31261418671393865	2.626498266463823	0.8559514655476914
HK2	Metabolism_glycolysis	560	1.0474248198611145	0.5937227019905335	1.847830223744048	0.8729008540822746
KDM1A	Epigenetic	560	1.1655027100049231	0.14815418048009904	9.16880348989739	0.8842942247979926
PAX8	Lineage_TF_anchor	560	1.033036698518186	0.49901142307962354	2.1385578989342577	0.9302340897296207
HDAC6	Epigenetic	560	1.0323244930610518	0.20180657247639192	5.280768836695972	0.9695281478231437
PARP1	DDR	560	1.020549311594341	0.3153686258762035	3.3025507673820647	0.9729181417774769
