gene	class	in_ccle	pearson_r	p	mean_dm1_high	mean_dm1_low	delta
NAMPT	NAD_salvage	True	0.363836566322872	0.22167458682705893	41.94819999999999	21.977985714285712	19.97021428571428
TACSTD2	TROP2_ADC_non_SL	True	0.29252063163986497	0.3321125383077122	9.347183333333334	0.5297714285714286	8.817411904761904
KCNN4	Ion_channel	True	0.28870098100944	0.3387554985920619	15.830750000000002	6.481757142857142	9.34899285714286
LYN	SFK	True	0.2784705548070396	0.35690300748351234	9.281883333333333	5.241357142857143	4.04052619047619
OSMR	JAK_STAT_upstream	True	-0.3193720401357078	0.28748083807618396	23.94536666666666	16.819357142857143	7.126009523809518
PAX8	Lineage_TF_anchor	True	-0.4102788979838673	0.16378461526751845	9.271716666666666	63.339571428571425	-54.067854761904755
NKX2-1	Lineage_TF_anchor	True	-0.5826683623608839	0.03664089008656738	13.812850000000003	16.83525714285714	-3.022407142857139
FOXE1	Lineage_TF_anchor	True	-0.9103305474712107	1.5528948786885708e-05	1.7041833333333336	15.457571428571427	-13.753388095238094
NAPRT	NAD_de_novo_SR_partner	False					
JAK1	JAK_STAT	False					
JAK2	JAK_STAT	False					
TYK2	JAK_STAT	False					
STAT3	JAK_STAT	False					
IL6R	JAK_STAT_upstream	False					
DNMT1	Epigenetic	False					
DNMT3A	Epigenetic	False					
DNMT3B	Epigenetic	False					
HDAC1	Epigenetic	False					
HDAC2	Epigenetic	False					
HDAC6	Epigenetic	False					
KDM1A	Epigenetic	False					
EZH2	Epigenetic	False					
FYN	SFK	False					
SRC	SFK	False					
YES1	SFK	False					
PARP1	DDR	False					
PARP2	DDR	False					
ATR	DDR	False					
CHEK1	DDR	False					
CHEK2	DDR	False					
GLS	Metabolism	False					
LDHA	Metabolism_glycolysis	False					
HK2	Metabolism_glycolysis	False					
IDH2	Metabolism	False					
MYC	Metabolism_master	False					
HHEX	Lineage_TF_anchor	False					
