cancer_norm	n_records	n_unique_pep	n_pos	n_neg	n_sources	val_rate
skin	23112	20683	0	0	3	
colorectal	5827	945	153	5671	4	0.026270604395604396
melanoma	5175	1558	589	4511	7	0.11549019607843138
pancreatic	4890	4169	2	0	4	1.0
thyroid	2983	2684	0	0	3	
esophageal cancer	2044	207	2	2040	3	0.0009794319294809011
bile duct cancer	1483	160	0	1483	1	0.0
pancreatic cancer	862	112	23	826	4	0.027090694935217905
healthy	798	796	769	29	1	0.9636591478696742
colorectal cancer	752	284	47	669	4	0.06564245810055866
neoantigen	233	233	233	0	1	1.0
cervical carcinoma(hpv+)	189	34	3	186	1	0.015873015873015872
lung cancer	187	177	184	0	5	1.0
acute myeloid leukemia	152	152	152	0	2	1.0
meningioma	127	127	127	0	1	1.0
breast adenocarcinoma	126	126	126	0	1	1.0
myeloma	118	62	59	0	3	1.0
ovarian cancer	95	65	84	0	5	1.0
nonâsmall cell lung cancer	66	62	66	0	1	1.0
acute monocytic leukemia	61	61	61	0	1	1.0
