pub_year	n	n_pos	n_neg	n_sources	val_rate
2017.0	433	433	0	1	1.0
2018.0	83	0	0	1	
2019.0	62376	19037	43339	1	0.3051975118635373
2020.0	1676	571	874	4	0.39515570934256056
2021.0	15556	164	15392	1	0.010542555926973516
2023.0	4972	4804	168	3	0.9662107803700724
2024.0	2436	2081	2436	1	0.460704007084348
2025.0	722	722	0	1	1.0
