feature_set	model	AUROC_mean	AUROC_std	n_sources
mhcflurry_aff_2feat	logreg	0.4366319736247742	0.24606640501473745	3
mhcflurry_aff_2feat	rf	0.7226702435470537	0.14974566650786672	3
mhcflurry_aff_only	logreg	0.8269152528045772	0.09148327006417334	3
mhcflurry_aff_only	rf	0.6576324205024685	0.12481947254454179	3
mhcflurry_percentile_only	logreg	0.6439461464261935	0.2743980792811144	3
mhcflurry_percentile_only	rf	0.6790802027140052	0.14170112064734472	3
