	group	panel_silencing	HT_overlap	zone
F1_127C|ATC	ATC	0.6108035538423681	0.013647901972761903	dark-matter
F1_130C|ATC	ATC	0.5196612146221354	0.264839171092908	dark-matter
F1_131C|ATC	ATC	0.7390894770371329	0.13198611501515245	dark-matter
F1_132C|ATC	ATC	0.4557471400652945	0.2603566281296421	dark-matter
F2_130C|ATC	ATC	0.834501216139758	0.7225763427098393	dark-matter
F2_132C|ATC	ATC	0.5993958510511028	0.15246029226595084	dark-matter
F4_128C|ATC	ATC	0.2607570668474251	1.508758220844159	dark-matter
F4_129N|ATC	ATC	0.0036951469028435	0.2563673930432571	dark-matter
F4_129C|ATC	ATC	0.0163143252972101	-0.89872170337921	BRAF-like
F4_133N|ATC	ATC	-1.8640484487529	-0.7433552321492306	WT-like
F4_133C|ATC	ATC	0.3515759911603989	-0.4133646556347419	BRAF-like
F5_129C|ATC	ATC	0.616825133795178	-0.7885619239231338	BRAF-like
F5_131C|ATC	ATC	0.6621138991732521	0.12905155563250206	dark-matter
F6_131N|ATC	ATC	0.6542366991568617	1.1072790372589911	dark-matter
F6_133C|ATC	ATC	0.6461193555499122	-0.7793150769659126	BRAF-like
F7_127C|ATC	ATC	0.0388828171083478	0.1787708741249032	dark-matter
F7_130C|ATC	ATC	0.2121273770670654	-0.399030148462048	BRAF-like
F7_131C|ATC	ATC	0.3131754329646024	-0.15331373324956937	BRAF-like
F8_127C|ATC	ATC	-0.6648320983191959	0.30325610593293517	RAS-like
F8_128N|ATC	ATC	0.8371658694412045	1.8007275586610114	dark-matter
F8_128C|ATC	ATC	0.7224172662618017	-0.4282891857405081	BRAF-like
F8_130N|ATC	ATC	0.7405313242094614	-0.30078441758281116	BRAF-like
F8_133N|ATC	ATC	0.4611696921933617	-0.8680258237471336	BRAF-like
F9_127N|ATC	ATC	0.7493355784912951	-0.8819409917707619	BRAF-like
F9_131N|ATC	ATC	0.7072955275399705	0.03220316338279099	dark-matter
F9_131C|ATC	ATC	0.6147435731080015	0.09818257111548773	dark-matter
F9_132N|ATC	ATC	0.7366023548150599	-0.28930977086969795	BRAF-like
F9_132C|ATC	ATC	0.53811436048164	-0.07066090211707635	BRAF-like
F9_133C|ATC	ATC	0.5154668790749998	0.47551330410688064	dark-matter
F10_128N|ATC	ATC	-0.5805285661454065	0.08199639743211204	RAS-like
F10_128C|ATC	ATC	0.6191173015012768	0.02779066543199339	dark-matter
F10_129N|ATC	ATC	0.7235653671106657	0.27512544318273424	dark-matter
F10_130C|ATC	ATC	0.4593267074122547	1.9849535190372396	dark-matter
F10_132N|ATC	ATC	0.6626575180817285	1.717014227091008	dark-matter
F10_133C|ATC	ATC	0.6594805974368226	-0.2376835823461942	BRAF-like
F11_127N|ATC	ATC	0.8031719909204388	0.02748406273470055	dark-matter
F11_127C|ATC	ATC	0.7411200820096261	0.12557860187756664	dark-matter
F11_128N|ATC	ATC	0.7517123854737618	0.5909319452572687	dark-matter
F11_129C|ATC	ATC	0.6518159434402672	0.36458314075274356	dark-matter
F11_133C|ATC	ATC	0.7007708622011991	-0.3941097366097316	BRAF-like
F12_127C|ATC	ATC	0.5185143031714156	0.8407296546599503	dark-matter
F12_132C|ATC	ATC	0.6248502840359543	-0.5020405933715519	BRAF-like
F12_133C|ATC	ATC	0.6517132950171763	0.07511393361576091	dark-matter
F13_132N|ATC	ATC	-0.1517967741450646	0.05041293142303757	RAS-like
F14_129N|ATC	ATC	0.2120841906460728	0.21693769879833535	dark-matter
F14_131C|ATC	ATC	0.4973076192581411	0.521831945339541	dark-matter
F14_132N|ATC	ATC	0.5019085109405682	0.6653923307931257	dark-matter
F14_133C|ATC	ATC	0.4175754449163071	-0.3546683943282489	BRAF-like
F15_131N|ATC	ATC	0.5716347622028956	0.08463318252173957	dark-matter
