target	n_thyroid_papers	n_cancer_papers	n_braf_papers	n_abstracts_parsed	direction_consensus	clinical_evidence	druggable_evidence	novelty_flag	novelty_score
CYP1B1	11	450	4	90	up	1	1	emerging	0.460
TACSTD2	5	79	1	73	up	1	1	emerging	0.611
TMPRSS4	9	72	2	84	up	1	1	emerging	0.500
PLEKHA6	0	4	2	9	up	1	1	novel	1.000
LDLR	29	295	3	123	up	1	1	established	0.261
GABRB2	9	18	2	33	up	0	1	emerging	0.500
B3GNT3	0	42	0	45	up	0	1	novel	1.000
PTPRE	4	14	1	22	up	1	1	novel	0.651
