pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
38817863	Single-cell and spatial transcriptome sequencing uncover a platinum-resistant cluster overexpressed TACSTD2 in high-grade serous ovarian cancer.	2024	Journal of Cancer	cancer	up	1	0	0
38043836	Insights into the molecular mechanisms and signalling pathways of epithelial to mesenchymal transition (EMT) in colorectal cancer: A systematic review and bioinformatic analysis of gene expression.	2024	Gene	cancer		1	0	0
38196202	Associations of TACSTD2/TROP2 and NECTIN-4/NECTIN-4 with molecular subtypes, PD-L1 expression, and FGFR3 mutational status in two advanced urothelial bladder cancer cohorts.	2024	Histopathology	cancer,drug		1	1	1
40579360	Correlation of TROP2 expression with clinico-pathological features and outcomes in HR+/HER2- breast cancer receiving neoadjuvant chemotherapy.	2025	The oncologist	cancer	up	1	0	0
38696857	BRAF mutation, selected miRNAs and genes expression in primary papillary thyroid carcinomas and local lymph node metastases.	2024	Pathology, research and practice	thyroid,cancer,braf		0	0	0
29989029	The emergence of trophoblast cell-surface antigen 2 (TROP-2) as a novel cancer target.	2018	Oncotarget	drug	mixed	0	0	1
36939530	Expression and Therapeutic Targeting of TROP-2 in Treatment-Resistant Prostate Cancer.	2023	Clinical cancer research : an official journal of the American Association for C	cancer,drug	up	0	0	1
39240479	Identification of biomarker associated with Trop2 in breast cancer: implication for targeted therapy.	2024	Discover oncology	cancer,drug	up	1	0	1
41593664	Biopsy RNA-seq captures TROP-2-linked migration and clonal resistance to forecast aggressiveness in metastatic melanoma.	2026	Journal of experimental &amp; clinical cancer research : CR	drug	up	1	0	0
38986529	Genomic, immunologic, and prognostic associations of TROP2 (TACSTD2) expression in solid tumors.	2024	The oncologist	cancer,drug	down	1	1	1
35735421	Trop-2 in Upper Tract Urothelial Carcinoma.	2022	Current oncology (Toronto, Ont.)	cancer,drug		1	0	1
38927096	Exploring the Molecular Mechanism of Comorbidity of Type 2 Diabetes Mellitus and Colorectal Cancer: Insights from Bulk Omics and Single-Cell Sequencing Validation.	2024	Biomolecules	cancer,drug		0	0	0
40348058	Differential Localization of &#x3b2;-Catenin Protein in CTNNB1 Mutant Endometrial Cancers Results in Distinct Transcriptional Profiles.	2025	Modern pathology : an official journal of the United States and Canadian Academy	cancer		0	0	0
40646627	Advancing precision antibody-drug conjugate therapy: unique proteogenomic profiles of tumor subsets in non-small cell lung cancer.	2025	Experimental hematology &amp; oncology	cancer,drug		0	0	1
41138655	Therapeutic efficacy of sacituzumab govitecan in recurrent refractory germ cell tumors.	2025	Biomedicine &amp; pharmacotherapy = Biomedecine &amp; pharmacotherapie	drug	mixed	1	0	1
