pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
27301828	Effectors and potential targets selectively upregulated in human KRAS-mutant lung adenocarcinomas.	2016	Scientific reports	cancer,braf	up	0	0	0
30993080	A systematic simulation-based meta-analytical framework for prediction of physiological biomarkers in alopecia.	2019	Journal of biological research (Thessalonike, Greece)	drug		0	0	0
36654463	Receptor Type Protein Tyrosine Phosphatase Epsilon (PTPRE) Plays an Oncogenic Role in Thyroid Carcinoma by Activating the AKT and ERK1/2 Signaling Pathway.	2023	Current cancer drug targets	thyroid,cancer	up	0	0	0
27035928	A robust biomarker of differential correlations improves the diagnosis of cytologically indeterminate thyroid cancers.	2016	International journal of molecular medicine	thyroid,cancer		0	0	0
31655274	Machine learning and bioinformatics models to identify gene expression patterns of ovarian cancer associated with disease progression and mortality.	2019	Journal of biomedical informatics	cancer		1	0	0
33155892	Prediction Biomarkers Associated with Lymph Node Metastasis and Prognosis were Identified in Papillary Thyroid Carcinoma via Integrated Bioinformatics Analysis.	2021	Combinatorial chemistry &amp; high throughput screening	thyroid	up	1	0	0
34335744	Identification of Potential lncRNAs and miRNAs as Diagnostic Biomarkers for Papillary Thyroid Carcinoma Based on Machine Learning.	2021	International journal of endocrinology	thyroid,cancer		0	0	0
29904591	Predicting ionizing radiation exposure using biochemically-inspired genomic machine learning.	2018	F1000Research	drug		0	0	0
27171439	Systematic Analysis of Gene Expression Alterations and Clinical Outcomes for Long-Chain Acyl-Coenzyme A Synthetase Family in Cancer.	2016	PloS one	cancer	up	1	0	0
36474183	Differential methylation patterns in lean and obese non-alcoholic steatohepatitis-associated hepatocellular carcinoma.	2022	BMC cancer	cancer		1	0	0
29410024	DNA methylation profiling in nonfunctioning pituitary adenomas.	2018	Molecular and cellular endocrinology	cancer	down	0	0	0
38458013	Inhibition of PTPRE suppresses tumor progression and improves sorafenib response in hepatocellular carcinoma.	2024	Biomedicine &amp; pharmacotherapy = Biomedecine &amp; pharmacotherapie	drug		1	0	0
38674157	Role of Protein Tyrosine Phosphatase Receptor Type E (PTPRE) in Chemoresistant Retinoblastoma.	2024	International journal of molecular sciences	cancer	mixed	0	0	0
31889940	The plasma peptides of breast versus ovarian cancer.	2019	Clinical proteomics	cancer	up	0	1	0
28235043	Hepatitis C virus infection inhibits a Src-kinase regulatory phosphatase and reduces T cell activation in vivo.	2017	PLoS pathogens	drug		0	0	0
19304958	Characterization of novel and complex genomic aberrations in glioblastoma using a 32K BAC array.	2009	Neuro-oncology	drug		1	0	0
41270698	Whole-exome ctDNA sequencing reveals intratumoral heterogeneity and drivers of relapse in locally advanced head and neck cancer.	2025	ESMO open	cancer		1	0	0
18924107	PTPepsilon has a critical role in signaling transduction pathways and phosphoprotein network topology in red cells.	2008	Proteomics	drug	mixed	0	0	1
32988891	Expression Analysis of Tyrosine Phosphatase Genes at Different Stages of Renal Cell Carcinoma.	2020	Anticancer research	cancer	down	0	0	0
30662530	Tuning the Protein Phosphorylation by Receptor Type Protein Tyrosine Phosphatase Epsilon (PTPRE) in Normal and Cancer Cells.	2019	Journal of Cancer	cancer		0	0	0
28731711	Identification of Proteomic Features To Distinguish Benign Pulmonary Nodules from Lung Adenocarcinoma.	2017	Journal of proteome research	cancer		0	0	1
35710585	Identification of an inflammatory response signature associated with prognostic stratification and drug sensitivity in lung adenocarcinoma.	2022	Scientific reports	drug		1	0	0
