pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
41934216	Autotransduction and Pseudotyping as a Key Limitations in Lentiviral Vector Production.	2026	Biotechnology journal	drug		0	0	0
41643340	Assessment of LDL receptor-dependent lipid lowering therapies in patients with homozygous familial hypercholesterolemia according to functional genotype.	2026	Atherosclerosis	drug		0	0	0
41544733	Decoding the role of LRP1 in cancers: From molecular mechanisms to therapeutic opportunities.	2026	Critical reviews in oncology/hematology	cancer,drug		1	0	0
41221806	Employing low-density lipoprotein-based delivery systems for the treatment of hepatocellular carcinoma.	2026	Nanomedicine (London, England)	cancer	up	0	0	0
41533526	1-Phosphatidylinositol 3-Phosphate 5-Kinase Inhibition by Apilimod Promotes an Adipocyte-Like Vascular Smooth Muscle Cell Phenotype and Prevents Arterial Calcification.	2026	Circulation research	drug	up	0	0	1
41763749	Structural characterization, physicochemical properties and hypolipidemic activity of hemp (Cannabis sativa L.) protein hydrolysates prepared via enzyme-microbial synergy.	2026	Food research international (Ottawa, Ont.)	drug		0	0	0
40661577	Low-density lipoprotein receptor-targeting chimeras for membrane protein degradation and enhanced drug delivery.	2025	bioRxiv : the preprint server for biology	cancer		0	0	1
39838687	The Expression of the LDLR, LDLRAP1, and PCSK9 Genes has Prognostic Significance in Triple-negative Breast Cancer.	2025	Current medicinal chemistry	cancer	up	1	0	0
31372158	Low-density lipoprotein receptor gene mutation at Exon 2 and 4 in premature coronary artery disease in our population.	2019	Pakistan journal of medical sciences	thyroid		0	0	0
40316041	Effect of dexamethasone on biological properties and metabolic adaptations of normal prostate epithelial cells under mild serum conditions.	2025	Steroids	cancer	down	0	0	0
30654068	Radiation-primed hepatocyte transplantation in murine monogeneic dyslipidemia normalizes cholesterol and prevents atherosclerosis.	2019	Journal of hepatology	thyroid		0	0	1
41542471	Autophagy-Cholesterol Axis Remodeling Supports Malignant Progression and Chemoresistance in Glioma.	2026	bioRxiv : the preprint server for biology	drug	up	0	0	0
40987376	ApoE-Corona oncolytic adenovirus nanoparticles enable blood-brain barrier penetration for glioblastoma immunotherapy.	2025	Journal of controlled release : official journal of the Controlled Release Socie	cancer	up	0	0	1
40947699	The Impact of IGFBP6 Knockdown on Cholesterol Metabolism in Breast Cancer Cells.	2025	Current medicinal chemistry	cancer	mixed	1	0	0
41700215	Assessment of N/L ratio and subclinical atherosclerosis in FH subjects with or without LDLR mutation.	2026	Journal of the Endocrine Society	drug	up	0	0	0
41866206	[The safety and efficacy of adeno-associated virus-mediated LDLR transfection in homozygous familial hypercholesterolemia].	2026	Zhonghua xin xue guan bing za zhi	drug		0	1	0
41595480	Efficiency of Lentiviral Vectors Pseudotyped with LCMV-G in Gene Transfer to Ldlr-/-ApoB100/100 Mice.	2026	Genes	drug		0	0	0
41738381	HMGB-1 Mediates The Exacerbation of Anaphylactic Shock Under Hyperlipidemic Conditions.	2026	Journal of cellular physiology	drug	mixed	0	0	1
41507026	Early mortality in children with homozygous familial hypercholesterolemia: Case reports of deaths at ages 5 and 7&#xa0;and a systematic review of global evidence.	2026	Journal of clinical lipidology	drug	up	0	0	0
32549788	Circ_LDLR promoted the development of papillary thyroid carcinoma via regulating miR-195-5p/LIPH axis.	2020	Cancer cell international	thyroid	up	0	0	0
41091621	Hijacking Extracellular Targeted Protein Degrader-Drug Conjugates for Enhanced Drug Delivery.	2025	Journal of the American Chemical Society	cancer		0	0	1
40233124	Sesamin regulates breast cancer through reprogramming of lipid metabolism.	2026	Journal of biomolecular structure &amp; dynamics	cancer	up	0	0	1
41741298	Update on familial hypercholesterolemia: An expert clinical consensus from the National Lipid Association.	2026	Journal of clinical lipidology	drug	up	0	0	0
37565296	Circ_LDLR promotes the progression of papillary thyroid carcinoma by regulating miR-1294/HMGB3 axis.	2023	Journal of biochemical and molecular toxicology	thyroid	up	1	0	0
