stage	n
00_all_candidates	649
01_supported_peptide_length	491
02_main_dl_broad_pass	280
03_bayesian_dropout_pass	97
04_robust_main_dl_pass	97
05_source_compatible_tcr_after_dl	90
06_paired_tcr_after_dl	9
07_tcr_branch_supported_after_dl	18
08_tcr_rescue_reviews	1
09_md_escalation_after_cheap_gates	2
10_wetlab_shortlist_after_dl	1
