gene	cohen_d	abs_d	auc	rank	in_8gene	is_driver
MET	-3.09	3.09	0.985	1	False	False
DUSP5	-2.826	2.826	0.98	2	False	False
DUSP6	-2.436	2.436	0.947	3	False	False
TPO	2.309	2.309	0.952	4	True	False
DIO1	2.294	2.294	0.938	5	True	False
KLK10	-2.266	2.266	0.922	6	False	False
SLC5A8	2.157	2.157	0.918	7	False	False
DIO2	1.736	1.736	0.889	8	False	False
DUSP4	-1.732	1.732	0.838	9	False	False
LOX	-1.705	1.705	0.9	10	False	False
HLA-DRA	-1.614	1.614	0.858	11	False	False
SLC26A4	1.426	1.426	0.876	12	False	False
CD274	-1.417	1.417	0.828	13	False	False
IYD	1.406	1.406	0.872	14	False	False
CDKN2B	-1.289	1.289	0.834	15	False	True
ETV4	-1.278	1.278	0.774	16	False	False
FOXP3	-1.278	1.278	0.851	17	False	False
TG	1.241	1.241	0.867	18	True	False
PAX8	1.186	1.186	0.807	19	True	False
PAX8	1.186	1.186	0.807	20	True	False
DUOX2	1.125	1.125	0.794	21	False	False
RET	-1.09	1.09	0.856	22	False	True
FOSL1	-1.032	1.032	0.809	23	False	False
CDKN2A	-1.008	1.008	0.791	24	False	True
FOXE1	1.006	1.006	0.78	25	True	False
MMP9	-1.001	1.001	0.761	26	False	False
DUOX1	0.939	0.939	0.774	27	False	False
PIK3CA	-0.863	0.863	0.746	28	False	True
CTNNB1	-0.854	0.854	0.74	29	False	False
ALK	-0.734	0.734	0.736	30	False	True
ETV5	-0.686	0.686	0.587	31	False	False
TWIST1	-0.655	0.655	0.691	32	False	False
MSH2	-0.649	0.649	0.684	33	False	False
SPRY4	0.627	0.627	0.702	34	False	False
THRA	0.621	0.621	0.673	35	False	False
GLIS3	0.619	0.619	0.688	36	False	False
SPRY2	-0.529	0.529	0.649	37	False	False
TSHR	0.528	0.528	0.694	38	True	False
APC	0.513	0.513	0.657	39	False	False
SLC5A5	0.495	0.495	0.606	40	True	False
PPARG	0.471	0.471	0.562	41	False	True
ZEB1	0.421	0.421	0.615	42	False	False
SPRY1	-0.419	0.419	0.598	43	False	False
ATM	-0.407	0.407	0.614	44	False	True
SNAI2	-0.394	0.394	0.614	45	False	False
TP53	-0.379	0.379	0.607	46	False	True
THRB	-0.358	0.358	0.607	47	False	False
IDO1	-0.333	0.333	0.635	48	False	False
CD8A	-0.331	0.331	0.613	49	False	False
NKX2-1	0.288	0.288	0.584	50	True	False
CDH2	0.268	0.268	0.596	51	False	False
BRAF	0.247	0.247	0.602	52	False	True
NTRK1	-0.238	0.238	0.739	53	False	True
CDH1	-0.229	0.229	0.529	54	False	False
SNAI1	0.227	0.227	0.555	55	False	False
TERT	-0.224	0.224	0.578	56	False	True
ZEB2	-0.214	0.214	0.566	57	False	False
NTRK3	-0.208	0.208	0.569	58	False	True
AKT1	0.186	0.186	0.528	59	False	True
VIM	-0.184	0.184	0.542	60	False	False
PHLDA1	0.175	0.175	0.559	61	False	False
EIF1AX	0.138	0.138	0.552	62	False	True
KRAS	-0.115	0.115	0.525	63	False	True
PTEN	0.083	0.083	0.567	64	False	True
THADA	0.081	0.081	0.512	65	False	False
NRAS	-0.054	0.054	0.521	66	False	True
HRAS	0.034	0.034	0.5	67	False	True
